"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","101,955","20.8%","23.4%","49.7%","6.1%","697,628","6.6%","7.8%","25.7%","24.2%","9.2%","15.2%","11.2%","85.5%","26.4%","133,989","88.6%","25.0%","123,125","88.5%","28.5%","279,890","87.1%","28.4%","160,624","77.8%","22.7%","","36.9%","19.6%","17.5%","6.1%","","26,026","12,308","19,725","24,193","37,558","50,798","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,999,490","13.0%","25.0%","47.4%","14.6%","13,309,761","6.7%","8.0%","26.9%","16.5%","8.5%","19.0%","14.4%","85.3%","33.4%","2,755,074","88.6%","42.1%","2,537,255","87.1%","37.1%","5,257,971","86.9%","31.7%","2,759,461","77.4%","24.5%","","29.0%","14.9%","10.7%","5.2%","","39,697","19,401","29,549","36,511","52,278","69,397","","6.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,013,012","14.9%","27.6%","45.0%","12.5%","6,295,064","6.6%","8.5%","27.4%","17.1%","7.6%","19.3%","13.6%","84.9%","32.9%","1,364,645","87.0%","37.0%","1,245,775","85.9%","33.7%","2,528,974","86.3%","31.7%","1,155,670","78.7%","29.6%","","24.3%","12.6%","8.7%","4.7%","","44,897","22,123","34,524","42,404","61,890","82,052","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","986,478","11.1%","22.3%","49.9%","16.7%","7,014,697","6.7%","7.6%","26.4%","16.1%","9.3%","18.8%","15.1%","85.6%","33.8%","1,390,429","90.2%","47.0%","1,291,480","88.3%","40.3%","2,728,997","87.4%","31.8%","1,603,791","76.5%","20.8%","","33.4%","17.1%","12.5%","5.7%","","33,885","15,450","23,221","31,415","46,073","60,896","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","978,188","16.8%","28.6%","46.1%","8.5%","6,489,883","5.8%","9.1%","27.1%","22.0%","8.7%","18.0%","9.3%","85.2%","27.4%","1,252,143","86.4%","30.5%","1,330,471","86.8%","30.4%","2,560,569","87.9%","27.3%","1,346,700","77.2%","21.6%","","30.9%","16.0%","12.1%","4.1%","","31,390","17,431","25,368","30,227","43,806","56,312","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","500,737","19.5%","32.3%","40.9%","7.4%","3,084,024","6.7%","10.1%","28.3%","21.0%","7.2%","17.3%","9.4%","83.3%","26.8%","622,518","83.5%","25.2%","653,712","84.0%","27.5%","1,228,307","85.6%","27.1%","579,487","77.4%","26.9%","","26.4%","13.5%","9.0%","3.6%","","36,314","20,467","29,651","36,615","54,858","76,209","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477,451","14.0%","24.7%","51.5%","9.8%","3,405,859","5.0%","8.2%","26.1%","22.9%","10.0%","18.7%","9.2%","86.9%","27.9%","629,625","89.3%","35.8%","676,759","89.5%","33.3%","1,332,262","90.1%","27.5%","767,213","77.1%","17.5%","","36.0%","18.4%","14.5%","4.5%","","26,973","13,202","20,868","25,432","37,181","48,082","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,626","8.8%","26.8%","55.9%","8.5%","457,904","4.0%","4.3%","28.0%","23.5%","12.3%","19.6%","8.4%","91.7%","27.9%","98,752","95.6%","35.3%","77,584","96.1%","36.2%","180,606","94.8%","26.8%","100,962","79.0%","16.4%","","22.2%","10.8%","6.7%","3.4%","","36,648","23,153","30,353","35,458","41,521","60,357","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,413","9.6%","30.8%","53.3%","6.2%","230,495","4.4%","4.5%","29.9%","22.6%","12.8%","17.5%","8.4%","91.2%","25.9%","52,027","95.1%","28.4%","41,028","95.5%","30.8%","93,042","93.5%","25.6%","44,398","77.5%","19.1%","","18.2%","7.6%","5.4%","3.3%","","44,029","31,868","37,659","45,318","51,222","71,836","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,213","7.8%","22.0%","59.0%","11.3%","227,409","3.6%","4.2%","26.1%","24.4%","11.8%","21.6%","8.3%","92.3%","30.0%","46,725","96.1%","42.9%","36,556","96.7%","42.3%","87,564","96.2%","28.0%","56,564","80.2%","14.3%","","27.0%","14.5%","8.0%","3.5%","","29,717","13,582","21,239","27,444","36,002","51,373","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,113,584","14.7%","30.1%","46.3%","9.0%","7,770,716","3.1%","8.1%","34.6%","20.9%","8.1%","16.0%","9.3%","88.8%","25.2%","1,430,201","90.5%","30.7%","1,429,099","92.1%","29.6%","3,203,848","90.7%","24.8%","1,707,568","80.9%","17.9%","","28.4%","13.5%","11.7%","4.0%","","33,168","19,605","27,117","31,641","47,124","61,470","","3.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","563,739","16.7%","33.8%","42.1%","7.3%","3,717,746","3.2%","8.5%","35.2%","20.9%","6.6%","16.1%","9.5%","88.3%","25.6%","713,044","89.3%","27.3%","710,345","90.9%","27.8%","1,561,977","89.9%","25.2%","732,380","81.1%","22.8%","","25.1%","11.7%","8.8%","3.6%","","40,646","23,142","32,524","40,281","57,780","74,214","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","549,845","12.6%","26.2%","50.5%","10.7%","4,052,970","3.0%","7.8%","34.0%","21.0%","9.4%","15.8%","9.1%","89.3%","24.9%","717,157","91.7%","34.1%","718,754","93.3%","31.3%","1,641,871","91.5%","24.5%","975,188","80.7%","14.2%","","31.5%","15.1%","14.1%","4.4%","","27,482","13,866","21,474","26,224","38,043","53,713","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,080","16.2%","32.6%","44.0%","7.3%","2,487,456","4.6%","8.8%","31.6%","24.0%","7.3%","15.8%","7.9%","86.7%","23.8%","516,852","88.0%","25.4%","467,408","87.6%","25.3%","967,189","88.6%","24.3%","536,007","81.2%","19.9%","","27.7%","15.4%","11.8%","4.8%","","31,454","19,664","26,335","30,944","41,627","51,552","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","201,382","18.7%","36.1%","39.0%","6.2%","1,208,717","5.0%","9.1%","32.3%","23.6%","6.6%","15.3%","8.1%","85.9%","23.4%","263,965","86.7%","21.6%","236,922","86.1%","22.9%","471,666","87.2%","23.9%","236,164","82.1%","24.8%","","24.4%","13.2%","9.1%","4.4%","","37,372","23,657","31,827","37,558","52,496","68,426","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,698","13.4%","28.9%","49.3%","8.4%","1,278,739","4.1%","8.5%","31.0%","24.4%","7.8%","16.4%","7.8%","87.4%","24.2%","252,887","89.4%","29.5%","230,486","89.0%","27.8%","495,523","89.8%","24.8%","299,843","80.5%","16.0%","","31.2%","17.5%","14.1%","5.2%","","25,821","13,544","20,611","25,045","35,846","42,153","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366,835","12.5%","30.1%","49.5%","7.8%","2,671,772","3.7%","6.4%","25.1%","26.7%","8.2%","18.6%","11.3%","89.9%","29.9%","532,957","89.4%","31.0%","505,210","89.3%","34.8%","1,051,912","91.3%","28.9%","581,693","88.2%","26.5%","","29.3%","15.2%","14.5%","5.6%","","31,808","18,435","26,698","29,948","42,384","56,583","","4.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,989","14.9%","33.6%","45.1%","6.4%","1,301,605","3.9%","7.0%","25.4%","25.8%","7.8%","18.7%","11.5%","89.1%","30.1%","270,451","86.9%","27.2%","256,057","88.1%","32.1%","513,785","90.7%","29.2%","261,312","89.0%","33.2%","","26.6%","13.8%","13.4%","5.2%","","37,336","21,777","31,306","35,611","52,130","71,603","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","179,846","10.0%","26.5%","54.2%","9.3%","1,370,167","3.5%","5.9%","24.8%","27.5%","8.6%","18.6%","11.2%","90.6%","29.7%","262,506","92.0%","34.8%","249,153","90.6%","37.5%","538,127","91.8%","28.7%","320,381","87.6%","21.1%","","32.2%","16.6%","15.3%","6.0%","","26,358","14,219","21,521","24,516","36,346","46,670","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,269,765","12.8%","32.3%","43.4%","11.5%","8,756,317","3.6%","7.5%","36.8%","16.5%","7.9%","17.0%","10.9%","88.9%","27.8%","1,572,037","91.6%","36.2%","1,554,970","92.0%","33.0%","3,587,380","91.4%","26.9%","2,041,930","80.2%","19.0%","","24.8%","11.9%","9.4%","3.9%","","35,909","20,835","28,483","33,238","48,200","64,775","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","641,817","14.3%","35.4%","40.8%","9.4%","4,186,605","3.7%","7.9%","37.0%","16.2%","7.0%","17.4%","10.9%","88.4%","28.2%","793,197","90.2%","31.9%","771,794","90.5%","30.4%","1,754,404","90.5%","27.3%","867,210","80.6%","24.8%","","21.3%","10.1%","7.4%","3.4%","","42,117","25,405","35,372","41,348","58,165","80,890","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","627,948","11.2%","29.1%","46.0%","13.6%","4,569,712","3.5%","7.1%","36.6%","16.7%","8.7%","16.6%","10.9%","89.4%","27.4%","778,840","93.0%","40.5%","783,176","93.5%","35.6%","1,832,976","92.3%","26.6%","1,174,720","79.8%","14.7%","","28.4%","13.5%","11.0%","4.3%","","29,688","14,659","22,063","27,729","39,890","55,139","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","121,059","11.5%","27.7%","49.0%","11.8%","712,271","6.4%","7.5%","27.9%","18.1%","8.8%","18.7%","12.8%","86.1%","31.4%","128,901","90.3%","34.6%","129,835","89.4%","37.4%","294,710","88.3%","31.0%","158,825","76.1%","24.6%","","23.3%","13.6%","9.8%","3.6%","","37,479","22,339","29,099","35,428","52,221","66,004","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60,297","13.8%","31.0%","45.5%","9.7%","335,654","6.4%","7.9%","29.2%","17.1%","7.6%","19.4%","12.4%","85.7%","31.8%","64,035","88.3%","27.4%","63,595","88.5%","35.0%","141,783","86.1%","31.4%","66,241","79.4%","33.8%","","20.7%","11.2%","7.0%","3.2%","","42,861","27,156","34,600","41,728","61,063","77,766","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60,762","9.3%","24.4%","52.4%","13.8%","376,617","6.4%","7.0%","26.7%","18.9%","9.8%","18.0%","13.0%","86.6%","31.1%","64,866","92.3%","41.7%","66,240","90.3%","39.7%","152,927","90.2%","30.7%","92,584","73.8%","18.1%","","25.8%","15.8%","12.0%","4.1%","","32,320","17,882","23,463","31,031","44,190","60,259","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","491,131","16.1%","31.1%","45.4%","7.4%","3,151,616","5.2%","10.0%","29.8%","21.1%","8.9%","16.0%","9.1%","84.9%","25.1%","599,125","87.3%","27.0%","600,579","88.4%","27.6%","1,257,136","86.8%","24.9%","694,776","76.2%","21.7%","","30.1%","16.3%","11.8%","3.9%","","31,197","17,360","25,309","30,693","43,103","51,875","","5.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,836","19.4%","33.0%","42.1%","5.5%","1,490,981","5.7%","10.7%","30.2%","20.3%","7.9%","16.2%","9.0%","83.6%","25.2%","293,090","85.0%","24.4%","296,374","86.4%","24.6%","598,680","84.8%","24.6%","302,837","77.1%","27.7%","","25.8%","13.2%","8.5%","3.3%","","36,903","20,927","30,584","37,431","52,405","63,983","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238,295","12.6%","29.0%","48.9%","9.5%","1,660,635","4.7%","9.3%","29.3%","21.8%","9.9%","15.8%","9.2%","86.0%","25.0%","306,035","89.5%","29.5%","304,205","90.3%","30.5%","658,456","88.6%","25.1%","391,939","75.5%","17.1%","","34.5%","19.0%","14.4%","4.5%","","26,351","12,911","20,564","25,239","36,031","46,931","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,840","15.9%","27.7%","48.8%","7.7%","544,292","4.3%","5.2%","32.7%","21.7%","9.9%","18.1%","8.1%","90.5%","26.3%","110,630","92.4%","29.2%","93,882","92.8%","30.9%","218,688","93.5%","26.1%","121,092","81.7%","20.2%","","25.0%","11.7%","8.6%","3.7%","","31,526","21,369","26,924","31,261","38,959","48,323","","3.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,820","18.4%","27.9%","46.7%","7.1%","269,672","4.6%","5.8%","35.1%","20.5%","8.8%","17.0%","8.1%","89.6%","25.1%","57,497","92.1%","24.3%","48,272","91.5%","27.8%","109,807","92.0%","25.1%","54,096","80.3%","23.6%","","18.1%","10.7%","6.8%","2.2%","","36,731","24,885","31,285","38,194","47,262","59,480","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,020","13.1%","27.5%","51.1%","8.3%","274,620","3.9%","4.6%","30.3%","22.8%","11.0%","19.2%","8.1%","91.5%","27.4%","53,133","92.7%","34.4%","45,610","94.1%","34.2%","108,881","95.1%","27.1%","66,996","82.9%","17.6%","","33.4%","12.9%","10.1%","5.1%","","26,408","17,010","21,385","25,847","33,126","41,014","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","625,553","12.6%","35.2%","43.5%","8.7%","4,336,473","5.7%","9.1%","33.1%","21.3%","6.5%","15.7%","8.6%","85.1%","24.3%","843,449","88.8%","28.3%","848,687","89.0%","27.9%","1,723,616","87.1%","23.8%","920,721","74.6%","18.1%","","30.6%","15.6%","11.7%","4.6%","","31,292","17,721","25,542","30,710","42,459","54,741","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314,249","14.5%","39.3%","39.5%","6.8%","2,067,913","6.2%","9.5%","34.0%","20.4%","5.7%","15.5%","8.7%","84.3%","24.2%","417,823","87.0%","24.8%","422,324","87.5%","24.4%","827,955","85.7%","24.5%","399,811","75.2%","23.1%","","26.4%","13.1%","9.2%","3.9%","","36,609","20,055","30,890","36,944","54,230","72,040","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","311,304","10.8%","31.0%","47.6%","10.6%","2,268,560","5.4%","8.7%","32.2%","22.0%","7.4%","15.8%","8.5%","85.9%","24.3%","425,626","90.6%","31.8%","426,363","90.4%","31.5%","895,661","88.4%","23.1%","520,910","74.1%","14.3%","","34.7%","17.9%","13.7%","5.2%","","26,302","14,332","20,545","25,667","36,840","46,852","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,687,649","17.8%","30.1%","44.6%","7.5%","16,390,379","9.2%","9.4%","25.2%","22.9%","6.6%","17.7%","9.0%","81.4%","26.7%","3,751,515","84.5%","26.8%","3,559,090","81.7%","28.6%","6,242,052","82.0%","27.2%","2,837,722","75.8%","23.3%","","29.9%","15.0%","10.3%","4.2%","","33,528","18,998","26,576","33,133","50,613","64,294","","4.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,390,683","20.1%","32.4%","41.8%","5.7%","7,987,033","9.3%","9.8%","25.5%","22.3%","6.1%","17.3%","9.6%","80.9%","26.9%","1,901,390","82.7%","23.5%","1,777,548","80.2%","26.5%","3,057,906","81.3%","27.9%","1,250,189","77.9%","30.4%","","25.2%","12.8%","7.9%","3.9%","","40,317","22,362","31,623","41,106","61,839","81,141","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,296,966","15.3%","27.6%","47.7%","9.4%","8,403,346","9.1%","8.9%","24.9%","23.5%","7.0%","18.1%","8.5%","82.0%","26.6%","1,850,125","86.3%","30.2%","1,781,542","83.1%","30.7%","3,184,146","82.7%","26.6%","1,587,533","74.2%","17.8%","","34.4%","17.0%","12.3%","4.6%","","27,446","13,639","21,310","27,203","42,753","52,603","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","326,764","12.7%","28.9%","51.3%","7.1%","1,641,335","3.0%","6.0%","23.1%","27.5%","9.7%","20.3%","10.4%","91.0%","30.7%","445,114","91.5%","30.1%","356,774","90.1%","33.0%","567,565","91.7%","30.3%","271,882","90.0%","29.8%","","25.6%","11.2%","9.1%","4.6%","","33,915","20,895","27,917","30,803","42,334","61,972","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","164,496","14.7%","31.4%","50.2%","3.7%","815,432","3.1%","6.1%","22.6%","26.6%","8.4%","20.4%","12.9%","90.8%","33.2%","226,257","91.1%","28.8%","182,671","89.0%","34.8%","282,220","91.7%","33.5%","124,284","90.5%","38.2%","","22.1%","11.1%","8.4%","4.2%","","42,379","24,687","35,815","40,163","55,615","73,138","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,268","10.6%","26.4%","52.4%","10.5%","825,903","3.0%","5.8%","23.5%","28.4%","11.0%","20.3%","7.9%","91.2%","28.3%","218,857","91.9%","31.3%","174,103","91.2%","31.1%","285,345","91.7%","27.1%","147,598","89.5%","22.7%","","29.3%","11.2%","9.6%","5.1%","","25,180","15,929","21,609","22,480","31,967","48,115","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67,174","10.0%","25.9%","53.7%","10.4%","434,948","2.9%","5.4%","30.5%","16.4%","9.0%","21.9%","13.9%","91.7%","35.8%","70,300","92.1%","35.8%","73,424","95.0%","41.1%","192,735","93.6%","36.6%","98,489","85.0%","30.1%","","25.6%","10.4%","8.1%","4.3%","","34,275","20,928","28,529","33,011","40,646","51,410","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,470","10.0%","31.6%","50.5%","7.9%","210,559","3.0%","6.8%","33.7%","15.6%","7.7%","20.3%","12.9%","90.2%","33.2%","35,184","90.4%","29.5%","36,479","92.4%","35.5%","94,543","91.9%","33.7%","44,353","84.6%","33.3%","","21.5%","9.2%","6.1%","3.6%","","39,153","22,640","33,386","39,640","50,707","63,502","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,704","10.0%","19.9%","57.1%","13.0%","224,389","2.8%","4.1%","27.5%","17.2%","10.3%","23.3%","14.8%","93.0%","38.1%","35,116","93.8%","42.2%","36,945","97.6%","46.6%","98,192","95.3%","39.3%","54,136","85.3%","27.4%","","31.2%","11.9%","9.7%","4.8%","","29,819","17,024","21,842","29,205","34,210","44,104","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","826,469","11.5%","30.9%","46.4%","11.3%","5,504,766","5.0%","7.1%","25.3%","20.0%","7.2%","20.6%","14.9%","87.9%","35.5%","1,138,612","91.8%","39.1%","1,103,601","90.8%","40.0%","2,200,420","89.0%","35.3%","1,062,133","78.3%","27.1%","","23.8%","12.0%","7.8%","3.3%","","40,098","20,503","27,973","35,960","52,607","76,169","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","424,566","13.1%","34.2%","43.5%","9.2%","2,645,626","5.2%","7.6%","26.0%","19.3%","6.0%","20.0%","15.9%","87.1%","35.9%","573,795","90.1%","35.0%","545,420","89.5%","37.6%","1,064,883","87.6%","35.9%","461,528","79.5%","34.9%","","20.2%","10.1%","6.3%","2.9%","","46,800","23,887","32,354","43,297","67,328","100,580","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","401,903","9.8%","27.3%","49.4%","13.4%","2,859,140","4.7%","6.7%","24.7%","20.6%","8.3%","21.1%","13.9%","88.6%","35.1%","564,817","93.6%","43.3%","558,181","92.1%","42.4%","1,135,537","90.4%","34.7%","600,605","77.4%","21.1%","","27.5%","13.8%","9.0%","3.7%","","32,375","15,785","22,219","30,082","42,957","57,201","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","666,124","15.7%","30.0%","44.5%","9.8%","4,645,859","4.0%","5.6%","23.7%","25.4%","9.6%","20.3%","11.3%","90.4%","31.7%","970,606","90.3%","31.7%","915,538","89.9%","34.0%","1,852,097","91.9%","31.7%","907,618","87.9%","29.2%","","26.0%","12.7%","10.1%","4.2%","","37,759","20,998","30,418","35,563","51,658","66,796","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345,435","17.5%","32.8%","42.0%","7.7%","2,282,487","4.2%","6.0%","23.9%","24.6%","9.1%","20.3%","11.9%","89.8%","32.2%","494,444","88.8%","29.3%","465,408","88.5%","32.0%","912,476","91.3%","32.1%","410,159","89.0%","36.1%","","23.2%","11.3%","8.4%","3.6%","","46,358","23,799","35,863","43,453","64,794","84,324","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","320,689","13.7%","27.1%","47.1%","12.1%","2,363,372","3.8%","5.2%","23.5%","26.1%","10.2%","20.3%","10.8%","91.0%","31.2%","476,162","91.8%","34.1%","450,130","91.3%","36.1%","939,621","92.5%","31.4%","497,459","87.0%","23.5%","","29.1%","14.0%","11.7%","4.8%","","30,946","15,839","23,433","28,726","40,993","55,926","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","174,992","13.7%","35.8%","42.7%","7.8%","1,296,201","5.6%","9.9%","40.6%","19.0%","6.3%","11.4%","7.3%","84.5%","18.6%","218,051","90.1%","24.1%","230,967","89.1%","21.4%","536,079","86.4%","18.5%","311,104","73.9%","13.1%","","31.0%","14.7%","11.3%","4.3%","","30,980","18,605","26,175","29,723","40,133","52,912","","3.6%"
