"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","99,924","18.9%","25.1%","49.1%","6.9%","690,341","7.3%","8.4%","25.7%","26.0%","7.8%","14.3%","10.5%","84.3%","24.8%","128,366","85.5%","22.0%","127,506","85.8%","26.4%","283,449","87.2%","27.7%","151,020","76.8%","20.3%","","37.2%","19.5%","13.9%","5.8%","","25,118","12,771","20,126","25,002","36,270","45,643","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,989,972","15.1%","25.5%","44.6%","14.7%","13,089,848","7.0%","8.1%","27.7%","16.4%","8.2%","18.6%","14.0%","84.9%","32.5%","2,659,287","88.1%","41.3%","2,608,602","87.0%","35.5%","5,197,911","86.7%","31.4%","2,624,048","75.8%","22.9%","","27.3%","13.7%","9.7%","4.9%","","37,757","19,777","28,636","35,824","51,219","66,529","","6.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,008,132","18.0%","27.7%","42.6%","11.7%","6,172,582","7.0%","8.5%","27.9%","17.0%","7.3%","18.9%","13.4%","84.5%","32.3%","1,310,232","86.8%","36.5%","1,277,239","85.4%","32.7%","2,496,231","86.1%","31.7%","1,088,880","77.0%","28.3%","","22.3%","11.9%","7.5%","4.4%","","42,129","22,107","32,836","41,896","60,094","81,170","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","981,840","12.2%","23.3%","46.7%","17.8%","6,917,266","7.1%","7.7%","27.5%","15.9%","9.0%","18.3%","14.5%","85.2%","32.7%","1,349,055","89.3%","46.0%","1,331,363","88.4%","38.1%","2,701,680","87.4%","31.2%","1,535,168","74.9%","19.2%","","31.9%","15.4%","11.5%","5.3%","","32,468","15,495","23,477","31,072","45,396","58,648","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","951,694","18.3%","29.1%","44.9%","7.7%","6,325,621","5.6%","9.6%","27.7%","22.0%","8.6%","17.8%","8.7%","84.7%","26.5%","1,243,403","85.7%","28.7%","1,339,385","88.0%","29.6%","2,503,114","87.4%","26.9%","1,239,719","74.8%","19.9%","","30.9%","15.0%","11.3%","4.0%","","30,724","16,371","24,973","30,068","42,247","54,611","","4.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","486,243","22.0%","31.6%","41.2%","5.3%","2,998,220","6.4%","10.8%","28.5%","20.9%","7.1%","17.4%","8.9%","82.8%","26.3%","612,369","83.0%","24.3%","660,431","85.1%","27.0%","1,200,274","85.2%","27.2%","525,146","74.5%","25.8%","","26.5%","13.2%","8.8%","3.5%","","34,904","18,498","28,622","35,821","52,138","73,050","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","465,451","14.4%","26.4%","48.8%","10.3%","3,327,401","4.9%","8.6%","26.9%","23.0%","10.0%","18.1%","8.5%","86.5%","26.6%","631,034","88.3%","33.0%","678,954","90.9%","32.1%","1,302,840","89.5%","26.6%","714,573","75.1%","15.5%","","35.8%","16.8%","13.3%","4.4%","","26,655","13,040","20,828","25,583","36,991","47,160","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,096","8.5%","22.0%","58.4%","11.0%","442,946","4.9%","4.7%","27.1%","24.0%","11.7%","19.7%","7.9%","90.3%","27.6%","88,894","95.8%","35.5%","76,567","95.5%","35.8%","179,410","94.0%","26.9%","98,075","74.6%","15.4%","","20.7%","10.4%","9.1%","4.1%","","31,927","19,900","26,332","30,809","40,188","52,295","","2.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,616","10.2%","24.6%","55.1%","10.1%","220,593","5.1%","5.1%","27.9%","23.5%","12.4%","18.1%","7.8%","89.8%","26.0%","47,319","95.1%","29.6%","39,637","96.2%","31.2%","90,880","92.7%","25.5%","42,757","71.6%","17.9%","","17.2%","7.9%","6.3%","3.6%","","40,275","23,738","32,995","38,867","48,949","61,705","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,480","6.6%","19.0%","62.3%","12.1%","222,353","4.7%","4.4%","26.2%","24.4%","11.0%","21.3%","7.9%","90.9%","29.2%","41,575","96.6%","42.2%","36,930","94.9%","40.6%","88,530","95.4%","28.3%","55,318","76.8%","13.4%","","25.0%","12.9%","11.8%","4.5%","","26,210","15,575","20,626","23,096","33,648","48,712","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,094,487","16.6%","30.8%","43.7%","8.8%","7,720,849","3.3%","8.6%","35.2%","20.5%","7.8%","15.7%","8.9%","88.1%","24.6%","1,419,211","90.2%","29.3%","1,472,448","91.5%","29.2%","3,203,412","90.5%","24.4%","1,625,778","78.7%","16.8%","","27.4%","12.7%","10.8%","4.0%","","31,858","17,012","26,028","31,004","45,534","60,798","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","553,463","19.1%","33.1%","40.2%","7.6%","3,687,918","3.4%","9.0%","35.8%","20.1%","6.5%","16.1%","9.1%","87.6%","25.2%","707,250","88.5%","26.9%","729,009","90.2%","27.2%","1,564,735","89.6%","25.1%","686,924","79.2%","21.4%","","24.3%","11.0%","8.4%","3.7%","","38,737","20,548","31,739","37,334","56,013","72,404","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","541,024","14.1%","28.5%","47.3%","10.0%","4,032,931","3.2%","8.2%","34.7%","20.8%","9.0%","15.3%","8.8%","88.7%","24.1%","711,961","91.9%","31.7%","743,439","92.8%","31.1%","1,638,677","91.3%","23.8%","938,854","78.3%","13.4%","","30.4%","14.3%","12.8%","4.2%","","26,588","13,796","20,821","26,242","36,911","51,924","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","381,565","18.5%","33.2%","42.0%","6.4%","2,449,213","4.6%","9.2%","32.0%","24.5%","6.8%","15.4%","7.5%","86.2%","22.9%","506,655","87.1%","23.3%","465,265","88.1%","24.8%","967,504","88.8%","24.2%","509,789","78.8%","18.3%","","25.4%","15.3%","10.8%","3.8%","","30,199","17,745","23,999","29,424","40,926","50,793","","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","195,647","21.4%","35.6%","37.7%","5.2%","1,187,348","4.8%","9.5%","32.5%","24.0%","6.1%","15.3%","7.9%","85.7%","23.2%","257,503","86.1%","21.2%","234,977","86.5%","22.3%","472,637","88.1%","24.3%","222,231","79.3%","24.0%","","22.4%","13.0%","8.0%","3.5%","","35,623","21,513","29,765","35,949","51,161","65,773","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,918","15.4%","30.5%","46.5%","7.6%","1,261,865","4.3%","9.0%","31.7%","25.0%","7.5%","15.4%","7.2%","86.7%","22.6%","249,152","88.0%","25.4%","230,288","89.8%","27.4%","494,867","89.5%","24.0%","287,558","78.3%","13.9%","","28.2%","17.5%","13.2%","4.0%","","23,696","14,067","18,399","22,510","35,561","42,704","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","357,560","16.4%","28.2%","48.1%","7.3%","2,614,886","4.1%","7.2%","25.0%","27.2%","7.8%","18.3%","10.5%","88.8%","28.8%","524,977","87.6%","29.5%","497,859","88.4%","32.2%","1,057,157","90.8%","29.1%","534,893","86.0%","24.1%","","26.6%","14.1%","11.7%","5.8%","","30,439","17,970","24,147","28,783","41,884","54,217","","4.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","182,986","18.4%","28.6%","47.0%","5.9%","1,272,231","4.5%","7.6%","25.2%","25.9%","7.6%","18.3%","10.9%","87.9%","29.2%","263,579","86.3%","25.6%","252,868","87.1%","30.7%","518,419","90.1%","29.8%","237,365","85.7%","30.3%","","22.2%","13.3%","10.6%","5.8%","","36,325","22,002","27,918","35,709","51,774","69,005","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","174,574","14.4%","27.8%","49.1%","8.7%","1,342,655","3.8%","6.7%","24.8%","28.5%","8.0%","18.3%","10.1%","89.6%","28.3%","261,398","89.0%","33.4%","244,991","89.8%","33.7%","538,738","91.5%","28.4%","297,528","86.3%","19.2%","","31.3%","14.8%","12.6%","5.8%","","25,296","13,258","20,895","24,438","33,889","45,301","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,269,627","13.5%","31.3%","43.6%","11.6%","8,654,829","3.8%","7.8%","37.5%","16.5%","7.4%","16.7%","10.4%","88.4%","27.1%","1,511,925","91.3%","34.5%","1,613,956","92.1%","32.2%","3,563,443","91.2%","27.2%","1,965,505","78.3%","17.0%","","24.3%","11.5%","8.4%","3.6%","","34,229","19,537","26,785","32,391","46,904","63,065","","4.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","639,980","15.6%","34.7%","40.2%","9.4%","4,126,181","3.8%","8.0%","37.5%","16.5%","6.5%","17.0%","10.7%","88.2%","27.7%","758,563","90.0%","30.1%","801,752","90.8%","29.7%","1,741,359","90.6%","28.2%","824,507","79.1%","22.7%","","21.2%","9.5%","6.7%","3.1%","","40,888","24,143","32,474","40,417","57,190","77,132","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","629,647","11.4%","27.8%","47.0%","13.7%","4,528,648","3.7%","7.6%","37.5%","16.4%","8.2%","16.4%","10.1%","88.6%","26.5%","753,362","92.6%","39.0%","812,204","93.3%","34.6%","1,822,084","91.6%","26.3%","1,140,998","77.8%","12.8%","","27.2%","13.2%","9.9%","4.0%","","27,809","14,185","21,134","27,396","39,319","54,246","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,884","10.8%","25.2%","52.9%","11.1%","709,979","7.3%","9.2%","27.2%","18.7%","7.4%","18.1%","12.2%","83.5%","30.2%","126,617","86.4%","35.6%","138,010","88.0%","34.7%","293,169","86.5%","30.7%","152,183","71.2%","20.8%","","23.5%","11.9%","7.9%","5.2%","","36,919","20,035","28,854","33,739","51,115","64,610","","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,706","11.9%","30.0%","47.8%","10.3%","333,527","7.5%","9.9%","27.3%","18.1%","6.6%","18.6%","12.0%","82.6%","30.6%","62,436","83.3%","32.8%","67,218","86.5%","30.2%","141,221","84.8%","31.2%","62,652","73.0%","27.5%","","22.5%","9.6%","6.1%","5.4%","","41,997","24,148","35,621","40,802","58,737","73,770","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,178","9.6%","20.4%","58.1%","11.8%","376,452","7.2%","8.5%","27.1%","19.1%","8.1%","17.6%","12.3%","84.3%","29.9%","64,181","89.4%","38.4%","70,792","89.4%","38.9%","151,948","88.1%","30.2%","89,531","70.1%","16.1%","","24.5%","13.9%","9.4%","5.0%","","32,011","17,712","23,217","30,321","44,868","57,110","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480,525","19.7%","29.1%","43.1%","8.1%","3,074,357","5.5%","10.5%","30.5%","20.6%","8.4%","15.8%","8.8%","84.1%","24.5%","587,427","86.0%","27.1%","604,903","88.1%","25.3%","1,247,097","86.4%","24.9%","634,930","73.8%","20.8%","","30.9%","15.9%","10.5%","4.1%","","30,362","17,251","24,889","29,814","41,120","51,418","","5.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","245,838","22.5%","32.0%","38.5%","7.1%","1,459,418","5.9%","11.3%","31.0%","20.0%","7.3%","16.0%","8.5%","82.8%","24.4%","291,900","82.7%","22.6%","297,157","85.6%","22.2%","596,402","84.8%","25.2%","273,959","75.4%","27.0%","","28.0%","13.8%","7.3%","3.8%","","35,866","20,487","30,431","37,067","51,375","61,878","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","234,687","16.8%","26.1%","47.9%","9.3%","1,614,939","5.1%","9.7%","30.0%","21.1%","9.5%","15.6%","9.1%","85.2%","24.6%","295,527","89.2%","31.5%","307,746","90.6%","28.2%","650,695","87.9%","24.6%","360,971","72.5%","16.1%","","33.9%","17.9%","13.2%","4.4%","","25,469","13,956","20,347","24,907","33,328","46,789","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,004","18.6%","25.3%","47.2%","8.9%","532,379","4.7%","5.7%","31.6%","21.7%","10.0%","18.6%","7.7%","89.6%","26.3%","103,800","92.6%","29.8%","95,771","92.6%","30.8%","214,901","92.2%","27.5%","117,907","79.9%","17.2%","","26.8%","12.9%","9.5%","4.0%","","30,246","19,313","24,637","29,303","36,955","50,567","","2.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,749","21.5%","26.6%","46.0%","5.8%","262,639","5.3%","6.2%","33.4%","19.6%","9.3%","17.8%","8.3%","88.5%","26.1%","54,597","90.8%","26.9%","48,551","91.9%","27.3%","107,689","91.1%","28.0%","51,802","77.3%","20.2%","","22.3%","11.5%","7.1%","4.1%","","34,672","21,695","28,868","34,630","43,530","60,851","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,255","15.5%","23.9%","48.4%","12.2%","269,740","4.0%","5.3%","29.9%","23.7%","10.7%","19.3%","7.1%","90.7%","26.4%","49,203","94.5%","33.1%","47,220","93.3%","34.3%","107,212","93.3%","27.0%","66,105","81.9%","14.8%","","32.4%","14.4%","11.5%","4.0%","","25,673","15,676","20,332","25,038","32,401","41,174","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","617,272","16.5%","34.6%","41.6%","7.3%","4,242,391","6.2%","10.1%","33.5%","20.8%","6.2%","14.6%","8.5%","83.6%","23.1%","814,655","88.3%","26.7%","859,877","88.2%","26.1%","1,707,937","85.6%","23.3%","859,922","70.9%","16.3%","","29.1%","15.4%","10.3%","4.1%","","30,386","17,087","24,248","30,385","42,181","52,373","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","309,242","19.3%","37.5%","38.1%","5.1%","2,019,720","6.6%","10.8%","34.1%","19.8%","5.1%","15.0%","8.5%","82.5%","23.4%","402,366","85.6%","22.4%","425,644","86.3%","23.8%","823,710","83.5%","24.7%","368,000","72.7%","21.3%","","26.5%","13.2%","8.0%","4.0%","","35,248","20,612","29,384","36,379","52,968","67,366","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","308,030","13.7%","31.7%","45.1%","9.5%","2,222,671","5.9%","9.5%","33.0%","21.7%","7.2%","14.4%","8.5%","84.6%","22.8%","412,289","90.9%","30.8%","434,233","90.1%","28.4%","884,227","87.5%","22.1%","491,922","69.5%","12.5%","","31.7%","17.5%","12.1%","4.3%","","25,595","13,031","20,168","25,684","36,325","46,376","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,597,445","20.0%","30.2%","42.6%","7.2%","15,772,122","9.7%","9.6%","25.6%","22.8%","6.3%","17.3%","8.6%","80.7%","25.9%","3,607,541","82.6%","26.0%","3,479,592","81.4%","27.4%","6,066,046","82.3%","27.0%","2,618,943","73.1%","21.4%","","29.1%","14.7%","9.5%","3.9%","","31,799","17,551","25,536","31,899","49,322","61,591","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,337,990","22.9%","32.0%","39.0%","6.1%","7,667,730","9.9%","10.1%","25.5%","22.1%","5.9%","17.2%","9.3%","80.0%","26.5%","1,810,740","80.5%","22.7%","1,736,270","80.2%","26.2%","2,978,501","81.5%","28.4%","1,142,219","74.9%","28.2%","","24.5%","12.5%","7.5%","3.6%","","37,206","21,366","30,744","38,898","60,868","79,961","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,259,455","16.9%","28.4%","46.3%","8.4%","8,104,392","9.6%","9.1%","25.7%","23.5%","6.7%","17.4%","8.0%","81.3%","25.4%","1,796,801","84.8%","29.3%","1,743,322","82.6%","28.6%","3,087,545","83.2%","25.8%","1,476,724","71.7%","16.1%","","33.5%","16.6%","11.2%","4.3%","","26,667","12,690","20,653","27,056","42,180","51,362","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","317,969","14.4%","27.4%","52.8%","5.3%","1,584,824","3.1%","6.3%","24.5%","27.8%","9.0%","19.9%","9.4%","90.6%","29.3%","449,176","91.3%","28.5%","332,449","90.1%","31.5%","552,399","91.7%","30.3%","250,800","87.7%","25.9%","","23.7%","10.8%","8.6%","4.7%","","32,242","21,220","26,724","30,658","41,156","62,085","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,939","16.8%","29.2%","50.7%","3.3%","787,073","3.1%","6.8%","23.2%","26.6%","8.0%","20.4%","12.0%","90.2%","32.4%","229,820","90.4%","27.7%","169,260","89.3%","33.8%","274,385","91.3%","34.1%","113,608","88.4%","35.7%","","21.6%","10.2%","8.1%","4.3%","","41,181","24,521","33,473","39,524","51,586","74,857","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159,030","12.1%","25.6%","54.9%","7.3%","797,751","3.1%","5.9%","25.7%","28.9%","10.1%","19.4%","6.9%","91.0%","26.4%","219,356","92.3%","29.4%","163,189","90.9%","29.3%","278,014","92.1%","26.5%","137,192","87.0%","17.8%","","25.9%","11.2%","9.1%","5.2%","","23,447","17,324","20,406","22,087","30,195","50,002","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65,257","9.0%","33.7%","47.3%","10.0%","431,042","3.0%","5.9%","31.5%","17.6%","8.3%","20.3%","13.3%","91.0%","33.6%","69,728","93.5%","34.3%","77,686","95.0%","35.0%","192,397","92.9%","34.9%","91,231","81.6%","29.2%","","24.3%","11.3%","9.4%","4.6%","","31,927","17,769","27,020","30,999","38,534","53,899","","2.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,907","11.8%","34.8%","45.7%","7.8%","207,322","3.8%","7.0%","33.9%","15.7%","7.6%","19.2%","12.8%","89.2%","32.0%","34,354","91.3%","28.1%","38,317","94.2%","34.3%","94,271","90.5%","31.5%","40,380","79.5%","34.5%","","19.8%","10.7%","6.4%","5.3%","","37,484","20,693","30,984","38,809","48,257","65,380","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,350","5.9%","32.6%","49.1%","12.5%","223,720","2.4%","4.9%","29.3%","19.4%","9.0%","21.4%","13.7%","92.7%","35.1%","35,374","95.7%","40.3%","39,369","95.9%","35.7%","98,126","95.2%","38.1%","50,851","83.3%","25.0%","","30.7%","12.1%","11.6%","4.1%","","27,590","15,348","22,451","25,566","32,232","47,237","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","809,695","12.8%","30.4%","45.9%","10.9%","5,361,301","5.5%","8.0%","25.4%","20.1%","6.7%","20.1%","14.2%","86.5%","34.2%","1,084,897","89.4%","37.5%","1,120,016","89.5%","38.8%","2,176,113","88.2%","34.7%","980,275","76.3%","24.3%","","22.3%","10.3%","7.3%","2.8%","","39,480","20,392","27,801","35,552","52,876","75,523","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","416,484","15.0%","33.7%","42.8%","8.4%","2,572,980","6.2%","8.6%","25.5%","19.1%","5.9%","19.4%","15.3%","85.2%","34.7%","540,027","87.3%","33.0%","554,138","87.3%","37.0%","1,055,439","86.4%","35.6%","423,376","76.9%","31.9%","","19.2%","8.7%","5.6%","2.2%","","46,505","24,175","33,376","42,546","68,639","97,470","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","393,211","10.5%","26.8%","49.1%","13.6%","2,788,321","4.8%","7.4%","25.4%","21.0%","7.5%","20.7%","13.1%","87.8%","33.8%","544,870","91.4%","42.0%","565,878","91.6%","40.6%","1,120,674","89.9%","33.8%","556,899","76.0%","18.6%","","25.7%","11.8%","8.7%","3.3%","","31,813","15,595","22,225","29,573","43,007","59,439","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","655,256","17.8%","29.7%","43.8%","8.7%","4,505,657","4.1%","6.1%","23.8%","25.5%","9.4%","19.9%","11.1%","89.8%","31.1%","936,043","89.2%","30.7%","911,095","89.7%","34.4%","1,828,141","91.9%","31.8%","830,378","85.9%","26.2%","","25.9%","11.9%","9.2%","4.2%","","36,766","19,291","29,611","35,147","50,558","62,865","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","336,325","20.9%","32.4%","40.0%","6.7%","2,210,655","4.1%","6.8%","23.8%","24.6%","9.0%","20.2%","11.5%","89.1%","31.7%","477,273","87.1%","27.4%","461,927","87.8%","32.4%","901,049","91.8%","33.1%","370,406","86.7%","33.1%","","22.7%","10.9%","7.4%","3.8%","","44,352","21,870","34,975","41,702","62,271","79,740","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318,931","14.5%","26.9%","47.8%","10.7%","2,295,002","4.1%","5.4%","23.8%","26.4%","9.9%","19.7%","10.7%","90.5%","30.4%","458,770","91.3%","34.2%","449,168","91.7%","36.4%","927,092","92.1%","30.5%","459,972","85.3%","20.6%","","29.4%","12.8%","10.8%","4.6%","","30,491","14,725","22,794","28,983","40,054","52,160","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172,543","16.2%","34.2%","41.5%","8.1%","1,294,747","6.1%","10.7%","41.6%","18.3%","5.8%","10.9%","6.6%","83.2%","17.5%","217,955","89.8%","22.8%","239,097","89.0%","20.2%","539,089","85.5%","17.5%","298,606","69.7%","11.5%","","29.5%","14.3%","10.9%","4.6%","","29,690","18,589","25,595","27,923","39,750","50,661","","3.4%"
