"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","101,323","21.6%","23.8%","48.9%","5.7%","695,365","7.0%","8.8%","25.9%","24.8%","8.1%","14.8%","10.6%","84.2%","25.5%","133,334","87.2%","24.7%","121,761","84.7%","28.0%","284,900","87.2%","27.7%","155,370","76.0%","20.1%","","36.8%","19.5%","15.7%","5.9%","","25,368","13,316","18,540","24,365","36,394","48,021","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,987,871","14.8%","25.6%","45.8%","13.9%","13,197,704","6.8%","8.1%","27.5%","16.3%","8.3%","18.7%","14.2%","85.0%","32.9%","2,708,911","88.3%","41.5%","2,566,794","87.2%","36.7%","5,257,079","86.8%","31.6%","2,664,920","76.1%","23.3%","","29.0%","15.0%","10.6%","5.3%","","37,958","19,253","28,405","35,937","51,446","68,079","","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,010,917","17.5%","27.7%","43.3%","11.5%","6,234,632","6.6%","8.6%","28.0%","16.7%","7.4%","19.0%","13.6%","84.8%","32.6%","1,338,851","86.9%","36.6%","1,260,585","85.9%","33.8%","2,527,887","86.4%","31.6%","1,107,309","77.3%","28.8%","","23.5%","13.0%","8.6%","4.6%","","42,318","22,032","33,312","41,907","60,477","81,957","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","976,954","11.9%","23.4%","48.4%","16.4%","6,963,072","7.0%","7.7%","27.1%","15.9%","9.0%","18.4%","14.8%","85.3%","33.2%","1,370,060","89.7%","46.3%","1,306,209","88.5%","39.5%","2,729,192","87.2%","31.5%","1,557,611","75.3%","19.3%","","34.0%","16.9%","12.2%","5.9%","","33,123","15,373","22,941","30,840","45,431","60,255","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","967,902","17.0%","29.8%","45.3%","7.8%","6,399,357","5.7%","9.5%","27.3%","21.8%","8.7%","17.8%","9.2%","84.7%","26.9%","1,246,395","85.4%","29.5%","1,319,454","87.5%","30.9%","2,557,552","87.6%","26.8%","1,275,956","75.4%","20.5%","","30.7%","15.4%","11.8%","4.2%","","31,048","17,028","24,849","30,326","42,842","57,828","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495,145","20.3%","31.6%","42.0%","6.1%","3,034,749","6.6%","10.4%","28.6%","20.7%","7.2%","17.1%","9.3%","83.0%","26.5%","614,440","82.7%","25.5%","646,398","84.9%","28.1%","1,230,395","85.5%","26.7%","543,516","75.5%","25.2%","","26.8%","13.4%","8.5%","3.7%","","35,941","19,531","28,693","36,795","52,810","75,477","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","472,757","13.7%","28.0%","48.8%","9.6%","3,364,608","5.0%","8.7%","26.1%","22.8%","10.1%","18.3%","9.0%","86.3%","27.3%","631,955","88.0%","33.5%","673,056","90.1%","33.7%","1,327,157","89.6%","26.9%","732,440","75.3%","17.0%","","35.1%","17.3%","14.3%","4.6%","","26,620","13,450","20,796","25,313","36,751","49,251","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,509","9.3%","27.8%","54.4%","8.5%","448,145","4.5%","4.8%","26.9%","24.4%","13.1%","19.3%","7.0%","90.7%","26.3%","93,441","95.1%","34.2%","75,277","94.4%","31.8%","180,971","95.0%","26.1%","98,456","75.8%","15.0%","","23.1%","10.0%","7.6%","2.9%","","33,533","25,026","29,454","31,754","40,475","56,753","","2.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,048","11.1%","32.9%","51.6%","4.4%","223,043","4.5%","5.3%","29.4%","23.4%","12.9%","17.7%","6.8%","90.3%","24.5%","50,183","94.3%","28.3%","38,544","92.9%","26.8%","91,314","94.5%","24.7%","43,002","74.1%","17.9%","","16.0%","8.6%","6.4%","3.1%","","41,745","30,265","36,819","41,415","51,008","68,701","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,461","7.2%","22.1%","57.5%","13.2%","225,102","4.5%","4.4%","24.5%","25.3%","13.3%","20.9%","7.1%","91.2%","28.1%","43,258","96.1%","41.1%","36,733","96.0%","37.0%","89,657","95.6%","27.6%","55,454","77.0%","12.8%","","31.5%","11.8%","8.7%","2.7%","","26,551","18,268","21,178","24,752","34,982","49,700","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,103,343","15.7%","30.5%","45.4%","8.4%","7,749,236","3.3%","8.4%","34.8%","21.1%","7.8%","15.4%","9.2%","88.3%","24.7%","1,421,908","90.3%","29.5%","1,451,623","91.5%","29.0%","3,227,871","90.5%","24.3%","1,647,834","79.5%","17.4%","","29.6%","12.9%","11.4%","4.0%","","32,770","17,615","26,714","31,513","46,594","61,626","","3.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","559,060","18.1%","33.0%","42.5%","6.4%","3,704,377","3.5%","8.6%","35.2%","20.8%","6.6%","15.8%","9.4%","87.9%","25.3%","708,106","89.3%","26.3%","720,603","90.3%","27.0%","1,574,982","89.9%","25.1%","700,686","79.4%","22.8%","","25.8%","11.2%","8.6%","4.0%","","40,047","20,743","32,653","38,723","56,234","73,322","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","544,283","13.4%","27.9%","48.3%","10.4%","4,044,859","3.1%","8.2%","34.4%","21.3%","8.9%","15.1%","9.0%","88.7%","24.1%","713,802","91.2%","32.7%","731,020","92.8%","31.1%","1,652,889","90.9%","23.5%","947,148","79.6%","13.4%","","33.2%","14.6%","13.7%","4.1%","","27,411","14,321","21,023","26,648","38,498","54,118","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,679","18.7%","33.3%","41.2%","6.9%","2,469,196","4.8%","8.9%","31.4%","24.1%","7.0%","16.0%","7.8%","86.3%","23.8%","512,454","87.1%","25.0%","466,418","88.0%","26.1%","972,934","88.3%","24.7%","517,390","80.3%","18.9%","","28.5%","15.1%","11.7%","4.3%","","30,785","17,793","25,283","30,094","41,779","51,631","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","199,945","20.7%","36.1%","38.1%","5.1%","1,198,119","5.5%","9.3%","31.6%","23.5%","6.4%","15.8%","8.0%","85.2%","23.7%","260,897","85.0%","21.3%","236,024","85.5%","23.2%","474,503","86.9%","24.9%","226,695","81.6%","24.7%","","25.9%","13.5%","9.3%","3.7%","","36,549","20,950","30,703","36,942","51,945","67,817","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,734","16.5%","30.2%","44.4%","8.9%","1,271,077","4.1%","8.5%","31.2%","24.7%","7.6%","16.3%","7.6%","87.4%","23.9%","251,557","89.2%","28.8%","230,394","90.6%","29.1%","498,431","89.6%","24.6%","290,695","79.2%","14.4%","","31.3%","16.6%","13.8%","4.9%","","25,125","14,267","20,010","24,108","35,719","42,796","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,085","15.5%","30.1%","46.7%","7.7%","2,644,754","4.2%","6.5%","25.1%","26.8%","8.2%","18.4%","10.9%","89.4%","29.3%","530,964","88.7%","29.8%","501,136","88.2%","31.7%","1,059,533","91.4%","29.5%","553,121","87.0%","26.4%","","28.8%","16.1%","12.7%","6.2%","","30,926","18,632","24,300","29,568","41,282","55,846","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,949","17.6%","33.4%","43.3%","5.6%","1,286,421","4.3%","7.1%","25.2%","25.9%","7.7%","18.2%","11.5%","88.5%","29.7%","267,922","87.0%","25.6%","255,379","87.5%","29.9%","515,650","90.6%","30.2%","247,470","86.8%","32.9%","","24.9%","15.5%","10.9%","5.6%","","36,472","22,188","28,904","35,728","50,889","69,552","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","179,136","13.3%","26.7%","50.2%","9.8%","1,358,333","4.0%","5.9%","24.9%","27.6%","8.6%","18.6%","10.4%","90.1%","29.0%","263,042","90.4%","34.2%","245,757","88.9%","33.6%","543,883","92.2%","28.9%","305,651","87.1%","21.1%","","32.9%","16.6%","14.2%","6.7%","","25,484","13,501","20,032","24,065","32,294","46,538","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,267,737","13.5%","30.7%","44.7%","11.0%","8,714,235","3.6%","7.7%","37.5%","16.6%","7.6%","16.6%","10.4%","88.6%","27.0%","1,536,268","91.5%","35.2%","1,581,638","92.0%","32.0%","3,613,911","91.0%","26.6%","1,982,418","79.3%","17.3%","","25.5%","11.7%","9.5%","3.7%","","35,178","20,095","27,896","33,393","47,252","64,118","","4.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","643,441","15.4%","33.7%","41.9%","9.1%","4,157,544","3.7%","8.0%","37.9%","16.4%","6.8%","16.6%","10.7%","88.3%","27.3%","768,898","90.6%","30.9%","785,850","90.9%","29.3%","1,766,692","90.4%","27.0%","836,104","79.5%","22.8%","","21.9%","9.9%","7.3%","3.4%","","41,575","24,298","34,631","40,930","56,692","80,121","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","624,296","11.6%","27.7%","47.7%","13.0%","4,556,691","3.6%","7.5%","37.2%","16.7%","8.3%","16.5%","10.2%","88.9%","26.7%","767,370","92.4%","39.4%","795,788","93.1%","34.6%","1,847,219","91.7%","26.2%","1,146,314","79.1%","13.3%","","28.8%","13.2%","11.4%","4.0%","","28,878","14,518","21,797","28,273","39,812","54,539","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","119,962","11.6%","25.9%","49.7%","12.8%","712,266","6.4%","8.8%","26.4%","18.9%","8.4%","18.8%","12.3%","84.8%","31.1%","129,313","88.9%","35.2%","134,224","88.5%","34.0%","295,052","87.2%","33.1%","153,677","73.3%","21.4%","","24.5%","13.9%","9.3%","3.5%","","38,943","23,042","29,787","36,795","50,327","68,393","","4.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60,256","12.9%","26.7%","49.8%","10.6%","336,083","6.6%","9.3%","26.1%","18.1%","7.5%","19.4%","13.0%","84.1%","32.4%","64,783","87.6%","34.0%","65,869","87.5%","31.8%","141,782","84.9%","33.2%","63,649","75.2%","29.4%","","17.5%","11.9%","6.2%","3.0%","","43,383","27,436","34,782","42,347","60,888","78,543","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,706","10.3%","25.0%","49.7%","15.0%","376,183","6.3%","8.3%","26.7%","19.6%","9.1%","18.3%","11.7%","85.4%","30.0%","64,530","90.3%","36.4%","68,355","89.6%","36.1%","153,270","89.4%","33.0%","90,028","72.0%","15.8%","","31.4%","15.7%","11.7%","4.1%","","33,118","15,478","24,882","31,716","41,166","61,685","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","486,685","18.2%","31.6%","43.4%","6.8%","3,110,532","5.6%","10.3%","30.7%","20.8%","8.6%","15.6%","8.4%","84.2%","24.1%","590,872","86.4%","26.2%","605,218","87.7%","26.5%","1,259,555","86.2%","23.2%","654,887","75.0%","21.6%","","33.0%","16.4%","11.0%","4.2%","","30,559","17,645","24,579","30,343","40,976","54,100","","5.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,489","22.8%","32.6%","38.7%","5.9%","1,474,305","6.1%","11.0%","31.6%","19.8%","7.4%","15.6%","8.5%","82.9%","24.1%","290,622","84.1%","22.4%","300,066","85.3%","23.4%","599,452","84.3%","23.2%","284,165","76.1%","28.5%","","28.3%","14.0%","7.9%","3.3%","","36,094","20,305","30,204","36,694","51,551","70,568","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","237,196","13.3%","30.5%","48.4%","7.8%","1,636,227","5.1%","9.7%","29.9%","21.7%","9.6%","15.7%","8.3%","85.3%","24.0%","300,250","88.6%","29.8%","305,152","89.9%","29.5%","660,103","87.9%","23.2%","370,722","74.2%","16.3%","","37.7%","18.7%","13.4%","4.9%","","25,651","14,483","20,066","25,630","34,100","47,235","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,645","16.6%","27.8%","49.8%","5.8%","537,588","4.1%","5.3%","31.4%","23.1%","9.7%","18.2%","8.1%","90.6%","26.3%","104,412","91.6%","31.1%","96,172","93.2%","28.6%","216,979","93.4%","26.1%","120,025","82.6%","20.9%","","23.6%","10.8%","9.2%","5.5%","","31,546","21,954","26,683","30,719","38,775","47,224","","2.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,745","18.0%","33.0%","43.9%","5.1%","264,798","4.6%","5.8%","33.6%","21.9%","9.0%","17.1%","8.0%","89.6%","25.1%","52,889","91.5%","25.1%","49,073","92.6%","25.1%","110,252","92.0%","25.0%","52,584","80.0%","24.9%","","17.6%","8.4%","8.6%","4.8%","","37,067","26,220","33,112","36,329","46,742","54,544","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,900","15.2%","22.1%","56.1%","6.6%","272,790","3.6%","4.8%","29.3%","24.2%","10.4%","19.3%","8.3%","91.5%","27.6%","51,523","91.6%","37.2%","47,099","93.9%","32.3%","106,727","94.8%","27.1%","67,441","84.6%","17.7%","","30.9%","13.5%","9.7%","6.0%","","26,001","13,059","21,187","26,045","33,452","42,656","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","618,507","13.8%","36.8%","41.8%","7.5%","4,294,392","6.1%","9.7%","33.4%","21.2%","6.0%","15.3%","8.3%","84.2%","23.6%","831,963","88.7%","27.0%","841,710","88.8%","27.5%","1,741,686","86.3%","23.4%","879,033","71.7%","17.1%","","30.6%","16.1%","11.7%","3.8%","","30,842","17,700","24,688","30,663","41,627","54,857","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","312,226","15.6%","40.5%","38.3%","5.6%","2,046,502","6.6%","10.3%","34.1%","20.5%","5.1%","15.0%","8.5%","83.1%","23.4%","409,563","86.3%","22.3%","416,483","86.6%","25.0%","842,319","84.6%","23.8%","378,137","72.4%","22.2%","","26.7%","13.8%","9.1%","3.3%","","35,454","20,402","30,100","35,910","51,676","72,251","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","306,281","12.1%","33.1%","45.3%","9.5%","2,247,890","5.7%","9.0%","32.8%","21.8%","6.9%","15.5%","8.2%","85.3%","23.8%","422,400","91.0%","31.5%","425,227","90.9%","29.9%","899,367","87.9%","23.2%","500,896","71.1%","13.2%","","34.7%","18.2%","13.8%","4.3%","","26,367","14,616","20,060","26,611","36,144","47,054","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,642,608","19.3%","29.5%","44.1%","7.1%","16,074,391","9.5%","9.4%","25.5%","22.6%","6.5%","17.7%","8.7%","81.1%","26.4%","3,671,399","83.7%","26.8%","3,512,490","81.6%","28.2%","6,182,677","82.4%","27.3%","2,707,825","73.8%","21.7%","","30.6%","15.3%","10.1%","4.2%","","32,769","17,945","26,008","32,809","50,441","63,542","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,364,082","21.9%","31.7%","40.7%","5.7%","7,818,598","9.7%","9.7%","25.4%","22.1%","6.2%","17.7%","9.2%","80.6%","26.9%","1,852,360","81.8%","23.0%","1,751,514","80.2%","27.0%","3,027,881","81.8%","28.5%","1,186,843","75.9%","28.7%","","26.3%","12.9%","7.8%","4.1%","","38,638","21,584","30,973","40,618","61,212","81,155","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,278,526","16.5%","27.2%","47.7%","8.6%","8,255,793","9.3%","9.1%","25.6%","23.1%","6.9%","17.8%","8.2%","81.6%","26.0%","1,819,039","85.6%","30.7%","1,760,976","82.9%","29.3%","3,154,796","83.0%","26.1%","1,520,982","72.2%","16.3%","","34.7%","17.6%","12.2%","4.4%","","27,552","12,839","21,202","27,252","44,008","52,474","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","327,475","12.1%","28.6%","53.6%","5.7%","1,608,668","3.2%","6.5%","23.7%","27.7%","9.2%","20.1%","9.7%","90.3%","29.7%","441,878","90.2%","29.3%","347,367","89.3%","31.5%","561,099","91.8%","30.5%","258,324","88.9%","26.4%","","25.5%","12.1%","9.6%","4.2%","","32,990","19,956","27,499","30,387","41,910","61,989","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","165,369","13.5%","33.0%","50.4%","3.1%","798,958","3.3%","7.1%","22.7%","26.1%","8.2%","20.2%","12.3%","89.5%","32.5%","224,047","89.2%","28.3%","177,869","87.9%","32.8%","279,064","91.2%","34.1%","117,978","88.8%","36.3%","","22.4%","10.6%","8.2%","3.9%","","42,188","25,222","35,691","40,227","54,587","76,027","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,106","10.6%","24.0%","57.0%","8.3%","809,710","3.0%","5.9%","24.7%","29.2%","10.2%","20.0%","7.0%","91.2%","27.0%","217,831","91.2%","30.3%","169,498","90.7%","30.2%","282,035","92.5%","27.0%","140,346","88.9%","18.0%","","29.1%","13.5%","10.9%","4.5%","","22,728","15,043","19,475","21,286","31,526","49,051","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65,858","8.4%","25.4%","54.8%","11.4%","434,652","2.8%","5.5%","30.2%","17.8%","8.4%","21.4%","14.0%","91.8%","35.4%","70,364","93.8%","38.7%","77,416","93.2%","38.3%","193,231","93.9%","36.1%","93,641","84.5%","29.0%","","23.6%","10.2%","8.5%","4.1%","","33,654","22,660","26,742","33,603","37,995","50,593","","2.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,716","11.2%","27.9%","49.4%","11.6%","210,305","3.3%","6.8%","33.5%","17.4%","6.8%","19.5%","12.8%","89.9%","32.3%","34,987","90.9%","30.9%","38,826","90.7%","33.0%","94,640","92.2%","32.8%","41,852","83.5%","31.9%","","21.7%","8.5%","6.7%","3.5%","","37,331","25,606","30,156","40,162","44,914","60,857","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,142","5.5%","22.8%","60.5%","11.3%","224,347","2.3%","4.3%","27.1%","18.2%","9.9%","23.2%","15.1%","93.5%","38.3%","35,377","96.7%","46.5%","38,590","95.8%","43.7%","98,591","95.6%","39.3%","51,789","85.4%","26.8%","","26.4%","12.3%","10.0%","4.5%","","30,558","16,920","23,083","29,473","34,003","45,465","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","824,667","12.3%","29.4%","46.1%","12.1%","5,418,844","4.8%","7.3%","25.6%","20.1%","7.0%","20.5%","14.6%","87.8%","35.1%","1,102,896","91.2%","39.3%","1,108,137","91.0%","40.2%","2,197,476","89.2%","34.7%","1,010,335","77.7%","26.0%","","22.7%","11.7%","7.5%","3.0%","","39,973","19,892","28,154","35,205","54,130","78,537","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","421,398","13.7%","33.7%","43.0%","9.6%","2,605,062","5.2%","7.7%","26.0%","19.2%","6.0%","19.8%","15.9%","87.0%","35.8%","555,572","89.9%","34.6%","547,198","89.6%","38.3%","1,064,570","87.8%","35.8%","437,722","78.4%","34.1%","","19.3%","9.5%","5.5%","2.7%","","47,231","23,899","32,455","42,373","70,409","101,238","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","403,269","10.9%","24.9%","49.4%","14.7%","2,813,782","4.5%","7.0%","25.3%","20.9%","7.9%","21.1%","13.4%","88.6%","34.5%","547,324","92.5%","44.0%","560,939","92.4%","42.1%","1,132,906","90.6%","33.6%","572,613","77.1%","19.8%","","26.0%","13.8%","9.1%","3.3%","","32,291","16,070","23,068","29,754","42,620","58,563","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","666,370","16.5%","29.5%","45.1%","8.9%","4,583,426","4.2%","5.6%","23.8%","24.7%","9.7%","20.2%","11.7%","90.1%","31.9%","959,672","90.0%","31.5%","914,023","89.7%","33.8%","1,848,488","92.1%","32.7%","861,243","86.6%","28.6%","","28.4%","13.2%","10.2%","4.2%","","37,486","19,132","29,963","35,382","51,124","64,029","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","343,860","20.2%","32.3%","40.7%","6.7%","2,254,973","4.2%","6.0%","24.1%","23.7%","9.0%","20.7%","12.3%","89.8%","33.0%","494,436","88.9%","28.9%","461,100","89.0%","32.4%","913,624","91.4%","34.2%","385,813","88.0%","36.1%","","24.3%","12.2%","8.5%","3.8%","","45,674","22,469","35,068","42,344","63,029","79,782","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","322,510","12.5%","26.5%","49.7%","11.3%","2,328,453","4.2%","5.3%","23.6%","25.7%","10.4%","19.7%","11.1%","90.5%","30.8%","465,236","91.1%","34.2%","452,923","90.5%","35.2%","934,864","92.7%","31.2%","475,430","85.5%","22.4%","","32.6%","14.3%","11.6%","4.6%","","30,913","14,674","23,145","29,146","40,182","52,715","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","174,335","15.9%","34.6%","40.9%","8.7%","1,294,198","5.8%","10.0%","41.6%","17.7%","6.4%","11.7%","6.8%","84.2%","18.5%","217,905","90.0%","23.3%","233,792","89.1%","23.1%","541,184","86.1%","18.0%","301,317","72.8%","12.2%","","29.4%","15.4%","12.1%","4.1%","","29,750","17,256","24,639","27,876","41,656","52,308","","3.7%"
