"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.1%","35.5%","45.0%","8.4%","(X)","1.9%","5.3%","29.0%","23.6%","9.3%","20.9%","10.1%","92.8%","31.0%","(X)","92.4%","32.1%","(X)","94.4%","35.0%","(X)","93.8%","30.0%","(X)","90.6%","29.0%","","(X)","93.3%","31.8%","(X)","93.6%","31.9%","(X)","75.5%","26.3%","(X)","85.0%","14.9%","(X)","95.6%","56.2%","(X)","N","N","(X)","78.4%","28.3%","(X)","91.9%","25.1%","(X)","82.6%","24.1%","","25.0%","13.4%","11.0%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,898","6,942","20,222","21,238","3,496","354,746","8,076","20,461","105,543","83,583","30,043","71,460","35,580","(X)","(X)","64,300","58,500","18,215","63,263","59,333","19,088","139,416","129,258","39,932","87,767","79,118","29,805","","324,853","301,124","101,663","318,575","296,024","100,180","2,401","1,675","542","17,068","14,090","1,864","1,482","1,397","1,003","N","N","N","1,001","693","220","7,815","7,142","1,735","8,446","6,743","1,980","","(X)","(X)","(X)","(X)","","39,836","24,744","33,002","38,081","46,715","65,256"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.4%","39.0%","40.9%","6.7%","(X)","2.3%","5.8%","29.8%","23.6%","8.5%","20.1%","10.0%","92.0%","30.2%","(X)","91.0%","28.3%","(X)","93.8%","30.2%","(X)","92.7%","28.6%","(X)","90.1%","34.0%","","(X)","92.7%","31.3%","(X)","92.9%","31.4%","(X)","69.8%","22.6%","(X)","82.6%","10.9%","(X)","94.3%","67.7%","(X)","N","N","(X)","69.2%","22.0%","(X)","91.4%","22.2%","(X)","79.8%","23.4%","","23.9%","11.5%","9.3%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,332","4,265","15,725","24,312","5,030","357,870","5,377","17,324","100,872","84,640","36,091","77,484","36,082","(X)","(X)","62,536","58,721","22,442","57,005","54,150","22,995","142,215","134,784","44,587","96,114","87,514","23,542","","327,510","307,847","105,480","320,985","302,439","103,995","566","566","238","17,753","15,498","3,337","3,844","3,696","1,990","N","N","N","965","849","337","6,862","6,343","1,942","9,652","8,203","2,374","","(X)","(X)","(X)","(X)","","26,943","13,396","21,583","25,060","34,555","47,597"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","8.6%","31.9%","49.3%","10.2%","(X)","1.5%","4.8%","28.2%","23.7%","10.1%","21.7%","10.1%","93.7%","31.7%","(X)","93.9%","35.9%","(X)","95.0%","40.3%","(X)","94.8%","31.4%","(X)","91.1%","24.5%","","(X)","94.0%","32.2%","(X)","94.2%","32.4%","(X)","100.0%","42.0%","(X)","87.3%","18.8%","(X)","96.1%","51.8%","(X)","N","N","(X)","88.0%","34.9%","(X)","92.4%","28.3%","(X)","85.0%","24.6%","","26.3%","15.4%","12.5%","6.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","189,211","19,623","54,416","96,079","19,093","1,243,820","51,410","61,935","328,348","281,360","129,795","261,931","129,041","(X)","(X)","255,384","231,114","95,456","233,281","210,722","87,263","469,865","431,365","137,109","285,290","257,274","71,144","","1,124,773","1,038,013","361,383","1,048,188","995,023","352,431","50,875","43,960","11,840","8,453","6,933","1,265","23,787","17,568","10,091","N","N","N","19,454","9,657","1,425","15,954","13,820","4,968","98,476","54,705","10,661","","(X)","(X)","(X)","(X)","","37,002","25,292","30,482","35,209","46,260","61,459"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.4%","28.8%","50.8%","10.1%","(X)","4.1%","5.0%","26.4%","22.6%","10.4%","21.1%","10.4%","90.9%","31.4%","(X)","90.5%","37.4%","(X)","90.3%","37.4%","(X)","91.8%","29.2%","(X)","90.2%","24.9%","","(X)","92.3%","32.1%","(X)","94.9%","33.6%","(X)","86.4%","23.3%","(X)","82.0%","15.0%","(X)","73.9%","42.4%","(X)","N","N","(X)","49.6%","7.3%","(X)","86.6%","31.1%","(X)","55.6%","10.8%","","24.1%","10.9%","8.0%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,343","10,882","31,344","46,325","7,792","612,019","27,878","34,023","172,266","135,655","62,114","117,825","62,258","(X)","(X)","131,512","117,871","41,213","118,102","105,480","38,227","234,723","212,735","63,623","127,682","114,032","37,020","","552,528","503,439","165,942","511,220","481,992","161,577","25,655","22,396","5,328","4,221","3,407","599","11,214","8,371","5,127","N","N","N","9,764","4,916","702","8,543","7,495","2,385","52,074","27,220","5,186","","(X)","(X)","(X)","(X)","","43,890","27,452","36,600","42,893","56,765","73,844"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.3%","32.5%","48.1%","8.1%","(X)","4.6%","5.6%","28.1%","22.2%","10.1%","19.3%","10.2%","89.9%","29.4%","(X)","89.6%","31.3%","(X)","89.3%","32.4%","(X)","90.6%","27.1%","(X)","89.3%","29.0%","","(X)","91.1%","30.0%","(X)","94.3%","31.6%","(X)","87.3%","20.8%","(X)","80.7%","14.2%","(X)","74.6%","45.7%","(X)","N","N","(X)","50.3%","7.2%","(X)","87.7%","27.9%","(X)","52.3%","10.0%","","20.2%","9.2%","5.9%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","92,868","8,741","23,072","49,754","11,301","631,801","23,532","27,912","156,082","145,705","67,681","144,106","66,783","(X)","(X)","123,872","113,243","54,243","115,179","105,242","49,036","235,142","218,630","73,486","157,608","143,242","34,124","","572,245","534,574","195,441","536,968","513,031","190,854","25,220","21,564","6,512","4,232","3,526","666","12,573","9,197","4,964","N","N","N","9,690","4,741","723","7,411","6,325","2,583","46,402","27,485","5,475","","(X)","(X)","(X)","(X)","","31,112","19,804","23,311","28,883","40,542","52,636"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.4%","24.8%","53.6%","12.2%","(X)","3.7%","4.4%","24.7%","23.1%","10.7%","22.8%","10.6%","91.9%","33.4%","(X)","91.4%","43.8%","(X)","91.4%","42.6%","(X)","93.0%","31.3%","(X)","90.9%","21.7%","","(X)","93.4%","34.2%","(X)","95.5%","35.5%","(X)","85.5%","25.8%","(X)","83.3%","15.7%","(X)","73.1%","39.5%","(X)","N","N","(X)","48.9%","7.5%","(X)","85.3%","34.9%","(X)","59.2%","11.8%","","28.7%","12.8%","10.0%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","251,946","42,936","92,228","103,246","13,536","2,010,610","122,892","157,641","585,057","516,903","156,342","308,547","163,228","(X)","(X)","424,305","370,239","96,304","390,373","328,482","91,028","754,171","647,619","171,886","441,761","383,737","112,557","","1,408,273","1,236,481","342,509","1,129,799","1,055,185","312,974","166,410","150,825","30,779","21,522","18,753","2,173","185,203","167,047","69,538","11,123","10,362","1,508","157,870","92,523","11,478","60,209","54,086","13,790","460,183","292,111","44,071","","(X)","(X)","(X)","(X)","","35,156","25,444","30,968","35,351","46,908","62,224"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.0%","36.6%","41.0%","5.4%","(X)","6.1%","7.8%","29.1%","25.7%","7.8%","15.3%","8.1%","86.0%","23.5%","(X)","87.3%","22.7%","(X)","84.1%","23.3%","(X)","85.9%","22.8%","(X)","86.9%","25.5%","","(X)","87.8%","24.3%","(X)","93.4%","27.7%","(X)","90.6%","18.5%","(X)","87.1%","10.1%","(X)","90.2%","37.5%","(X)","93.2%","13.6%","(X)","58.6%","7.3%","(X)","89.8%","22.9%","(X)","63.5%","9.6%","","19.9%","13.0%","10.7%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","128,595","23,073","51,052","48,866","5,604","998,377","62,474","80,526","301,424","254,737","72,426","146,233","80,557","(X)","(X)","215,858","185,863","38,346","197,145","162,649","42,329","377,236","323,451","83,728","208,138","183,414","62,387","","709,827","622,094","170,807","573,088","533,600","158,603","82,336","74,548","13,919","9,798","8,586","987","79,085","71,566","29,341","5,754","5,173","738","82,554","47,679","5,285","29,023","25,731","5,713","232,818","146,751","18,798","","(X)","(X)","(X)","(X)","","39,816","26,662","34,630","41,328","56,903","78,828"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.9%","39.7%","38.0%","4.4%","(X)","6.3%","8.1%","30.2%","25.5%","7.3%","14.6%","8.1%","85.7%","22.7%","(X)","86.1%","17.8%","(X)","82.5%","21.5%","(X)","85.7%","22.2%","(X)","88.1%","30.0%","","(X)","87.6%","24.1%","(X)","93.1%","27.7%","(X)","90.5%","16.9%","(X)","87.6%","10.1%","(X)","90.5%","37.1%","(X)","89.9%","12.8%","(X)","57.8%","6.4%","(X)","88.7%","19.7%","(X)","63.0%","8.1%","","15.0%","11.9%","9.6%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","123,351","19,863","41,176","54,380","7,932","1,012,233","60,418","77,115","283,633","262,166","83,916","162,314","82,671","(X)","(X)","208,447","184,376","57,958","193,228","165,833","48,699","376,935","324,168","88,158","233,623","200,323","50,170","","698,446","614,387","171,702","556,711","521,585","154,371","84,074","76,277","16,860","11,724","10,167","1,186","106,118","95,481","40,197","5,369","5,189","770","75,316","44,844","6,193","31,186","28,355","8,077","227,365","145,360","25,273","","(X)","(X)","(X)","(X)","","31,007","22,867","26,362","30,739","40,253","52,477"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.1%","33.4%","44.1%","6.4%","(X)","6.0%","7.6%","28.0%","25.9%","8.3%","16.0%","8.2%","86.4%","24.2%","(X)","88.5%","27.8%","(X)","85.8%","25.2%","(X)","86.0%","23.4%","(X)","85.7%","21.5%","","(X)","88.0%","24.6%","(X)","93.7%","27.7%","(X)","90.7%","20.1%","(X)","86.7%","10.1%","(X)","90.0%","37.9%","(X)","96.6%","14.3%","(X)","59.5%","8.2%","(X)","90.9%","25.9%","(X)","63.9%","11.1%","","24.7%","14.0%","11.6%","6.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","127,368","13,260","40,329","53,987","19,792","947,586","20,623","47,275","256,245","179,277","97,488","213,461","133,217","(X)","(X)","160,594","150,880","66,824","152,488","143,462","61,452","407,572","382,814","142,746","226,932","202,532","75,656","","896,354","834,186","325,498","876,857","819,493","320,062","10,823","9,603","3,183","N","N","N","21,475","19,343","11,773","N","N","N","4,959","4,052","1,858","12,732","11,430","4,183","25,368","19,323","7,395","","(X)","(X)","(X)","(X)","","41,776","27,896","32,290","39,245","51,823","67,970"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.4%","31.7%","42.4%","15.5%","(X)","2.2%","5.0%","27.0%","18.9%","10.3%","22.5%","14.1%","92.8%","36.6%","(X)","94.0%","41.6%","(X)","94.1%","40.3%","(X)","93.9%","35.0%","(X)","89.2%","33.3%","","(X)","93.1%","36.3%","(X)","93.5%","36.5%","(X)","88.7%","29.4%","(X)","N","N","(X)","90.1%","54.8%","(X)","N","N","(X)","81.7%","37.5%","(X)","89.8%","32.9%","(X)","76.2%","29.2%","","16.7%","8.1%","6.0%","3.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","65,709","7,846","22,305","26,254","9,304","463,773","12,107","28,198","129,593","83,223","44,372","103,065","63,215","(X)","(X)","82,777","76,572","31,175","75,025","68,772","25,386","202,648","186,465","70,089","103,323","91,659","39,630","","437,547","400,121","155,137","427,304","393,239","152,392","6,187","5,669","1,764","N","N","N","10,287","9,133","5,839","N","N","N","2,683","2,384","1,361","6,203","5,433","2,108","13,318","9,448","3,937","","(X)","(X)","(X)","(X)","","50,165","30,666","37,344","47,736","62,169","89,943"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.9%","33.9%","40.0%","14.2%","(X)","2.6%","6.1%","27.9%","17.9%","9.6%","22.2%","13.6%","91.3%","35.9%","(X)","92.5%","37.7%","(X)","91.7%","33.8%","(X)","92.0%","34.6%","(X)","88.7%","38.4%","","(X)","91.4%","35.5%","(X)","92.0%","35.7%","(X)","91.6%","28.5%","(X)","N","N","(X)","88.8%","56.8%","(X)","N","N","(X)","88.9%","50.7%","(X)","87.6%","34.0%","(X)","70.9%","29.6%","","15.1%","7.1%","4.4%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,659","5,414","18,024","27,733","10,488","483,813","8,516","19,077","126,652","96,054","53,116","110,396","70,002","(X)","(X)","77,817","74,308","35,649","77,463","74,690","36,066","204,924","196,349","72,657","123,609","110,873","36,026","","458,807","434,065","170,361","449,553","426,254","167,670","4,636","3,934","1,419","N","N","N","11,188","10,210","5,934","N","N","N","2,276","1,668","497","6,529","5,997","2,075","12,050","9,875","3,458","","(X)","(X)","(X)","(X)","","35,839","22,438","27,047","31,825","42,198","57,497"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","8.8%","29.2%","45.0%","17.0%","(X)","1.8%","3.9%","26.2%","19.9%","11.0%","22.8%","14.5%","94.3%","37.3%","(X)","95.5%","45.8%","(X)","96.4%","46.6%","(X)","95.8%","35.5%","(X)","89.7%","29.1%","","(X)","94.6%","37.1%","(X)","94.8%","37.3%","(X)","84.9%","30.6%","(X)","N","N","(X)","91.3%","53.0%","(X)","N","N","(X)","73.3%","21.8%","(X)","91.9%","31.8%","(X)","82.0%","28.7%","","18.9%","9.2%","7.3%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","788,858","89,644","225,405","345,013","128,796","6,171,172","317,182","343,494","1,706,073","1,024,289","400,332","1,460,518","919,284","(X)","(X)","1,157,062","1,072,646","514,631","1,151,388","1,046,157","509,349","2,490,567","2,252,336","949,364","1,372,155","1,139,357","406,458","","4,344,913","3,936,904","1,705,797","3,649,289","3,421,439","1,570,198","786,869","694,065","184,544","13,294","9,779","2,556","599,087","556,887","412,934","N","N","N","324,085","223,733","37,366","100,429","87,019","35,854","1,079,365","786,528","186,851","","(X)","(X)","(X)","(X)","","47,461","22,319","31,941","41,074","62,300","87,104"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.4%","28.6%","43.7%","16.3%","(X)","5.1%","5.6%","27.6%","16.6%","6.5%","23.7%","14.9%","89.3%","38.6%","(X)","92.7%","44.5%","(X)","90.9%","44.2%","(X)","90.4%","38.1%","(X)","83.0%","29.6%","","(X)","90.6%","39.3%","(X)","93.8%","43.0%","(X)","88.2%","23.5%","(X)","73.6%","19.2%","(X)","93.0%","68.9%","(X)","N","N","(X)","69.0%","11.5%","(X)","86.6%","35.7%","(X)","72.9%","17.3%","","22.0%","11.7%","7.9%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","407,698","50,208","128,910","170,677","57,903","2,947,683","149,631","177,253","822,816","498,855","165,797","680,626","452,705","(X)","(X)","584,094","533,266","232,998","569,049","509,169","229,745","1,207,535","1,085,198","454,332","587,005","493,166","216,256","","2,088,785","1,883,952","820,575","1,746,043","1,632,857","761,744","355,830","310,359","74,473","6,648","4,605","1,450","285,337","271,371","205,663","N","N","N","163,959","110,304","15,008","45,811","39,202","15,588","534,624","382,691","79,629","","(X)","(X)","(X)","(X)","","55,553","26,780","40,156","50,272","77,001","103,899"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.3%","31.6%","41.9%","14.2%","(X)","5.1%","6.0%","27.9%","16.9%","5.6%","23.1%","15.4%","88.9%","38.4%","(X)","91.3%","39.9%","(X)","89.5%","40.4%","(X)","89.9%","37.6%","(X)","84.0%","36.8%","","(X)","90.2%","39.3%","(X)","93.5%","43.6%","(X)","87.2%","20.9%","(X)","69.3%","21.8%","(X)","95.1%","72.1%","(X)","N","N","(X)","67.3%","9.2%","(X)","85.6%","34.0%","(X)","71.6%","14.9%","","18.2%","9.8%","6.6%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","381,160","39,436","96,495","174,336","70,893","3,223,489","167,551","166,241","883,257","525,434","234,535","779,892","466,579","(X)","(X)","572,968","539,380","281,633","582,339","536,988","279,604","1,283,032","1,167,138","495,032","785,150","646,191","190,202","","2,256,128","2,052,952","885,222","1,903,246","1,788,582","808,454","431,039","383,706","110,071","6,646","5,174","1,106","313,750","285,516","207,271","N","N","N","160,126","113,429","22,358","54,618","47,817","20,266","544,741","403,837","107,222","","(X)","(X)","(X)","(X)","","39,899","17,787","25,274","33,827","52,628","70,463"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.3%","25.3%","45.7%","18.6%","(X)","5.2%","5.2%","27.4%","16.3%","7.3%","24.2%","14.5%","89.6%","38.7%","(X)","94.1%","49.2%","(X)","92.2%","48.0%","(X)","91.0%","38.6%","(X)","82.3%","24.2%","","(X)","91.0%","39.2%","(X)","94.0%","42.5%","(X)","89.0%","25.5%","(X)","77.9%","16.6%","(X)","91.0%","66.1%","(X)","N","N","(X)","70.8%","14.0%","(X)","87.5%","37.1%","(X)","74.1%","19.7%","","25.7%","13.5%","9.0%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","200,120","34,213","60,024","93,386","12,497","1,391,381","84,515","118,426","370,508","323,025","116,674","215,691","162,542","(X)","(X)","276,979","243,382","65,564","249,353","211,365","64,724","522,988","452,321","144,784","342,061","281,372","103,161","","1,057,238","921,822","319,699","616,225","583,993","247,966","25,485","23,491","7,293","117,341","94,771","13,199","23,167","20,995","11,611","N","N","N","134,886","96,989","15,963","32,229","29,477","10,468","598,277","454,346","92,318","","(X)","(X)","(X)","(X)","","31,524","18,979","25,622","30,487","42,021","56,325"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.1%","30.0%","46.7%","6.2%","(X)","6.1%","8.5%","26.6%","23.2%","8.4%","15.5%","11.7%","85.4%","27.2%","(X)","87.9%","23.7%","(X)","84.8%","26.0%","(X)","86.5%","27.7%","(X)","82.3%","30.2%","","(X)","87.2%","30.2%","(X)","94.8%","40.2%","(X)","92.2%","28.6%","(X)","80.8%","11.2%","(X)","90.6%","50.1%","(X)","N","N","(X)","71.9%","11.8%","(X)","91.5%","32.5%","(X)","75.9%","15.4%","","31.4%","18.2%","14.4%","5.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
