"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","155,336","19,393","41,376","83,487","11,080","1,029,800","51,805","97,290","302,754","236,387","111,005","138,932","91,627","(X)","(X)","188,971","170,375","51,325","198,457","179,065","50,364","391,397","339,041","85,705","250,975","192,224","43,165","","628,775","559,782","158,618","617,174","551,891","156,202","373,824","300,034","65,515","3,471","2,727","152","10,756","8,650","3,930","N","N","N","5,625","3,155","311","6,515","5,523","1,807","18,878","12,333","3,182","","(X)","(X)","(X)","(X)","","26,048","14,547","20,436","25,007","35,298","45,720"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","26.6%","53.7%","7.1%","(X)","5.0%","9.4%","29.4%","23.0%","10.8%","13.5%","8.9%","85.5%","22.4%","(X)","90.2%","27.2%","(X)","90.2%","25.4%","(X)","86.6%","21.9%","(X)","76.6%","17.2%","","(X)","89.0%","25.2%","(X)","89.4%","25.3%","(X)","80.3%","17.5%","(X)","78.6%","4.4%","(X)","80.4%","36.5%","(X)","N","N","(X)","56.1%","5.5%","(X)","84.8%","27.7%","(X)","65.3%","16.9%","","38.3%","23.8%","18.3%","5.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","593,894","82,094","178,672","276,496","56,632","4,097,212","145,571","308,053","1,269,953","915,960","316,815","706,922","433,938","(X)","(X)","796,209","726,046","259,997","733,744","665,921","244,004","1,616,311","1,450,766","430,816","950,948","800,855","206,043","","3,475,313","3,121,576","997,901","3,398,735","3,066,492","982,462","435,414","371,497","74,471","18,875","16,170","3,196","71,625","61,426","42,624","2,741","2,126","551","34,466","19,761","4,680","58,778","51,032","17,437","119,961","82,724","22,336","","(X)","(X)","(X)","(X)","","35,129","21,161","27,375","32,114","45,607","57,209"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.8%","30.1%","46.6%","9.5%","(X)","3.6%","7.5%","31.0%","22.4%","7.7%","17.3%","10.6%","88.9%","27.8%","(X)","91.2%","32.7%","(X)","90.8%","33.3%","(X)","89.8%","26.7%","(X)","84.2%","21.7%","","(X)","89.8%","28.7%","(X)","90.2%","28.9%","(X)","85.3%","17.1%","(X)","85.7%","16.9%","(X)","85.8%","59.5%","(X)","77.6%","20.1%","(X)","57.3%","13.6%","(X)","86.8%","29.7%","(X)","69.0%","18.6%","","27.0%","13.5%","10.2%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","302,843","47,271","100,904","131,859","22,809","1,968,517","74,187","161,184","632,539","437,429","135,856","331,241","196,081","(X)","(X)","397,613","356,937","112,865","365,077","325,571","107,281","789,776","697,039","195,447","416,051","353,599","111,729","","1,680,270","1,493,570","465,621","1,642,230","1,467,812","459,324","196,476","165,003","29,148","9,958","8,253","1,610","31,449","27,898","20,145","1,128","1,053","329","18,400","10,588","2,313","30,836","26,781","8,156","61,423","40,593","9,419","","(X)","(X)","(X)","(X)","","41,116","25,521","32,237","40,747","56,248","71,480"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.6%","33.3%","43.5%","7.5%","(X)","3.8%","8.2%","32.1%","22.2%","6.9%","16.8%","10.0%","88.0%","26.8%","(X)","89.8%","28.4%","(X)","89.2%","29.4%","(X)","88.3%","24.7%","(X)","85.0%","26.9%","","(X)","88.9%","27.7%","(X)","89.4%","28.0%","(X)","84.0%","14.8%","(X)","82.9%","16.2%","(X)","88.7%","64.1%","(X)","93.4%","29.2%","(X)","57.5%","12.6%","(X)","86.8%","26.4%","(X)","66.1%","15.3%","","23.7%","11.3%","7.4%","3.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","291,051","34,823","77,768","144,637","33,823","2,128,695","71,384","146,869","637,414","478,531","180,959","375,681","237,857","(X)","(X)","398,596","369,109","147,132","368,667","340,350","136,723","826,535","753,727","235,369","534,897","447,256","94,314","","1,795,043","1,628,006","532,280","1,756,505","1,598,680","523,138","238,938","206,494","45,323","8,917","7,917","1,586","40,176","33,528","22,479","1,613","1,073","222","16,066","9,173","2,367","27,942","24,251","9,281","58,538","42,131","12,917","","(X)","(X)","(X)","(X)","","29,619","16,200","21,728","26,626","38,258","50,944"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.0%","26.7%","49.7%","11.6%","(X)","3.4%","6.9%","29.9%","22.5%","8.5%","17.6%","11.2%","89.7%","28.8%","(X)","92.6%","36.9%","(X)","92.3%","37.1%","(X)","91.2%","28.5%","(X)","83.6%","17.6%","","(X)","90.7%","29.7%","(X)","91.0%","29.8%","(X)","86.4%","19.0%","(X)","88.8%","17.8%","(X)","83.5%","56.0%","(X)","66.5%","13.8%","(X)","57.1%","14.7%","(X)","86.8%","33.2%","(X)","72.0%","22.1%","","30.4%","15.7%","12.6%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100,393","16,220","35,650","42,521","6,002","706,329","14,391","31,182","222,399","161,387","60,796","144,135","72,039","(X)","(X)","128,657","120,750","42,354","118,633","112,958","43,277","280,108","264,068","78,686","178,931","162,980","51,857","","646,117","608,078","204,566","633,603","597,937","202,714","2,764","2,626","905","35,540","30,210","3,961","5,618","5,201","3,086","N","N","N","4,084","3,665","441","11,769","10,539","3,161","18,587","15,638","2,852","","(X)","(X)","(X)","(X)","","31,848","17,549","26,806","30,429","39,292","52,284"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.2%","35.5%","42.4%","6.0%","(X)","2.0%","4.4%","31.5%","22.8%","8.6%","20.4%","10.2%","93.5%","30.6%","(X)","93.9%","32.9%","(X)","95.2%","36.5%","(X)","94.3%","28.1%","(X)","91.1%","29.0%","","(X)","94.1%","31.7%","(X)","94.4%","32.0%","(X)","95.0%","32.7%","(X)","85.0%","11.1%","(X)","92.6%","54.9%","(X)","N","N","(X)","89.7%","10.8%","(X)","89.5%","26.9%","(X)","84.1%","15.3%","","24.6%","14.7%","11.0%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","53,454","9,098","19,743","22,733","1,880","350,130","7,720","16,509","113,896","78,197","29,855","67,913","36,040","(X)","(X)","65,615","61,201","17,657","60,753","57,667","18,807","138,575","129,381","37,862","85,187","77,652","29,627","","321,682","300,662","99,154","314,934","295,364","98,211","1,689","1,643","556","17,682","15,228","2,246","1,990","1,869","984","N","N","N","2,034","1,968","57","4,781","4,259","956","9,557","8,000","1,262","","(X)","(X)","(X)","(X)","","40,107","20,952","33,515","37,416","49,881","60,904"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.0%","36.9%","42.5%","3.5%","(X)","2.2%","4.7%","32.5%","22.3%","8.5%","19.4%","10.3%","93.1%","29.7%","(X)","93.3%","26.9%","(X)","94.9%","31.0%","(X)","93.4%","27.3%","(X)","91.2%","34.8%","","(X)","93.5%","30.8%","(X)","93.8%","31.2%","(X)","97.3%","32.9%","(X)","86.1%","12.7%","(X)","93.9%","49.4%","(X)","N","N","(X)","96.8%","2.8%","(X)","89.1%","20.0%","(X)","83.7%","13.2%","","22.6%","12.7%","10.1%","3.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,939","7,122","15,907","19,788","4,122","356,199","6,671","14,673","108,503","83,190","30,941","76,222","35,999","(X)","(X)","63,042","59,549","24,697","57,880","55,291","24,470","141,533","134,687","40,824","93,744","85,328","22,230","","324,435","307,416","105,412","318,669","302,573","104,503","1,075","983","349","17,858","14,982","1,715","3,628","3,332","2,102","N","N","N","2,050","1,697","384","6,988","6,280","2,205","9,030","7,638","1,590","","(X)","(X)","(X)","(X)","","26,231","15,454","20,361","24,479","32,546","50,192"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.2%","33.9%","42.2%","8.8%","(X)","1.9%","4.1%","30.5%","23.4%","8.7%","21.4%","10.1%","94.0%","31.5%","(X)","94.5%","39.2%","(X)","95.5%","42.3%","(X)","95.2%","28.8%","(X)","91.0%","23.7%","","(X)","94.8%","32.5%","(X)","94.9%","32.8%","(X)","91.4%","32.5%","(X)","83.9%","9.6%","(X)","91.8%","57.9%","(X)","N","N","(X)","82.8%","18.7%","(X)","89.9%","31.6%","(X)","84.6%","17.6%","","26.9%","16.9%","11.9%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","192,977","22,584","50,520","95,740","24,133","1,232,583","47,858","62,768","331,868","292,746","125,055","244,556","127,732","(X)","(X)","252,652","232,501","87,702","232,446","208,517","83,941","468,794","434,141","137,209","278,691","246,798","63,436","","1,116,048","1,027,175","343,184","1,044,648","988,577","335,365","50,500","44,252","11,198","9,494","7,792","601","25,008","19,763","12,674","N","N","N","16,240","10,368","1,351","14,547","12,060","3,280","92,018","51,801","9,361","","(X)","(X)","(X)","(X)","","36,403","22,266","29,307","34,836","46,833","60,470"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.7%","26.2%","49.6%","12.5%","(X)","3.9%","5.1%","26.9%","23.8%","10.1%","19.8%","10.4%","91.0%","30.2%","(X)","92.0%","34.7%","(X)","89.7%","36.1%","(X)","92.6%","29.3%","(X)","88.6%","22.8%","","(X)","92.0%","30.7%","(X)","94.6%","32.1%","(X)","87.6%","22.2%","(X)","82.1%","6.3%","(X)","79.0%","50.7%","(X)","N","N","(X)","63.8%","8.3%","(X)","82.9%","22.5%","(X)","56.3%","10.2%","","25.4%","11.6%","8.6%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","98,599","13,556","28,686","46,649","9,708","603,512","23,932","34,148","168,187","139,458","60,949","114,430","62,408","(X)","(X)","129,028","116,654","39,785","118,967","106,244","37,427","232,232","213,142","65,232","123,285","109,392","34,394","","547,104","500,125","162,218","509,743","480,376","158,599","25,329","22,135","5,221","3,968","2,946","149","11,836","9,771","7,276","N","N","N","7,915","4,740","489","6,940","5,428","1,485","47,978","25,970","4,207","","(X)","(X)","(X)","(X)","","42,172","25,734","35,451","42,087","56,216","71,396"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.7%","29.1%","47.3%","9.8%","(X)","4.0%","5.7%","27.9%","23.1%","10.1%","19.0%","10.3%","90.4%","29.3%","(X)","90.4%","30.8%","(X)","89.3%","31.5%","(X)","91.8%","28.1%","(X)","88.7%","27.9%","","(X)","91.4%","29.7%","(X)","94.2%","31.1%","(X)","87.4%","20.6%","(X)","74.2%","3.8%","(X)","82.6%","61.5%","(X)","N","N","(X)","59.9%","6.2%","(X)","78.2%","21.4%","(X)","54.1%","8.8%","","21.1%","9.6%","6.7%","2.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,378","9,028","21,834","49,091","14,425","629,071","23,926","28,620","163,681","153,288","64,106","130,126","65,324","(X)","(X)","123,624","115,847","47,917","113,479","102,273","46,514","236,562","220,999","71,977","155,406","137,406","29,042","","568,944","527,050","180,966","534,905","508,201","176,766","25,171","22,117","5,977","5,526","4,846","452","13,172","9,992","5,398","N","N","N","8,325","5,628","862","7,607","6,632","1,795","44,040","25,831","5,154","","(X)","(X)","(X)","(X)","","30,440","16,870","21,880","27,610","40,251","52,149"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.6%","23.1%","52.0%","15.3%","(X)","3.8%","4.5%","26.0%","24.4%","10.2%","20.7%","10.4%","91.6%","31.1%","(X)","93.7%","38.8%","(X)","90.1%","41.0%","(X)","93.4%","30.4%","(X)","88.4%","18.7%","","(X)","92.6%","31.8%","(X)","95.0%","33.0%","(X)","87.9%","23.7%","(X)","87.7%","8.2%","(X)","75.9%","41.0%","(X)","N","N","(X)","67.6%","10.4%","(X)","87.2%","23.6%","(X)","58.7%","11.7%","","30.1%","13.7%","10.4%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","254,123","47,331","88,796","105,235","12,761","1,968,167","125,701","157,660","549,151","512,364","159,610","304,948","158,733","(X)","(X)","411,910","359,446","88,576","388,122","325,999","96,635","746,023","636,633","173,354","422,112","362,728","105,116","","1,390,177","1,214,102","346,194","1,119,394","1,041,540","322,096","158,431","139,699","26,510","23,163","18,795","1,947","176,194","159,312","64,247","11,434","10,334","957","149,405","89,526","10,231","59,363","53,038","13,595","443,701","279,430","36,882","","(X)","(X)","(X)","(X)","","33,755","25,316","30,254","33,253","45,977","62,155"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","18.6%","34.9%","41.4%","5.0%","(X)","6.4%","8.0%","27.9%","26.0%","8.1%","15.5%","8.1%","85.6%","23.6%","(X)","87.3%","21.5%","(X)","84.0%","24.9%","(X)","85.3%","23.2%","(X)","85.9%","24.9%","","(X)","87.3%","24.9%","(X)","93.0%","28.8%","(X)","88.2%","16.7%","(X)","81.1%","8.4%","(X)","90.4%","36.5%","(X)","90.4%","8.4%","(X)","59.9%","6.8%","(X)","89.3%","22.9%","(X)","63.0%","8.3%","","22.4%","13.5%","10.3%","6.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","129,724","28,460","48,839","48,389","4,036","977,605","61,560","82,220","278,906","253,002","72,127","152,109","77,681","(X)","(X)","209,071","180,563","39,110","196,075","164,424","44,769","372,995","314,146","86,275","199,464","174,692","59,636","","701,838","611,165","179,868","567,877","527,215","168,371","77,733","67,491","11,099","11,044","8,417","721","75,676","70,338","27,775","6,439","5,694","493","78,301","47,029","4,507","26,574","23,691","5,327","223,691","139,276","16,746","","(X)","(X)","(X)","(X)","","37,724","27,209","32,257","40,010","51,898","75,043"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","21.9%","37.6%","37.3%","3.1%","(X)","6.3%","8.4%","28.5%","25.9%","7.4%","15.6%","7.9%","85.3%","23.5%","(X)","86.4%","18.7%","(X)","83.9%","22.8%","(X)","84.2%","23.1%","(X)","87.6%","29.9%","","(X)","87.1%","25.6%","(X)","92.8%","29.6%","(X)","86.8%","14.3%","(X)","76.2%","6.5%","(X)","92.9%","36.7%","(X)","88.4%","7.7%","(X)","60.1%","5.8%","(X)","89.2%","20.0%","(X)","62.3%","7.5%","","18.8%","11.5%","9.0%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","124,399","18,871","39,957","56,846","8,725","990,562","64,141","75,440","270,245","259,362","87,483","152,839","81,052","(X)","(X)","202,839","178,883","49,466","192,047","161,575","51,866","373,028","322,487","87,079","222,648","188,036","45,480","","688,339","602,937","166,326","551,517","514,325","153,725","80,698","72,208","15,411","12,119","10,378","1,226","100,518","88,974","36,472","4,995","4,640","464","71,104","42,497","5,724","32,789","29,347","8,268","220,010","140,154","20,136","","(X)","(X)","(X)","(X)","","30,713","20,945","26,105","30,389","40,217","55,266"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.2%","32.1%","45.7%","7.0%","(X)","6.5%","7.6%","27.3%","26.2%","8.8%","15.4%","8.2%","85.9%","23.6%","(X)","88.2%","24.4%","(X)","84.1%","27.0%","(X)","86.5%","23.3%","(X)","84.5%","20.4%","","(X)","87.6%","24.2%","(X)","93.3%","27.9%","(X)","89.5%","19.1%","(X)","85.6%","10.1%","(X)","88.5%","36.3%","(X)","92.9%","9.3%","(X)","59.8%","8.1%","(X)","89.5%","25.2%","(X)","63.7%","9.2%","","26.1%","15.5%","11.4%","6.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","130,063","14,427","41,363","58,383","15,890","937,214","18,249","46,392","267,078","179,983","91,199","205,513","128,800","(X)","(X)","155,315","147,196","63,277","156,414","147,069","61,992","407,128","382,740","141,013","218,357","195,568","68,031","","889,172","829,647","313,608","870,278","815,112","308,651","11,872","10,608","2,486","1,092","1,036","89","21,763","19,418","14,713","N","N","N","3,154","2,890","987","9,975","8,846","2,323","23,341","18,470","6,124","","(X)","(X)","(X)","(X)","","42,178","29,179","33,726","40,122","51,426","67,491"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.1%","31.8%","44.9%","12.2%","(X)","1.9%","4.9%","28.5%","19.2%","9.7%","21.9%","13.7%","93.1%","35.7%","(X)","94.8%","40.7%","(X)","94.0%","39.6%","(X)","94.0%","34.6%","(X)","89.6%","31.2%","","(X)","93.3%","35.3%","(X)","93.7%","35.5%","(X)","89.4%","20.9%","(X)","94.9%","8.2%","(X)","89.2%","67.6%","(X)","N","N","(X)","91.6%","31.3%","(X)","88.7%","23.3%","(X)","79.1%","26.2%","","18.5%","7.9%","7.4%","3.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","66,388","7,891","24,361","27,181","6,955","456,520","10,413","25,539","131,975","86,423","39,558","101,068","61,544","(X)","(X)","79,484","75,139","27,992","77,413","70,866","28,498","200,215","185,854","68,352","99,408","88,709","37,770","","432,013","398,585","152,076","423,222","392,571","150,399","6,801","5,901","1,683","611","611","0","9,942","9,153","7,007","N","N","N","1,596","1,477","382","5,429","4,713","1,357","11,023","7,989","2,199","","(X)","(X)","(X)","(X)","","50,676","32,413","40,392","47,694","70,110","90,846"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.9%","36.7%","40.9%","10.5%","(X)","2.3%","5.6%","28.9%","18.9%","8.7%","22.1%","13.5%","92.1%","35.6%","(X)","94.5%","35.2%","(X)","91.5%","36.8%","(X)","92.8%","34.1%","(X)","89.2%","38.0%","","(X)","92.3%","35.2%","(X)","92.8%","35.5%","(X)","86.8%","24.7%","(X)","100.0%","0.0%","(X)","92.1%","70.5%","(X)","N","N","(X)","92.5%","23.9%","(X)","86.8%","25.0%","(X)","72.5%","19.9%","","17.1%","6.1%","5.2%","2.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","63,675","6,536","17,002","31,202","8,935","480,694","7,836","20,853","135,103","93,560","51,641","104,445","67,256","(X)","(X)","75,831","72,057","35,285","79,001","76,203","33,494","206,913","196,886","72,661","118,949","106,859","30,261","","457,159","431,062","161,532","447,056","422,541","158,252","5,071","4,707","803","481","425","89","11,821","10,265","7,706","N","N","N","1,558","1,413","605","4,546","4,133","966","12,318","10,481","3,925","","(X)","(X)","(X)","(X)","","36,037","23,518","27,088","33,577","41,958","57,362"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.3%","26.7%","49.0%","14.0%","(X)","1.6%","4.3%","28.1%","19.5%","10.7%","21.7%","14.0%","94.0%","35.7%","(X)","95.0%","46.5%","(X)","96.5%","42.4%","(X)","95.2%","35.1%","(X)","89.8%","25.4%","","(X)","94.3%","35.3%","(X)","94.5%","35.4%","(X)","92.8%","15.8%","(X)","88.4%","18.5%","(X)","86.8%","65.2%","(X)","N","N","(X)","90.7%","38.8%","(X)","90.9%","21.2%","(X)","85.1%","31.9%","","20.2%","9.7%","9.2%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
