"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","381,091","10.3%","26.4%","47.8%","15.5%","3,186,726","5.4%","5.8%","28.9%","16.7%","7.1%","22.4%","13.6%","88.8%","36.0%","566,389","92.5%","46.9%","600,563","91.9%","44.9%","1,279,007","91.2%","36.1%","740,767","79.2%","20.3%","","26.0%","13.4%","10.6%","3.9%","","36,546","16,591","25,238","32,213","50,826","66,342","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","215,357","18.8%","29.4%","47.1%","4.7%","1,361,846","7.4%","8.4%","26.5%","23.5%","7.8%","15.0%","11.4%","84.3%","26.4%","270,201","86.3%","23.5%","249,017","85.1%","26.5%","535,471","86.0%","27.2%","307,157","78.8%","27.3%","","33.7%","19.9%","15.2%","7.1%","","31,178","16,615","25,765","30,004","41,940","55,311","","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","111,837","21.8%","30.4%","44.4%","3.4%","663,844","7.3%","8.6%","28.9%","22.9%","6.5%","14.2%","11.5%","84.0%","25.7%","138,992","84.9%","19.0%","124,916","84.3%","23.5%","259,100","85.2%","26.3%","140,836","80.7%","33.2%","","29.8%","18.1%","12.3%","5.8%","","36,823","21,272","30,947","37,142","50,176","71,911","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","103,520","15.6%","28.4%","49.9%","6.1%","698,002","7.5%","8.1%","24.3%","24.2%","9.0%","15.7%","11.3%","84.5%","27.0%","131,209","87.8%","28.4%","124,101","85.8%","29.4%","276,371","86.7%","28.1%","166,321","77.1%","22.4%","","37.3%","21.9%","17.6%","8.3%","","25,562","11,230","20,517","24,111","38,059","48,439","","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,992,555","13.2%","25.6%","46.8%","14.4%","13,419,310","6.8%","7.6%","26.8%","16.1%","8.6%","19.3%","14.8%","85.6%","34.1%","2,795,995","89.2%","42.9%","2,517,362","87.5%","38.8%","5,276,110","86.9%","31.9%","2,829,843","77.9%","25.3%","","29.5%","15.2%","11.1%","5.5%","","39,914","20,190","29,182","36,014","53,490","70,822","","9.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,006,260","15.5%","28.3%","44.2%","11.9%","6,359,595","6.8%","8.1%","27.3%","16.7%","7.7%","19.6%","13.9%","85.1%","33.5%","1,389,464","87.6%","38.4%","1,236,957","86.2%","35.4%","2,539,403","86.3%","31.6%","1,193,771","78.5%","29.7%","","25.5%","13.0%","9.0%","4.9%","","44,189","22,449","33,280","41,709","62,300","84,108","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","986,295","10.9%","22.9%","49.4%","16.8%","7,059,715","6.7%","7.2%","26.4%","15.5%","9.5%","19.0%","15.6%","86.0%","34.7%","1,406,531","90.7%","47.5%","1,280,405","88.8%","42.0%","2,736,707","87.5%","32.1%","1,636,072","77.5%","22.2%","","33.3%","17.2%","12.9%","6.0%","","34,987","15,650","23,891","31,184","47,480","61,556","","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","995,782","15.9%","29.2%","45.4%","9.4%","6,568,110","5.4%","8.8%","26.5%","22.0%","8.8%","18.4%","9.9%","85.7%","28.4%","1,269,513","86.8%","31.3%","1,320,217","87.4%","32.5%","2,573,662","87.8%","28.2%","1,404,718","79.3%","22.4%","","31.9%","16.0%","12.1%","4.6%","","31,716","18,262","25,445","30,636","44,733","57,798","","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","518,652","19.1%","33.0%","40.9%","7.1%","3,110,101","6.2%","9.8%","27.5%","21.1%","7.4%","18.0%","9.9%","84.0%","27.9%","624,347","84.4%","27.3%","646,983","85.2%","29.7%","1,230,306","85.5%","27.5%","608,465","79.1%","27.5%","","26.9%","13.7%","8.7%","4.0%","","37,064","20,993","30,110","36,567","56,354","76,248","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477,130","12.5%","25.2%","50.4%","11.9%","3,458,009","4.7%","8.0%","25.7%","22.8%","9.9%","18.8%","10.0%","87.3%","28.8%","645,166","89.2%","35.1%","673,234","89.4%","35.2%","1,343,356","90.0%","28.7%","796,253","79.4%","18.4%","","37.5%","18.2%","14.8%","5.1%","","27,380","14,351","21,005","25,825","36,872","50,002","","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94,885","9.2%","27.2%","53.1%","10.5%","467,815","4.1%","4.4%","27.5%","23.1%","13.8%","20.0%","7.2%","91.5%","27.1%","101,662","94.8%","31.3%","81,307","95.0%","35.6%","182,296","94.4%","26.5%","102,550","80.2%","17.5%","","19.6%","12.1%","7.2%","3.2%","","37,193","25,332","30,974","36,441","43,465","52,291","","6.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,019","10.1%","28.8%","53.8%","7.3%","235,936","4.2%","4.9%","29.7%","22.4%","13.5%","18.4%","6.9%","90.9%","25.3%","55,732","94.4%","24.5%","42,896","94.2%","32.8%","91,630","93.4%","24.8%","45,678","78.9%","20.2%","","17.4%","10.1%","5.7%","3.9%","","45,760","31,735","38,612","48,159","51,789","62,216","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,866","8.0%","25.3%","52.4%","14.3%","231,879","3.9%","4.0%","25.2%","23.8%","14.1%","21.6%","7.4%","92.1%","29.0%","45,930","95.3%","39.4%","38,411","96.0%","38.7%","90,666","95.5%","28.2%","56,872","81.3%","15.3%","","22.2%","14.5%","8.6%","2.5%","","29,777","11,381","22,552","27,805","36,737","48,825","","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,116,768","14.6%","30.5%","45.4%","9.5%","7,805,254","3.2%","7.8%","34.2%","20.5%","8.2%","16.4%","9.7%","89.0%","26.1%","1,446,230","90.4%","31.8%","1,416,469","91.5%","30.5%","3,190,592","91.0%","25.4%","1,751,963","82.4%","19.4%","","29.6%","13.5%","11.7%","4.2%","","34,575","19,078","27,313","31,831","48,894","61,794","","5.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","566,835","16.5%","33.7%","42.4%","7.5%","3,736,509","3.3%","8.2%","34.9%","20.4%","6.9%","16.4%","9.9%","88.5%","26.3%","721,333","89.2%","28.4%","703,256","90.3%","27.9%","1,557,348","90.2%","25.5%","754,572","82.6%","24.4%","","26.1%","11.8%","9.4%","3.9%","","41,365","22,440","34,111","40,426","60,863","76,398","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","549,933","12.6%","27.2%","48.6%","11.6%","4,068,745","3.1%","7.4%","33.6%","20.5%","9.4%","16.4%","9.6%","89.5%","26.0%","724,897","91.6%","35.1%","713,213","92.8%","33.1%","1,633,244","91.7%","25.3%","997,391","82.2%","15.5%","","33.0%","15.2%","13.7%","4.6%","","27,911","14,483","21,241","26,763","40,129","52,739","","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","396,299","17.9%","32.0%","42.9%","7.2%","2,506,437","4.4%","8.9%","32.3%","23.5%","7.2%","16.1%","7.7%","86.7%","23.8%","522,612","87.4%","25.3%","472,596","87.9%","26.0%","963,302","87.9%","23.8%","547,927","82.9%","20.4%","","26.8%","14.9%","11.6%","4.2%","","31,730","21,464","26,728","31,207","41,397","52,610","","6.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","205,010","19.9%","34.6%","39.6%","5.9%","1,215,289","4.8%","9.5%","32.8%","22.9%","6.5%","15.8%","7.7%","85.7%","23.6%","262,157","85.9%","22.4%","237,690","86.5%","22.6%","472,519","86.4%","23.3%","242,923","83.4%","26.2%","","22.3%","12.0%","8.1%","3.9%","","39,103","25,995","32,594","39,680","52,342","69,566","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","191,289","15.7%","29.2%","46.4%","8.6%","1,291,148","4.0%","8.3%","31.9%","23.9%","7.8%","16.3%","7.7%","87.7%","24.0%","260,455","88.9%","28.3%","234,906","89.4%","29.4%","490,783","89.5%","24.3%","305,004","82.5%","15.7%","","31.6%","17.6%","14.5%","4.5%","","26,093","15,369","20,508","25,567","35,293","45,416","","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366,494","13.8%","30.3%","48.4%","7.5%","2,704,043","4.1%","6.1%","24.3%","26.3%","8.4%","19.3%","11.5%","89.7%","30.7%","534,850","90.2%","30.7%","514,966","88.4%","35.7%","1,049,631","90.8%","29.5%","604,596","88.7%","28.7%","","27.0%","15.7%","13.0%","6.6%","","31,633","19,512","26,097","30,385","42,388","57,215","","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,003","14.8%","32.5%","47.0%","5.8%","1,317,935","4.4%","6.6%","24.5%","25.5%","7.8%","19.4%","11.7%","89.0%","31.1%","270,574","88.8%","27.2%","261,297","87.6%","34.4%","512,096","89.9%","29.8%","273,968","88.7%","34.5%","","23.5%","15.4%","11.7%","5.6%","","37,353","22,062","30,878","36,581","52,350","66,572","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","180,491","12.8%","28.0%","49.9%","9.4%","1,386,108","3.8%","5.7%","24.0%","27.1%","9.1%","19.1%","11.2%","90.5%","30.4%","264,276","91.6%","34.4%","253,669","89.3%","37.2%","537,535","91.6%","29.2%","330,628","88.7%","23.9%","","30.7%","16.0%","14.2%","7.6%","","26,606","15,118","21,569","25,257","34,622","50,297","","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,248,038","12.7%","31.8%","44.3%","11.2%","8,809,510","3.6%","7.2%","36.4%","16.2%","7.9%","17.5%","11.2%","89.2%","28.7%","1,600,329","91.4%","36.9%","1,536,491","91.5%","34.5%","3,582,718","91.4%","27.8%","2,089,972","82.0%","19.6%","","25.8%","12.3%","9.2%","4.2%","","36,407","21,616","28,851","34,134","49,318","64,939","","6.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","631,654","14.2%","34.3%","41.9%","9.5%","4,221,872","3.7%","7.4%","36.6%","16.2%","7.1%","17.6%","11.3%","88.9%","28.9%","805,960","90.5%","32.7%","768,255","90.6%","31.8%","1,751,979","90.7%","27.9%","895,678","82.3%","24.9%","","23.3%","10.5%","7.1%","3.7%","","42,416","26,883","35,363","41,363","58,211","81,771","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","616,384","11.2%","29.2%","46.7%","12.9%","4,587,638","3.4%","7.1%","36.2%","16.2%","8.6%","17.4%","11.1%","89.5%","28.5%","794,369","92.4%","41.1%","768,236","92.5%","37.3%","1,830,739","92.1%","27.7%","1,194,294","81.8%","15.7%","","28.2%","14.0%","11.0%","4.6%","","30,374","15,607","22,142","28,904","41,164","54,907","","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,708","10.0%","28.2%","48.8%","12.9%","719,956","6.1%","8.0%","26.6%","18.5%","8.3%","19.8%","12.6%","85.9%","32.4%","134,876","89.6%","38.4%","126,983","88.4%","33.1%","295,233","89.1%","33.3%","162,864","74.9%","25.1%","","24.7%","13.1%","10.4%","3.7%","","39,221","21,120","30,688","35,697","52,002","67,373","","6.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,101","10.4%","31.8%","46.5%","11.4%","343,030","5.7%","8.6%","27.3%","18.0%","7.1%","20.1%","13.2%","85.7%","33.2%","68,352","88.3%","33.4%","62,768","86.6%","29.9%","143,015","88.8%","34.7%","68,895","75.8%","33.1%","","22.6%","10.9%","7.2%","3.4%","","43,330","25,644","37,241","40,881","61,267","77,436","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,607","9.7%","24.8%","51.1%","14.5%","376,926","6.5%","7.5%","26.0%","19.0%","9.4%","19.6%","12.0%","86.0%","31.6%","66,524","90.9%","43.5%","64,215","90.1%","36.2%","152,218","89.4%","32.0%","93,969","74.2%","19.3%","","26.6%","15.2%","13.0%","4.0%","","33,315","16,598","25,781","30,938","45,936","60,137","","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496,703","16.7%","29.9%","45.6%","7.7%","3,198,816","5.0%","9.3%","29.4%","21.3%","8.9%","16.6%","9.5%","85.6%","26.1%","607,844","86.4%","28.1%","594,855","89.1%","29.2%","1,271,010","87.4%","25.5%","725,107","79.0%","22.9%","","32.4%","16.5%","11.7%","4.8%","","31,206","17,806","25,230","30,626","41,840","51,346","","7.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,590","18.5%","33.8%","41.9%","5.9%","1,517,694","5.5%","10.1%","29.9%","20.3%","8.0%","16.9%","9.3%","84.3%","26.3%","300,028","84.6%","23.5%","291,422","87.0%","26.5%","607,244","85.0%","25.5%","319,000","80.6%","30.1%","","28.3%","13.6%","8.2%","4.5%","","36,473","20,447","30,418","37,379","54,026","65,547","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","242,113","14.9%","25.8%","49.6%","9.7%","1,681,122","4.6%","8.6%","28.9%","22.2%","9.7%","16.2%","9.7%","86.8%","25.9%","307,816","88.2%","32.6%","303,433","91.1%","31.8%","663,766","89.6%","25.5%","406,107","77.8%","17.2%","","36.6%","19.2%","14.4%","5.1%","","26,777","15,202","20,519","25,394","36,071","45,625","","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85,437","15.4%","30.8%","46.2%","7.6%","550,959","3.5%","4.9%","31.3%","22.3%","11.4%","18.9%","7.6%","91.6%","26.6%","110,717","93.1%","30.0%","96,760","93.7%","32.4%","218,979","93.6%","25.6%","124,503","85.0%","20.7%","","26.6%","11.0%","11.8%","5.0%","","31,366","20,940","27,082","30,389","37,730","50,243","","5.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,340","17.0%","35.1%","41.9%","6.0%","271,770","3.7%","5.1%","33.3%","21.0%","11.1%","18.0%","7.8%","91.1%","25.8%","56,611","92.7%","25.9%","50,155","93.4%","29.4%","109,238","93.2%","24.1%","55,766","83.5%","25.7%","","21.4%","9.3%","9.1%","4.5%","","37,608","25,589","33,279","36,825","47,292","59,539","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,097","13.5%","26.1%","51.1%","9.3%","279,189","3.3%","4.7%","29.5%","23.5%","11.7%","19.8%","7.5%","92.0%","27.3%","54,106","93.4%","34.2%","46,605","93.9%","35.6%","109,741","94.1%","27.0%","68,737","86.3%","16.6%","","32.3%","12.8%","14.1%","5.4%","","25,858","13,497","21,370","24,362","31,719","44,973","","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","633,862","12.9%","35.3%","43.4%","8.4%","4,370,035","5.6%","8.8%","32.9%","21.2%","6.7%","15.6%","9.2%","85.6%","24.8%","842,934","89.2%","29.7%","846,939","88.6%","28.5%","1,729,972","87.1%","23.6%","950,190","76.8%","19.2%","","29.9%","15.8%","11.4%","4.3%","","31,585","18,706","25,504","31,143","42,403","55,401","","6.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319,468","14.9%","38.8%","40.2%","6.0%","2,088,022","6.0%","9.6%","33.6%","20.8%","5.5%","15.8%","8.8%","84.4%","24.6%","418,935","87.2%","25.6%","419,057","86.7%","25.1%","834,455","85.1%","23.7%","415,575","77.9%","24.8%","","26.9%","13.6%","8.3%","4.0%","","36,400","20,901","30,443","36,656","51,365","75,786","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314,394","11.0%","31.7%","46.6%","10.7%","2,282,013","5.3%","8.1%","32.3%","21.6%","7.8%","15.4%","9.5%","86.6%","25.0%","423,999","91.1%","33.7%","427,882","90.4%","31.9%","895,517","89.0%","23.6%","534,615","76.0%","14.8%","","33.1%","17.8%","13.9%","4.7%","","27,283","14,545","20,756","26,739","37,262","47,357","","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,733,619","17.1%","31.2%","43.9%","7.9%","16,673,656","9.1%","9.0%","25.2%","22.6%","6.5%","18.3%","9.3%","81.9%","27.5%","3,804,859","85.4%","28.4%","3,590,709","82.1%","29.4%","6,311,561","82.3%","27.9%","2,966,527","76.2%","23.5%","","29.1%","15.2%","10.2%","4.4%","","34,616","19,870","26,757","33,350","50,704","65,760","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,411,694","19.1%","34.0%","40.9%","6.1%","8,130,223","9.3%","9.2%","25.7%","22.0%","6.1%","17.9%","9.8%","81.4%","27.7%","1,932,580","83.7%","25.0%","1,789,314","81.4%","27.6%","3,096,780","81.6%","28.5%","1,311,549","77.9%","30.1%","","24.6%","12.5%","7.9%","3.9%","","40,849","23,901","31,909","41,363","62,434","83,344","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,321,925","14.9%","28.2%","47.1%","9.8%","8,543,433","8.9%","8.7%","24.8%","23.2%","7.0%","18.6%","8.8%","82.3%","27.4%","1,872,279","87.2%","32.0%","1,801,395","82.8%","31.2%","3,214,781","83.1%","27.3%","1,654,978","74.9%","18.2%","","33.4%","17.8%","12.1%","4.8%","","28,245","13,910","21,278","27,510","43,313","53,836","","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","333,592","13.4%","28.5%","52.0%","6.1%","1,670,449","2.9%","5.5%","22.9%","27.8%","9.5%","20.9%","10.5%","91.5%","31.3%","439,707","92.5%","31.5%","373,367","90.7%","32.8%","574,695","91.9%","30.5%","282,680","90.5%","30.9%","","24.2%","12.1%","8.2%","4.9%","","35,365","22,290","27,868","31,843","44,668","61,774","","4.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","168,363","15.2%","33.3%","47.7%","3.8%","828,744","2.9%","6.0%","22.0%","27.0%","8.4%","20.8%","12.9%","91.1%","33.7%","223,959","91.8%","29.9%","189,800","89.4%","34.1%","285,094","91.6%","33.5%","129,891","91.1%","39.9%","","22.2%","9.9%","6.8%","4.5%","","45,595","27,076","35,907","41,535","58,544","80,086","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","165,229","11.6%","23.7%","56.4%","8.3%","841,705","3.0%","5.0%","23.8%","28.5%","10.6%","20.9%","8.1%","92.0%","29.0%","215,748","93.3%","33.1%","183,567","92.1%","31.4%","289,601","92.1%","27.5%","152,789","89.9%","23.3%","","26.3%","14.0%","9.4%","5.4%","","24,703","16,170","20,933","22,768","31,288","47,586","","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66,326","9.4%","30.3%","47.7%","12.7%","436,174","3.2%","5.3%","30.6%","16.9%","8.2%","21.4%","14.3%","91.5%","35.7%","70,428","92.8%","38.6%","72,690","94.0%","40.0%","190,398","93.4%","34.7%","102,658","85.1%","32.7%","","23.3%","13.0%","9.9%","4.4%","","34,771","23,474","29,002","31,443","40,889","54,872","","4.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,580","9.8%","34.6%","43.7%","11.9%","211,254","3.6%","6.8%","33.4%","16.5%","7.5%","18.8%","13.6%","89.7%","32.3%","35,448","90.1%","31.0%","36,352","91.8%","34.5%","92,769","91.8%","30.2%","46,685","83.5%","36.0%","","18.6%","10.7%","8.5%","3.7%","","39,136","24,397","32,413","35,315","50,647","61,202","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,746","9.0%","25.9%","51.7%","13.5%","224,920","2.9%","4.0%","28.0%","17.3%","9.0%","23.9%","15.0%","93.1%","38.9%","34,980","95.6%","46.4%","36,338","96.2%","45.5%","97,629","94.9%","38.9%","55,973","86.5%","29.9%","","30.0%","15.4%","11.0%","5.0%","","30,890","22,847","23,075","28,245","35,627","51,429","","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","834,850","11.1%","31.6%","44.9%","12.4%","5,561,224","4.7%","6.9%","24.8%","20.1%","7.3%","21.1%","15.1%","88.4%","36.1%","1,152,347","91.8%","39.0%","1,098,291","90.9%","40.9%","2,205,777","89.7%","36.4%","1,104,809","79.7%","28.0%","","21.1%","12.5%","8.4%","3.5%","","40,465","21,629","28,505","35,244","54,270","76,575","","6.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","430,039","12.9%","35.4%","41.4%","10.4%","2,680,508","4.9%","7.5%","25.6%","19.4%","6.1%","20.4%","16.0%","87.6%","36.5%","578,498","90.6%","34.0%","548,456","89.3%","38.6%","1,068,512","88.5%","36.9%","485,042","80.2%","36.0%","","18.2%","10.4%","6.2%","2.9%","","47,440","25,820","33,610","41,553","70,639","99,594","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,811","9.3%","27.6%","48.7%","14.5%","2,880,716","4.5%","6.4%","24.1%","20.8%","8.4%","21.7%","14.2%","89.1%","35.9%","573,849","93.0%","44.0%","549,835","92.5%","43.3%","1,137,265","90.8%","35.9%","619,767","79.2%","21.8%","","24.1%","14.4%","10.3%","4.1%","","32,411","16,893","23,062","29,366","43,396","60,114","","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
