"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","6,859,819","48.6%","51.4%","(X)","5.3%","5.3%","5.8%","6.7%","7.1%","14.2%","12.2%","13.7%","7.1%","6.5%","9.3%","4.6%","2.3%","(X)","20.0%","82.5%","80.0%","75.5%","19.9%","16.1%","5,489,235","47.9%","52.1%","(X)","1,107,824","43.3%","56.7%","(X)","","6,859,819","96.9%","3.1%","96.9%","78.5%","7.8%","0.2%","N","N","N","N","6.6%","1.7%","2.4%","0.2%","0.2%","0.4%","0.7%","1.1%","0.0%","N","N","N","N","3.8%","3.1%","1.3%","0.3%","0.7%","0.1%","","6,859,819","81.2%","9.4%","0.7%","7.5%","0.1%","4.3%","","6,859,819","11.8%","0.6%","4.9%","0.3%","6.1%","88.2%","71.5%","7.0%","0.1%","6.6%","0.0%","0.9%","2.1%","0.2%","1.8%","(X)","","4,993,001","47.7%","52.3%"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,962,311","4,907,242","5,055,069","97.1","572,370","581,055","628,301","666,157","695,118","1,266,361","1,157,393","1,328,423","718,892","683,128","978,239","478,891","207,983","39.8","2,175,861","8,052,502","7,786,450","7,374,595","2,057,774","1,665,113","7,786,450","3,792,561","3,993,889","95.0","1,665,113","742,956","922,157","80.6","","9,962,311","9,667,782","294,529","9,667,782","7,814,775","1,374,615","53,461","2,485","21,692","378","373","308,052","119,569","56,455","28,794","12,107","24,729","12,297","54,101","2,951","867","425","366","1,293","113,928","294,529","103,975","65,902","51,787","16,147","","9,962,311","8,073,395","1,522,134","150,627","375,289","10,447","146,324","","9,962,311","504,398","365,457","43,952","10,969","84,020","9,457,913","7,476,534","1,359,264","45,421","306,376","2,340","14,060","253,918","7,730","246,188","4,595,274","","7,481,928","3,636,222","3,845,706"
"    Percent","","9,962,311","49.3%","50.7%","(X)","5.7%","5.8%","6.3%","6.7%","7.0%","12.7%","11.6%","13.3%","7.2%","6.9%","9.8%","4.8%","2.1%","(X)","21.8%","80.8%","78.2%","74.0%","20.7%","16.7%","7,786,450","48.7%","51.3%","(X)","1,665,113","44.6%","55.4%","(X)","","9,962,311","97.0%","3.0%","97.0%","78.4%","13.8%","0.5%","0.0%","0.2%","0.0%","0.0%","3.1%","1.2%","0.6%","0.3%","0.1%","0.2%","0.1%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.1%","3.0%","1.0%","0.7%","0.5%","0.2%","","9,962,311","81.0%","15.3%","1.5%","3.8%","0.1%","1.5%","","9,962,311","5.1%","3.7%","0.4%","0.1%","0.8%","94.9%","75.0%","13.6%","0.5%","3.1%","0.0%","0.1%","2.5%","0.1%","2.5%","(X)","","7,481,928","48.6%","51.4%"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,576,606","2,780,714","2,795,892","99.5","353,860","361,500","367,960","361,857","353,013","758,807","701,136","708,904","394,482","356,183","492,811","249,371","116,722","37.9","1,297,782","4,422,835","4,278,824","4,058,847","1,069,488","858,904","4,278,824","2,116,447","2,162,377","97.9","858,904","388,576","470,328","82.6","","5,576,606","5,418,369","158,237","5,418,369","4,610,465","361,130","60,803","271","38,434","113","5,958","273,194","44,804","30,486","12,213","5,542","17,194","25,631","137,324","2,044","527","482","272","763","110,733","158,237","46,515","37,210","35,139","3,549","","5,576,606","4,753,015","425,197","110,430","320,526","7,416","130,498","","5,576,606","296,666","203,948","15,344","4,741","72,633","5,279,940","4,455,056","356,949","53,674","272,228","1,653","5,909","134,471","4,405","130,066","2,437,726","","4,079,652","2,012,201","2,067,451"
"    Percent","","5,576,606","49.9%","50.1%","(X)","6.3%","6.5%","6.6%","6.5%","6.3%","13.6%","12.6%","12.7%","7.1%","6.4%","8.8%","4.5%","2.1%","(X)","23.3%","79.3%","76.7%","72.8%","19.2%","15.4%","4,278,824","49.5%","50.5%","(X)","858,904","45.2%","54.8%","(X)","","5,576,606","97.2%","2.8%","97.2%","82.7%","6.5%","1.1%","0.0%","0.7%","0.0%","0.1%","4.9%","0.8%","0.5%","0.2%","0.1%","0.3%","0.5%","2.5%","0.0%","0.0%","0.0%","0.0%","0.0%","2.0%","2.8%","0.8%","0.7%","0.6%","0.1%","","5,576,606","85.2%","7.6%","2.0%","5.7%","0.1%","2.3%","","5,576,606","5.3%","3.7%","0.3%","0.1%","1.3%","94.7%","79.9%","6.4%","1.0%","4.9%","0.0%","0.1%","2.4%","0.1%","2.3%","(X)","","4,079,652","49.3%","50.7%"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,984,100","1,446,473","1,537,627","94.1","182,467","194,302","214,312","225,268","208,410","362,723","377,902","371,222","195,996","185,779","279,707","137,127","48,885","37.5","714,553","2,351,836","2,269,547","2,121,780","576,987","465,719","2,269,547","1,079,184","1,190,363","90.7","465,719","201,149","264,570","76.0","","2,984,100","2,943,669","40,431","2,943,669","1,735,887","1,134,333","13,746","N","N","N","N","27,694","7,006","4,584","4,138","879","859","7,198","3,030","1,095","N","N","N","N","30,914","40,431","17,114","8,731","4,090","1,426","","2,984,100","1,771,426","1,156,352","25,411","35,433","3,363","35,832","","2,984,100","86,035","54,644","6,766","3,209","21,416","2,898,065","1,688,447","1,130,323","13,240","27,467","1,095","3,183","34,310","1,218","33,092","1,323,754","","2,234,722","1,059,143","1,175,579"
"    Percent","","2,984,100","48.5%","51.5%","(X)","6.1%","6.5%","7.2%","7.5%","7.0%","12.2%","12.7%","12.4%","6.6%","6.2%","9.4%","4.6%","1.6%","(X)","23.9%","78.8%","76.1%","71.1%","19.3%","15.6%","2,269,547","47.6%","52.4%","(X)","465,719","43.2%","56.8%","(X)","","2,984,100","98.6%","1.4%","98.6%","58.2%","38.0%","0.5%","N","N","N","N","0.9%","0.2%","0.2%","0.1%","0.0%","0.0%","0.2%","0.1%","0.0%","N","N","N","N","1.0%","1.4%","0.6%","0.3%","0.1%","0.0%","","2,984,100","59.4%","38.8%","0.9%","1.2%","0.1%","1.2%","","2,984,100","2.9%","1.8%","0.2%","0.1%","0.7%","97.1%","56.6%","37.9%","0.4%","0.9%","0.0%","0.1%","1.1%","0.0%","1.1%","(X)","","2,234,722","47.4%","52.6%"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,113,532","3,002,694","3,110,838","96.5","374,001","375,209","400,738","405,662","407,647","814,462","729,164","773,476","427,294","395,610","583,687","303,484","123,098","38.5","1,387,661","4,885,700","4,725,871","4,471,586","1,237,303","1,010,269","4,725,871","2,289,651","2,436,220","94.0","1,010,269","445,846","564,423","79.0","","6,113,532","5,952,255","161,277","5,952,255","5,013,597","698,380","25,567","8,641","305","1,256","1,026","124,518","26,346","32,505","14,010","4,625","10,579","12,952","23,501","8,956","3,144","2,202","2,560","1,050","81,237","161,277","62,472","43,626","22,609","5,027","","6,113,532","5,162,193","778,856","81,603","157,945","13,456","93,311","","6,113,532","255,803","182,366","14,577","6,871","51,989","5,857,729","4,854,821","694,270","21,332","123,227","8,693","11,667","143,719","3,386","140,333","2,792,445","","4,606,843","2,230,438","2,376,405"
"    Percent","","6,113,532","49.1%","50.9%","(X)","6.1%","6.1%","6.6%","6.6%","6.7%","13.3%","11.9%","12.7%","7.0%","6.5%","9.5%","5.0%","2.0%","(X)","22.7%","79.9%","77.3%","73.1%","20.2%","16.5%","4,725,871","48.4%","51.6%","(X)","1,010,269","44.1%","55.9%","(X)","","6,113,532","97.4%","2.6%","97.4%","82.0%","11.4%","0.4%","0.1%","0.0%","0.0%","0.0%","2.0%","0.4%","0.5%","0.2%","0.1%","0.2%","0.2%","0.4%","0.1%","0.1%","0.0%","0.0%","0.0%","1.3%","2.6%","1.0%","0.7%","0.4%","0.1%","","6,113,532","84.4%","12.7%","1.3%","2.6%","0.2%","1.5%","","6,113,532","4.2%","3.0%","0.2%","0.1%","0.9%","95.8%","79.4%","11.4%","0.3%","2.0%","0.1%","0.2%","2.4%","0.1%","2.3%","(X)","","4,606,843","48.4%","51.6%"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,050,493","526,357","524,136","100.4","61,405","64,135","65,625","64,773","70,889","132,667","125,034","123,311","72,861","79,577","114,268","55,121","20,827","40.0","229,895","846,678","820,598","779,271","235,635","190,216","820,598","410,107","410,491","99.9","190,216","91,640","98,576","93.0","","1,050,493","1,016,395","34,098","1,016,395","930,548","4,635","64,908","199","2,576","201","4,220","7,366","239","1,770","2,921","519","324","122","1,471","1,150","N","N","N","N","7,788","34,098","4,121","17,275","6,014","1,220","","1,050,493","962,539","11,152","84,968","14,681","2,446","10,677","","1,050,493","38,933","29,431","2,136","328","7,038","1,011,560","906,221","4,380","62,126","7,182","1,150","589","29,912","883","29,029","510,408","","810,760","406,075","404,685"
"    Percent","","1,050,493","50.1%","49.9%","(X)","5.8%","6.1%","6.2%","6.2%","6.7%","12.6%","11.9%","11.7%","6.9%","7.6%","10.9%","5.2%","2.0%","(X)","21.9%","80.6%","78.1%","74.2%","22.4%","18.1%","820,598","50.0%","50.0%","(X)","190,216","48.2%","51.8%","(X)","","1,050,493","96.8%","3.2%","96.8%","88.6%","0.4%","6.2%","0.0%","0.2%","0.0%","0.4%","0.7%","0.0%","0.2%","0.3%","0.0%","0.0%","0.0%","0.1%","0.1%","N","N","N","N","0.7%","3.2%","0.4%","1.6%","0.6%","0.1%","","1,050,493","91.6%","1.1%","8.1%","1.4%","0.2%","1.0%","","1,050,493","3.7%","2.8%","0.2%","0.0%","0.7%","96.3%","86.3%","0.4%","5.9%","0.7%","0.1%","0.1%","2.8%","0.1%","2.8%","(X)","","810,760","50.1%","49.9%"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,920,076","959,273","960,803","99.8","131,679","130,641","136,511","128,798","133,193","259,071","235,957","225,511","126,181","117,629","167,846","86,214","40,845","36.5","474,597","1,496,751","1,445,479","1,364,646","363,487","294,905","1,445,479","715,308","730,171","98.0","294,905","132,471","162,434","81.6","","1,920,076","1,868,848","51,228","1,868,848","1,677,092","88,952","15,619","1,040","13","28","4,073","47,118","7,825","6,483","2,931","2,188","3,002","6,510","18,179","1,244","479","502","68","195","38,823","51,228","17,979","9,987","7,787","3,453","","1,920,076","1,720,851","115,073","33,754","58,834","3,092","43,812","","1,920,076","209,917","151,404","7,765","5,205","45,543","1,710,159","1,517,634","87,147","12,823","46,837","1,130","1,662","42,926","510","42,416","837,540","","1,368,000","674,445","693,555"
"    Percent","","1,920,076","50.0%","50.0%","(X)","6.9%","6.8%","7.1%","6.7%","6.9%","13.5%","12.3%","11.7%","6.6%","6.1%","8.7%","4.5%","2.1%","(X)","24.7%","78.0%","75.3%","71.1%","18.9%","15.4%","1,445,479","49.5%","50.5%","(X)","294,905","44.9%","55.1%","(X)","","1,920,076","97.3%","2.7%","97.3%","87.3%","4.6%","0.8%","0.1%","0.0%","0.0%","0.2%","2.5%","0.4%","0.3%","0.2%","0.1%","0.2%","0.3%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","2.0%","2.7%","0.9%","0.5%","0.4%","0.2%","","1,920,076","89.6%","6.0%","1.8%","3.1%","0.2%","2.3%","","1,920,076","10.9%","7.9%","0.4%","0.3%","2.4%","89.1%","79.0%","4.5%","0.7%","2.4%","0.1%","0.1%","2.2%","0.0%","2.2%","(X)","","1,368,000","49.3%","50.7%"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,998,039","1,506,252","1,491,787","101.0","184,055","193,972","190,212","181,284","185,336","436,060","400,006","396,715","196,390","175,330","286,595","130,841","41,243","38.0","683,957","2,390,188","2,314,082","2,211,976","561,652","458,679","2,314,082","1,154,611","1,159,471","99.6","458,679","217,276","241,403","90.0","","2,998,039","2,858,836","139,203","2,858,836","1,936,859","274,550","37,910","2,554","315","3,829","657","255,025","19,416","34,631","134,982","12,510","17,140","11,113","25,233","20,761","9,654","3,969","4,428","2,710","333,731","139,203","24,350","17,603","37,286","3,147","","2,998,039","2,051,354","318,612","66,328","316,381","42,137","359,572","","2,998,039","864,663","654,534","30,046","33,421","146,662","2,133,376","1,462,301","265,472","27,991","249,834","19,252","11,460","97,066","2,060","95,006","1,249,733","","2,031,213","1,012,511","1,018,702"
"    Percent","","2,998,039","50.2%","49.8%","(X)","6.1%","6.5%","6.3%","6.0%","6.2%","14.5%","13.3%","13.2%","6.6%","5.8%","9.6%","4.4%","1.4%","(X)","22.8%","79.7%","77.2%","73.8%","18.7%","15.3%","2,314,082","49.9%","50.1%","(X)","458,679","47.4%","52.6%","(X)","","2,998,039","95.4%","4.6%","95.4%","64.6%","9.2%","1.3%","0.1%","0.0%","0.1%","0.0%","8.5%","0.6%","1.2%","4.5%","0.4%","0.6%","0.4%","0.8%","0.7%","0.3%","0.1%","0.1%","0.1%","11.1%","4.6%","0.8%","0.6%","1.2%","0.1%","","2,998,039","68.4%","10.6%","2.2%","10.6%","1.4%","12.0%","","2,998,039","28.8%","21.8%","1.0%","1.1%","4.9%","71.2%","48.8%","8.9%","0.9%","8.3%","0.6%","0.4%","3.2%","0.1%","3.2%","(X)","","2,031,213","49.8%","50.2%"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,342,795","665,741","677,054","98.3","63,523","68,021","77,507","86,749","88,990","163,877","151,687","196,140","113,302","96,678","143,104","62,692","30,525","43.2","258,195","1,118,608","1,084,600","1,027,705","293,919","236,321","1,084,600","532,324","552,276","96.4","236,321","108,049","128,272","84.2","","1,342,795","1,314,686","28,109","1,314,686","1,249,751","22,409","1,785","N","N","N","N","35,663","11,676","8,723","2,227","493","2,727","3,108","6,709","560","N","N","N","N","4,518","28,109","7,137","8,430","6,484","653","","1,342,795","1,275,613","31,323","11,758","44,702","2,338","6,924","","1,342,795","50,393","10,351","16,331","2,109","21,602","1,292,402","1,212,790","18,023","1,500","35,602","337","743","23,407","713","22,694","634,689","","1,048,883","514,562","534,321"
"    Percent","","1,342,795","49.6%","50.4%","(X)","4.7%","5.1%","5.8%","6.5%","6.6%","12.2%","11.3%","14.6%","8.4%","7.2%","10.7%","4.7%","2.3%","(X)","19.2%","83.3%","80.8%","76.5%","21.9%","17.6%","1,084,600","49.1%","50.9%","(X)","236,321","45.7%","54.3%","(X)","","1,342,795","97.9%","2.1%","97.9%","93.1%","1.7%","0.1%","N","N","N","N","2.7%","0.9%","0.6%","0.2%","0.0%","0.2%","0.2%","0.5%","0.0%","N","N","N","N","0.3%","2.1%","0.5%","0.6%","0.5%","0.0%","","1,342,795","95.0%","2.3%","0.9%","3.3%","0.2%","0.5%","","1,342,795","3.8%","0.8%","1.2%","0.2%","1.6%","96.2%","90.3%","1.3%","0.1%","2.7%","0.0%","0.1%","1.7%","0.1%","1.7%","(X)","","1,048,883","49.1%","50.9%"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,005,644","4,396,848","4,608,796","95.4","520,361","533,631","574,204","575,850","567,060","1,162,394","1,159,791","1,277,960","640,344","577,577","801,569","422,717","192,186","39.8","1,978,796","7,265,350","7,026,848","6,688,119","1,739,316","1,416,472","7,026,848","3,386,625","3,640,223","93.0","1,416,472","607,864","808,608","75.2","","9,005,644","8,776,056","229,588","8,776,056","6,112,238","1,217,572","17,843","N","N","N","N","886,261","406,579","167,429","108,282","15,281","94,386","20,064","74,240","3,771","807","888","768","1,308","538,371","229,588","72,920","12,465","52,541","8,608","","9,005,644","6,295,783","1,332,592","54,873","966,405","12,369","593,903","","9,005,644","1,840,433","238,969","470,640","99,987","1,030,837","7,165,211","4,939,479","1,148,321","9,074","882,064","1,919","36,707","147,647","12,898","134,749","3,615,891","","6,199,409","2,974,541","3,224,868"
"    Percent","","9,005,644","48.8%","51.2%","(X)","5.8%","5.9%","6.4%","6.4%","6.3%","12.9%","12.9%","14.2%","7.1%","6.4%","8.9%","4.7%","2.1%","(X)","22.0%","80.7%","78.0%","74.3%","19.3%","15.7%","7,026,848","48.2%","51.8%","(X)","1,416,472","42.9%","57.1%","(X)","","9,005,644","97.5%","2.5%","97.5%","67.9%","13.5%","0.2%","N","N","N","N","9.8%","4.5%","1.9%","1.2%","0.2%","1.0%","0.2%","0.8%","0.0%","0.0%","0.0%","0.0%","0.0%","6.0%","2.5%","0.8%","0.1%","0.6%","0.1%","","9,005,644","69.9%","14.8%","0.6%","10.7%","0.1%","6.6%","","9,005,644","20.4%","2.7%","5.2%","1.1%","11.4%","79.6%","54.8%","12.8%","0.1%","9.8%","0.0%","0.4%","1.6%","0.1%","1.5%","(X)","","6,199,409","48.0%","52.0%"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,088,070","1,034,144","1,053,926","98.1","126,427","134,970","144,707","146,388","144,103","274,063","250,144","239,784","141,515","136,040","212,171","100,204","37,554","37.7","489,722","1,654,690","1,598,348","1,508,939","429,809","349,929","1,598,348","785,527","812,821","96.6","349,929","158,842","191,087","83.1","","2,088,070","2,018,505","69,565","2,018,505","1,582,020","44,431","199,887","1,415","147","124,768","810","29,427","3,807","7,042","5,887","2,427","2,945","3,792","3,527","1,684","N","N","N","N","161,056","69,565","12,332","19,355","10,939","2,610","","2,088,070","1,640,823","63,684","228,694","43,609","3,812","181,155","","2,088,070","1,018,344","668,336","9,895","4,401","335,712","1,069,726","780,688","38,022","182,991","27,514","1,046","2,725","36,740","1,565","35,175","937,976","","1,493,318","734,610","758,708"
"    Percent","","2,088,070","49.5%","50.5%","(X)","6.1%","6.5%","6.9%","7.0%","6.9%","13.1%","12.0%","11.5%","6.8%","6.5%","10.2%","4.8%","1.8%","(X)","23.5%","79.2%","76.5%","72.3%","20.6%","16.8%","1,598,348","49.1%","50.9%","(X)","349,929","45.4%","54.6%","(X)","","2,088,070","96.7%","3.3%","96.7%","75.8%","2.1%","9.6%","0.1%","0.0%","6.0%","0.0%","1.4%","0.2%","0.3%","0.3%","0.1%","0.1%","0.2%","0.2%","0.1%","N","N","N","N","7.7%","3.3%","0.6%","0.9%","0.5%","0.1%","","2,088,070","78.6%","3.0%","11.0%","2.1%","0.2%","8.7%","","2,088,070","48.8%","32.0%","0.5%","0.2%","16.1%","51.2%","37.4%","1.8%","8.8%","1.3%","0.1%","0.1%","1.8%","0.1%","1.7%","(X)","","1,493,318","49.2%","50.8%"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,849,399","9,637,896","10,211,503","94.4","1,157,597","1,117,817","1,163,438","1,237,311","1,352,104","2,923,367","2,471,713","2,661,217","1,346,547","1,257,239","1,786,400","929,667","444,982","38.7","4,153,497","16,178,211","15,695,902","14,900,654","3,866,151","3,161,049","15,695,902","7,515,307","8,180,595","91.9","3,161,049","1,353,360","1,807,689","74.9","","19,849,399","19,247,328","602,071","19,247,328","12,523,357","3,136,984","76,069","3,786","1,186","198","651","1,734,663","397,352","758,898","113,573","34,504","124,930","35,389","270,017","7,397","2,237","1,083","1,499","2,578","1,768,858","602,071","168,471","52,482","118,535","23,515","","19,849,399","12,978,410","3,436,650","213,702","1,917,511","30,124","1,933,198","","19,849,399","3,811,654","470,491","1,113,123","78,478","2,149,562","16,037,745","10,936,578","2,846,481","41,752","1,718,948","4,585","112,854","376,547","36,925","339,622","8,327,621","","13,866,648","6,598,149","7,268,499"
"    Percent","","19,849,399","48.6%","51.4%","(X)","5.8%","5.6%","5.9%","6.2%","6.8%","14.7%","12.5%","13.4%","6.8%","6.3%","9.0%","4.7%","2.2%","(X)","20.9%","81.5%","79.1%","75.1%","19.5%","15.9%","15,695,902","47.9%","52.1%","(X)","3,161,049","42.8%","57.2%","(X)","","19,849,399","97.0%","3.0%","97.0%","63.1%","15.8%","0.4%","0.0%","0.0%","0.0%","0.0%","8.7%","2.0%","3.8%","0.6%","0.2%","0.6%","0.2%","1.4%","0.0%","0.0%","0.0%","0.0%","0.0%","8.9%","3.0%","0.8%","0.3%","0.6%","0.1%","","19,849,399","65.4%","17.3%","1.1%","9.7%","0.2%","9.7%","","19,849,399","19.2%","2.4%","5.6%","0.4%","10.8%","80.8%","55.1%","14.3%","0.2%","8.7%","0.0%","0.6%","1.9%","0.2%","1.7%","(X)","","13,866,648","47.6%","52.4%"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","10,273,419","4,998,538","5,274,881","94.8","601,181","629,442","665,657","694,964","690,990","1,352,154","1,305,272","1,390,045","684,650","629,066","987,947","463,493","178,558","38.8","2,301,190","8,248,651","7,972,229","7,535,980","1,994,064","1,629,998","7,972,229","3,820,732","4,151,497","92.0","1,629,998","711,245","918,753","77.4","","10,273,419","10,006,431","266,988","10,006,431","7,066,745","2,206,579","119,909","17,946","1,272","665","754","295,672","104,290","47,024","24,372","6,287","17,356","36,811","59,532","8,385","4,493","2,115","253","1,524","309,141","266,988","102,177","45,279","40,068","15,815","","10,273,419","7,292,200","2,357,777","198,836","357,296","18,906","341,203","","10,273,419","962,466","548,173","107,472","26,520","280,301","9,310,953","6,472,902","2,175,617","111,317","293,050","7,252","23,954","226,861","7,266","219,595","4,622,656","","7,509,879","3,581,883","3,927,996"
