"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2014 - 2013 Statistical Significance","","c","","","","","","*","","*","","*","","","*","","*","","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","*","*","","","","","","","","","","","","","","","","","","","c","*","*","*","*","","","","c","*","*","","","","*","*","*","","*","","","","","","*"
"    2012 Estimate","","5,379,139","49.6%","50.4%","6.5%","6.8%","6.5%","6.7%","6.6%","13.7%","12.5%","14.6%","6.8%","5.8%","7.3%","4.2%","2.1%","37.6","76.2%","72.2%","16.8%","13.6%","4,101,339","49.2%","50.8%","729,910","44.2%","55.8%","","5,379,139","97.5%","2.5%","97.5%","85.5%","5.3%","1.0%","0.0%","0.6%","0.0%","0.1%","4.2%","0.7%","0.5%","0.2%","0.1%","0.3%","0.5%","2.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","2.5%","0.8%","0.6%","0.5%","0.1%","","5,379,139","87.8%","6.4%","1.9%","4.9%","0.2%","1.6%","","5,379,139","4.9%","3.5%","0.2%","0.1%","1.1%","95.1%","82.3%","5.3%","1.0%","4.2%","0.0%","0.1%","2.3%","0.1%","2.2%","2,361,074"
"    2014 - 2012 Statistical Significance","","c","","","*","","","*","","","*","*","*","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","*","","","","","","","*","","*","","","","*","","","","","","","c","*","*","","*","","*","","c","*","","","","","*","*","*","","*","","*","","*","","*"
"    2011 Estimate","","5,344,861","49.7%","50.3%","6.6%","6.7%","6.6%","6.9%","6.6%","13.6%","12.5%","15.0%","6.7%","5.7%","6.9%","4.3%","2.0%","37.6","76.1%","71.8%","16.4%","13.1%","4,067,200","49.2%","50.8%","701,083","43.9%","56.1%","","5,344,861","97.5%","2.5%","97.5%","85.7%","5.2%","1.1%","0.0%","0.6%","0.0%","0.1%","4.0%","0.6%","0.5%","0.2%","0.1%","0.3%","0.5%","2.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","2.5%","0.8%","0.6%","0.5%","0.1%","","5,344,861","87.9%","6.4%","2.0%","4.7%","0.1%","1.6%","","5,344,861","4.8%","3.4%","0.3%","0.1%","1.1%","95.2%","82.7%","5.1%","1.0%","4.0%","0.0%","0.1%","2.2%","0.1%","2.1%","2,354,075"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","*","","","","","*","*","","","","","","*","*","*","","","*","","","","","*","","","c","*","*","*","*","*","","","c","*","*","","","","*","*","*","*","*","*","*","","","","*"
"    2010 Estimate","","5,310,584","49.6%","50.4%","6.7%","6.5%","6.8%","6.9%","6.6%","13.5%","12.8%","15.2%","6.6%","5.4%","6.7%","4.2%","2.0%","37.5","75.8%","71.6%","16.0%","12.9%","4,026,931","49.1%","50.9%","686,694","43.6%","56.4%","","5,310,584","97.6%","2.4%","97.6%","86.1%","5.2%","1.1%","0.0%","0.7%","0.0%","0.1%","4.0%","0.7%","0.5%","0.1%","0.1%","0.2%","0.5%","1.8%","0.0%","0.0%","0.0%","0.0%","0.0%","1.3%","2.4%","0.8%","0.5%","0.5%","0.1%","","5,310,584","88.3%","6.2%","1.9%","4.6%","0.1%","1.5%","","5,310,584","4.7%","3.4%","0.2%","0.1%","1.0%","95.3%","83.1%","5.1%","1.0%","3.9%","0.0%","0.1%","2.1%","0.1%","2.0%","2,348,242"
"    2014 - 2010 Statistical Significance","","c","*","*","*","","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","*","*","*","","","","","","*","","","","","*","*","*","","","*","","","c","*","*","","*","","*","","c","*","*","","","","*","*","*","","*","","","","*","*","*"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","2,994,079","48.7%","51.3%","6.4%","6.9%","7.1%","7.5%","7.0%","12.8%","12.9%","12.7%","6.7%","5.7%","8.3%","4.3%","1.7%","36.7","75.5%","70.7%","17.5%","14.3%","2,261,526","47.8%","52.2%","427,313","42.8%","57.2%","","2,994,079","98.7%","1.3%","98.7%","58.8%","37.8%","0.4%","N","N","N","N","0.8%","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.8%","1.3%","0.5%","0.3%","0.2%","0.1%","","2,994,079","59.9%","38.5%","0.8%","1.1%","0.1%","1.0%","","2,994,079","2.7%","1.8%","0.3%","0.0%","0.6%","97.3%","57.2%","37.7%","0.4%","0.8%","0.0%","0.1%","1.1%","0.0%","1.1%","1,294,738"
"    2013 Estimate","","2,991,207","48.5%","51.5%","6.6%","7.1%","6.9%","7.4%","7.4%","12.6%","12.7%","13.0%","6.6%","5.8%","8.0%","4.2%","1.6%","36.6","75.4%","70.3%","17.3%","13.9%","2,254,067","47.7%","52.3%","414,365","42.6%","57.4%","","2,991,207","98.9%","1.1%","98.9%","59.0%","37.7%","0.4%","N","N","N","N","0.9%","0.2%","0.1%","0.2%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.2%","0.1%","0.1%","","2,991,207","59.9%","38.4%","0.8%","1.2%","0.1%","0.9%","","2,991,207","2.7%","1.7%","0.3%","0.1%","0.7%","97.3%","57.4%","37.6%","0.4%","0.9%","0.0%","0.1%","0.9%","0.0%","0.9%","1,283,192"
"    2014 - 2013 Statistical Significance","","c","","","*","","*","","*","","","*","","","*","","","","*","*","","*","*","","","*","","","","c","*","*","*","","","","","","","","*","","","","","","","","","","","","","","*","","","*","","","c","","","","*","","","","c","","","","","","","*","","","*","","","*","","*","*"
"    2012 Estimate","","2,984,926","48.3%","51.7%","6.8%","7.0%","7.1%","7.5%","7.5%","12.5%","12.6%","13.3%","6.5%","5.7%","7.8%","4.1%","1.6%","36.2","75.0%","69.8%","16.9%","13.5%","2,237,257","47.5%","52.5%","402,724","42.5%","57.5%","","2,984,926","98.9%","1.1%","98.9%","59.3%","37.6%","0.4%","N","N","N","N","0.8%","0.2%","0.2%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.2%","0.2%","0.0%","","2,984,926","60.3%","38.2%","0.8%","1.0%","0.0%","0.8%","","2,984,926","2.7%","1.6%","0.3%","0.1%","0.6%","97.3%","57.5%","37.5%","0.4%","0.8%","0.0%","0.1%","1.0%","0.0%","1.0%","1,283,897"
"    2014 - 2012 Statistical Significance","","c","*","*","*","","","","*","","*","*","*","","*","*","","*","*","*","*","*","*","*","*","*","","","","c","","","","*","","","","","","","","","*","","","","","","","","","","","","","","","","","","c","*","*","","","*","","","c","","","","","","","*","","","","","","","","","*"
"    2011 Estimate","","2,978,512","48.6%","51.4%","6.9%","6.8%","7.4%","7.6%","7.0%","12.7%","12.8%","13.6%","6.4%","5.7%","7.4%","4.2%","1.5%","36.1","74.8%","69.6%","16.4%","13.0%","2,226,571","47.7%","52.3%","387,023","42.2%","57.8%","","2,978,512","98.8%","1.2%","98.8%","59.4%","37.4%","0.4%","N","N","N","N","0.9%","0.1%","0.2%","0.1%","0.0%","0.0%","0.3%","0.0%","0.0%","N","N","N","N","0.6%","1.2%","0.5%","0.2%","0.1%","0.0%","","2,978,512","60.4%","38.1%","0.8%","1.1%","0.0%","0.8%","","2,978,512","2.7%","1.9%","0.2%","0.0%","0.6%","97.3%","57.7%","37.3%","0.4%","0.9%","0.0%","0.0%","1.0%","0.0%","0.9%","1,281,760"
"    2014 - 2011 Statistical Significance","","c","","","*","","*","","","","","*","*","","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","","","","","","*","*","*","","","","","","*","","","","*","","","c","*","*","","","*","","","c","","","","","","","*","*","","","","","","","","*"
"    2010 Estimate","","2,970,036","48.5%","51.5%","7.0%","6.9%","7.0%","7.6%","7.3%","12.7%","13.0%","13.9%","6.3%","5.5%","7.3%","4.1%","1.5%","36.1","74.6%","69.8%","16.1%","12.9%","2,216,868","47.7%","52.3%","382,756","41.9%","58.1%","","2,970,036","98.9%","1.1%","98.9%","59.5%","37.3%","0.4%","N","N","N","N","0.9%","0.1%","0.2%","0.1%","0.0%","0.1%","0.3%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.4%","0.1%","0.1%","","2,970,036","60.5%","37.9%","0.9%","1.0%","0.0%","0.9%","","2,970,036","2.5%","1.6%","0.2%","0.1%","0.6%","97.5%","58.0%","37.2%","0.4%","0.9%","0.0%","0.1%","0.9%","0.0%","0.9%","1,276,441"
"    2014 - 2010 Statistical Significance","","c","","","*","","","","*","","","*","*","*","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","","","","","*","","*","","","","","","","","","","","*","","","c","*","*","","","*","","","c","*","","","","","*","*","*","","","","","*","","*","*"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","6,063,589","49.0%","51.0%","6.1%","6.5%","6.4%","6.6%","7.1%","13.1%","12.1%","13.6%","6.9%","6.1%","8.7%","4.7%","2.0%","38.5","77.0%","72.8%","19.0%","15.4%","4,671,087","48.4%","51.6%","931,890","43.8%","56.2%","","6,063,589","97.5%","2.5%","97.5%","82.3%","11.7%","0.4%","0.1%","0.0%","0.0%","0.0%","1.8%","0.4%","0.4%","0.2%","0.0%","0.2%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.5%","0.8%","0.7%","0.4%","0.1%","","6,063,589","84.6%","12.8%","1.3%","2.3%","0.2%","1.5%","","6,063,589","3.8%","2.6%","0.3%","0.1%","0.9%","96.2%","79.9%","11.6%","0.4%","1.7%","0.1%","0.2%","2.2%","0.0%","2.1%","2,735,803"
"    2013 Estimate","","6,044,171","49.0%","51.0%","6.2%","6.5%","6.6%","6.6%","7.2%","13.2%","12.0%","13.9%","6.8%","6.1%","8.4%","4.6%","2.0%","38.1","76.9%","72.6%","18.5%","15.0%","4,645,096","48.3%","51.7%","908,358","43.7%","56.3%","","6,044,171","97.5%","2.5%","97.5%","82.8%","11.5%","0.4%","0.1%","0.0%","0.0%","0.0%","1.7%","0.4%","0.4%","0.2%","0.0%","0.2%","0.2%","0.2%","0.1%","0.1%","0.0%","0.0%","0.0%","1.1%","2.5%","0.8%","0.7%","0.4%","0.1%","","6,044,171","85.0%","12.6%","1.3%","2.2%","0.2%","1.3%","","6,044,171","3.8%","2.6%","0.2%","0.1%","0.9%","96.2%","80.4%","11.4%","0.3%","1.7%","0.1%","0.1%","2.2%","0.0%","2.2%","2,719,109"
"    2014 - 2013 Statistical Significance","","c","","","","","","","","","*","*","","","*","","","*","*","*","*","*","*","","","*","","","","c","","","","*","*","","","","","","","","","","","","","*","","*","","","","","","","","","*","","c","*","*","","*","","*","","c","","","","","","","*","*","*","","","*","","","","*"
"    2012 Estimate","","6,021,988","49.0%","51.0%","6.2%","6.5%","6.6%","6.8%","7.0%","13.1%","12.1%","14.2%","6.8%","5.9%","8.1%","4.6%","1.9%","38.2","76.7%","72.3%","18.1%","14.7%","4,618,282","48.3%","51.7%","884,325","43.6%","56.4%","","6,021,988","97.6%","2.4%","97.6%","82.7%","11.5%","0.5%","0.2%","0.0%","0.0%","0.0%","1.7%","0.4%","0.4%","0.2%","0.0%","0.2%","0.3%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.4%","0.8%","0.7%","0.3%","0.2%","","6,021,988","84.8%","12.6%","1.4%","2.1%","0.1%","1.4%","","6,021,988","3.7%","2.6%","0.2%","0.1%","0.8%","96.3%","80.5%","11.4%","0.4%","1.7%","0.1%","0.2%","2.1%","0.1%","2.0%","2,720,087"
"    2014 - 2012 Statistical Significance","","c","","","*","","","*","","","","*","","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","*","","","","","","","","*","","","","","","","","","","","*","","c","*","*","*","*","*","","","c","*","","*","","","*","*","*","","","","","","","","*"
"    2011 Estimate","","6,010,688","49.0%","51.0%","6.3%","6.6%","6.5%","7.0%","6.9%","13.1%","12.3%","14.5%","6.7%","5.9%","7.7%","4.5%","2.0%","38.0","76.5%","72.1%","17.7%","14.2%","4,596,993","48.3%","51.7%","854,604","43.3%","56.7%","","6,010,688","97.6%","2.4%","97.6%","83.0%","11.5%","0.4%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.2%","0.1%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","2.4%","0.8%","0.7%","0.3%","0.1%","","6,010,688","85.2%","12.6%","1.3%","2.1%","0.2%","1.2%","","6,010,688","3.6%","2.4%","0.3%","0.1%","0.8%","96.4%","80.8%","11.4%","0.3%","1.6%","0.1%","0.1%","2.1%","0.0%","2.1%","2,723,449"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","*","","","","*","*","","","","","","","*","*","","","","*","*","","","","","","","c","*","*","","*","","*","","c","*","","","","","*","*","*","","*","*","*","","","","*"
"    2010 Estimate","","5,996,231","48.9%","51.1%","6.5%","6.4%","6.6%","7.0%","7.0%","12.9%","12.5%","14.9%","6.5%","5.6%","7.5%","4.5%","2.0%","38.0","76.4%","71.8%","17.4%","14.1%","4,578,660","48.2%","51.8%","842,885","43.0%","57.0%","","5,996,231","97.8%","2.2%","97.8%","83.1%","11.7%","0.4%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.2%","0.0%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","2.2%","0.6%","0.8%","0.4%","0.1%","","5,996,231","85.1%","12.6%","1.3%","2.0%","0.1%","1.1%","","5,996,231","3.6%","2.6%","0.2%","0.1%","0.7%","96.4%","81.0%","11.6%","0.3%","1.5%","0.1%","0.1%","1.9%","0.0%","1.8%","2,714,017"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","*","*","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","","*","","*","","","*","","","","","","","*","","","","","*","*","*","*","","","","","c","*","*","","*","*","*","","c","*","","*","","*","*","*","","*","*","","*","*","","*","*"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","1,023,579","50.2%","49.8%","5.8%","6.4%","6.1%","6.3%","7.3%","12.5%","11.2%","12.8%","7.8%","7.0%","9.7%","4.9%","2.0%","39.6","78.1%","73.8%","20.9%","16.6%","798,957","49.8%","50.2%","170,153","47.4%","52.6%","","1,023,579","97.9%","2.1%","97.9%","89.4%","0.6%","6.8%","0.1%","0.4%","0.1%","0.4%","0.8%","0.0%","0.2%","0.2%","0.1%","0.1%","0.0%","0.1%","0.0%","N","N","N","N","0.3%","2.1%","0.3%","1.1%","0.5%","0.0%","","1,023,579","91.4%","0.9%","8.0%","1.4%","0.1%","0.4%","","1,023,579","3.4%","2.4%","0.2%","0.1%","0.6%","96.6%","86.7%","0.6%","6.6%","0.8%","0.0%","0.0%","1.9%","0.0%","1.9%","491,515"
"    2013 Estimate","","1,015,165","49.9%","50.1%","6.0%","6.4%","5.9%","6.7%","7.1%","12.5%","11.3%","13.2%","7.8%","6.8%","9.3%","4.9%","2.1%","39.6","77.9%","73.4%","20.1%","16.3%","791,069","49.8%","50.2%","165,080","47.0%","53.0%","","1,015,165","97.4%","2.6%","97.4%","89.1%","0.3%","6.8%","0.1%","0.3%","0.1%","0.6%","0.6%","0.0%","0.1%","0.1%","0.0%","0.1%","0.1%","0.1%","0.0%","N","N","N","N","0.5%","2.6%","0.3%","1.3%","0.3%","0.0%","","1,015,165","91.5%","0.7%","8.4%","1.2%","0.3%","0.7%","","1,015,165","3.3%","2.5%","0.1%","0.1%","0.6%","96.7%","87.0%","0.3%","6.6%","0.6%","0.0%","0.0%","2.1%","0.0%","2.1%","485,767"
"    2014 - 2013 Statistical Significance","","c","","","","","","*","","","","*","","","*","","","","","","*","*","*","","","*","*","*","","c","*","*","*","","*","","","","","*","","","","","","","","","","","","","","*","*","","","*","","","c","","*","*","","*","*","","c","*","","","","","*","*","*","","","","","","","","*"
"    2012 Estimate","","1,005,141","50.1%","49.9%","5.9%","6.6%","5.8%","6.3%","7.1%","12.3%","11.4%","14.1%","7.8%","6.9%","8.9%","4.7%","2.1%","40.2","78.1%","73.7%","19.6%","15.8%","785,001","49.8%","50.2%","158,585","47.0%","53.0%","","1,005,141","97.4%","2.6%","97.4%","89.2%","0.4%","6.5%","0.0%","0.3%","0.0%","0.5%","0.6%","0.1%","0.2%","0.1%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","0.6%","2.6%","0.3%","1.4%","0.4%","0.1%","","1,005,141","91.6%","0.8%","8.1%","1.1%","0.2%","0.8%","","1,005,141","3.1%","2.1%","0.2%","0.0%","0.8%","96.9%","87.2%","0.3%","6.2%","0.6%","0.1%","0.0%","2.3%","0.0%","2.3%","486,161"
"    2014 - 2012 Statistical Significance","","c","","","","","","","","","","*","","","*","","","*","","","*","*","*","","","*","*","*","","c","*","*","*","","*","*","*","","","","","","","*","","","","","*","","","","","*","*","","*","","","","c","","","","*","","*","","c","*","*","","","*","*","*","*","*","","*","","*","","*","*"
"    2011 Estimate","","998,199","50.1%","49.9%","6.1%","6.4%","5.9%","6.6%","7.2%","12.5%","11.1%","14.5%","8.0%","6.6%","8.4%","4.7%","2.0%","39.7","77.7%","73.5%","19.0%","15.1%","775,128","49.8%","50.2%","150,976","46.9%","53.1%","","998,199","97.6%","2.4%","97.6%","89.3%","0.4%","6.7%","0.2%","0.3%","0.0%","0.4%","0.6%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","0.5%","2.4%","0.2%","1.6%","0.3%","0.0%","","998,199","91.6%","0.7%","8.5%","1.0%","0.2%","0.6%","","998,199","2.9%","2.1%","0.1%","0.0%","0.7%","97.1%","87.4%","0.4%","6.4%","0.5%","0.1%","0.0%","2.2%","0.0%","2.2%","489,183"
"    2014 - 2011 Statistical Significance","","c","","","*","","","","","","","*","","","*","","","","*","","*","*","*","","","*","*","*","","c","","","","","","","","","","","*","","","","","","","","","","","","","*","","*","*","*","","","c","","*","*","*","","*","","c","*","*","","","","*","*","","","*","","","","","","*"
"    2010 Estimate","","990,898","50.4%","49.6%","6.2%","5.8%","6.4%","7.0%","6.6%","12.2%","11.5%","15.1%","7.8%","6.5%","8.2%","4.7%","2.0%","40.1","77.5%","73.0%","18.7%","14.9%","768,298","49.9%","50.1%","147,494","46.2%","53.8%","","990,898","97.6%","2.4%","97.6%","89.9%","0.5%","6.2%","0.1%","0.3%","0.1%","0.5%","0.6%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","0.4%","2.4%","0.2%","1.5%","0.3%","0.0%","","990,898","92.2%","0.8%","7.9%","1.0%","0.2%","0.5%","","990,898","2.8%","1.9%","0.1%","0.1%","0.7%","97.2%","87.8%","0.5%","6.1%","0.6%","0.1%","0.0%","2.1%","0.0%","2.1%","483,006"
"    2014 - 2010 Statistical Significance","","c","","","*","*","","*","*","","*","*","","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","","","","*","","","","","","","","","","","","","","","","*","*","","","c","*","","","*","","","","c","*","*","*","","","*","*","","*","*","","","","","","*"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","1,881,503","49.8%","50.2%","6.9%","7.1%","6.8%","6.9%","7.1%","13.5%","12.1%","12.6%","6.8%","5.7%","7.7%","4.5%","2.1%","36.2","75.1%","70.7%","17.6%","14.4%","1,413,626","49.2%","50.8%","270,677","44.1%","55.9%","","1,881,503","97.7%","2.3%","97.7%","88.3%","4.7%","1.0%","0.0%","0.0%","0.0%","0.3%","2.1%","0.4%","0.3%","0.1%","0.1%","0.2%","0.5%","0.5%","0.1%","N","N","N","N","1.6%","2.3%","0.7%","0.6%","0.4%","0.1%","","1,881,503","90.4%","5.7%","1.9%","2.5%","0.2%","1.9%","","1,881,503","10.1%","7.7%","0.2%","0.3%","1.9%","89.9%","80.4%","4.6%","0.7%","2.1%","0.0%","0.1%","2.0%","0.1%","1.9%","814,957"
"    2013 Estimate","","1,868,516","49.5%","50.5%","6.9%","7.2%","6.8%","7.0%","7.1%","13.4%","12.0%","13.1%","6.5%","5.8%","7.4%","4.6%","2.2%","36.3","75.2%","70.7%","17.4%","14.2%","1,404,764","49.2%","50.8%","264,628","43.9%","56.1%","","1,868,516","97.7%","2.3%","97.7%","88.3%","4.6%","0.8%","0.0%","0.0%","0.0%","0.3%","2.0%","0.3%","0.4%","0.1%","0.1%","0.1%","0.5%","0.4%","0.1%","N","N","N","N","1.9%","2.3%","0.7%","0.5%","0.4%","0.1%","","1,868,516","90.4%","5.5%","1.5%","2.5%","0.2%","2.3%","","1,868,516","9.8%","7.3%","0.2%","0.2%","2.1%","90.2%","81.0%","4.5%","0.7%","2.0%","0.1%","0.1%","1.8%","0.0%","1.8%","806,888"
"    2014 - 2013 Statistical Significance","","c","*","*","","","","","","","","*","*","","*","","","","","","","*","*","","","*","","","","c","","","","","","*","","","*","","","","","","","","","","","","","","","","","","*","","","","c","","*","*","","","*","","c","*","","","","","*","*","","","","","","","*","","*"
"    2012 Estimate","","1,855,525","49.7%","50.3%","7.1%","7.1%","6.8%","6.8%","7.1%","13.4%","12.0%","13.5%","6.6%","5.7%","7.2%","4.5%","2.1%","36.3","75.1%","70.7%","17.0%","13.8%","1,392,723","49.2%","50.8%","256,972","43.8%","56.2%","","1,855,525","97.9%","2.1%","97.9%","88.1%","4.6%","0.9%","0.0%","0.0%","0.0%","0.2%","2.0%","0.3%","0.3%","0.1%","0.1%","0.1%","0.6%","0.5%","0.1%","N","N","N","N","2.3%","2.1%","0.7%","0.5%","0.4%","0.0%","","1,855,525","90.1%","5.5%","1.6%","2.5%","0.2%","2.5%","","1,855,525","9.6%","7.6%","0.2%","0.2%","1.6%","90.4%","81.3%","4.5%","0.7%","2.0%","0.1%","0.1%","1.7%","0.0%","1.7%","804,274"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","","","*","","","*","","","","","","*","*","*","","","*","*","*","","c","","","","","","","","","*","","","","","","","*","","","","","","","","*","","","","","*","","c","","*","*","","","*","","c","*","","","","","*","*","","","","","","","","","*"
