"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2012 - 2011 Statistical Significance","","c","*","*","","","","*","","","","*","","","*","","","","","","","*","*","*","*","*","*","*","","c","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","*","","c","","","","","","","","c","*","","","","","*","*","","","","","*","","","","*"
"    2010 Estimate","","1,830,429","49.5%","50.5%","7.2%","7.0%","6.9%","7.0%","7.2%","13.2%","12.2%","14.1%","6.3%","5.4%","6.7%","4.7%","2.2%","36.3","74.8%","70.4%","16.4%","13.5%","1,370,063","49.0%","51.0%","247,893","42.9%","57.1%","","1,830,429","97.8%","2.2%","97.8%","88.9%","4.4%","0.9%","0.0%","0.0%","0.0%","0.2%","1.6%","0.3%","0.3%","0.1%","0.1%","0.2%","0.4%","0.2%","0.1%","N","N","N","N","1.9%","2.2%","0.5%","0.5%","0.3%","0.2%","","1,830,429","90.7%","5.4%","1.9%","2.1%","0.2%","2.2%","","1,830,429","9.2%","7.1%","0.3%","0.1%","1.7%","90.8%","82.2%","4.3%","0.7%","1.6%","0.1%","0.1%","1.8%","0.1%","1.7%","797,677"
"    2012 - 2010 Statistical Significance","","c","*","*","","","","*","","","","*","*","*","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","","","*","","","*","","","","","","*","*","","","","","","*","","*","","","*","","c","*","","*","*","","","","c","*","*","","*","","*","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","2,758,931","50.4%","49.6%","6.6%","6.8%","6.7%","6.4%","6.8%","14.3%","13.8%","13.6%","6.4%","5.6%","8.0%","3.8%","1.2%","36.8","75.9%","72.2%","16.3%","13.0%","2,094,509","50.1%","49.9%","359,486","47.2%","52.8%","","2,758,931","95.9%","4.1%","95.9%","69.7%","8.3%","1.1%","0.0%","0.0%","0.1%","0.0%","7.5%","0.4%","1.2%","4.1%","0.3%","0.4%","0.4%","0.7%","0.7%","0.3%","0.2%","0.1%","0.1%","8.6%","4.1%","0.8%","0.5%","1.1%","0.1%","","2,758,931","73.0%","9.7%","2.0%","9.3%","1.2%","9.4%","","2,758,931","27.3%","20.7%","0.9%","0.9%","4.8%","72.7%","52.7%","7.9%","0.9%","7.4%","0.7%","0.1%","2.9%","0.1%","2.9%","1,182,842"
"    2011 Estimate","","2,723,322","50.4%","49.6%","6.8%","7.0%","6.4%","6.6%","6.7%","14.2%","14.0%","13.8%","6.1%","5.9%","7.6%","3.6%","1.3%","36.7","75.7%","71.9%","15.9%","12.5%","2,060,219","50.2%","49.8%","339,640","47.3%","52.7%","","2,723,322","96.1%","3.9%","96.1%","71.5%","8.2%","1.2%","0.0%","0.0%","0.1%","0.0%","7.1%","0.4%","1.1%","3.3%","0.5%","0.5%","0.6%","0.7%","0.6%","0.2%","0.1%","0.2%","0.1%","7.4%","3.9%","0.7%","0.5%","1.2%","0.1%","","2,723,322","74.6%","9.3%","2.0%","9.1%","1.3%","7.9%","","2,723,322","27.1%","21.4%","0.7%","0.7%","4.3%","72.9%","53.5%","7.8%","1.0%","7.1%","0.6%","0.1%","2.9%","0.0%","2.9%","1,183,917"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","*","","*","*","*","*","*","*","","","*","*","*","*","*","*","*","*","","","","c","","","","*","","","","","","","*","","","*","*","","","","","","","","","*","","","","","","","c","*","*","","*","","*","","c","c","*","","","","c","*","","","*","","","","*","","*"
"    2010 Estimate","","2,704,642","50.5%","49.5%","6.9%","6.8%","6.8%","6.8%","6.6%","14.3%","14.2%","13.8%","5.8%","5.9%","7.4%","3.6%","1.1%","36.3","75.4%","71.4%","15.6%","12.1%","2,039,869","50.3%","49.7%","327,133","47.3%","52.7%","","2,704,642","96.1%","3.9%","96.1%","72.9%","8.0%","1.0%","0.1%","0.0%","0.0%","0.0%","7.3%","0.3%","1.3%","3.6%","0.4%","0.5%","0.3%","0.8%","0.6%","0.2%","0.1%","0.1%","0.1%","6.3%","3.9%","0.7%","0.5%","0.9%","0.1%","","2,704,642","76.0%","9.2%","1.9%","9.0%","1.3%","7.1%","","2,704,642","26.6%","20.8%","0.9%","0.9%","4.1%","73.4%","54.0%","7.8%","0.9%","7.2%","0.6%","0.2%","2.8%","0.1%","2.7%","1,175,070"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","","","","*","","*","*","","*","","","","","*","","","","","","","","","","*","","","","*","","","c","*","*","","*","","*","","c","c","","","","*","c","*","","","","*","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","1,320,718","49.1%","50.9%","5.0%","5.6%","6.3%","7.1%","6.4%","11.2%","12.8%","16.6%","7.7%","6.6%","8.3%","4.5%","1.9%","41.9","79.2%","74.5%","18.5%","14.7%","1,045,696","48.7%","51.3%","194,097","44.7%","55.3%","","1,320,718","98.2%","1.8%","98.2%","94.0%","1.3%","0.2%","N","N","N","N","2.3%","0.6%","0.6%","0.1%","0.1%","0.2%","0.2%","0.5%","0.0%","N","N","N","N","0.4%","1.8%","0.4%","0.5%","0.4%","0.0%","","1,320,718","95.7%","1.9%","0.9%","2.8%","0.1%","0.7%","","1,320,718","3.0%","0.9%","0.9%","0.2%","1.1%","97.0%","91.8%","1.1%","0.2%","2.2%","0.0%","0.1%","1.5%","0.0%","1.5%","617,005"
"    2011 Estimate","","1,318,194","49.4%","50.6%","5.1%","5.9%","6.2%","6.9%","6.5%","11.1%","13.2%","16.9%","7.4%","6.7%","7.7%","4.4%","1.9%","41.5","78.8%","74.1%","18.1%","14.0%","1,038,525","48.9%","51.1%","184,590","44.6%","55.4%","","1,318,194","98.3%","1.7%","98.3%","94.1%","1.1%","0.2%","N","N","N","N","2.2%","0.6%","0.4%","0.2%","0.0%","0.2%","0.1%","0.6%","0.0%","N","N","N","N","0.7%","1.7%","0.4%","0.5%","0.6%","0.0%","","1,318,194","95.8%","1.5%","0.7%","2.9%","0.1%","0.8%","","1,318,194","2.9%","0.8%","0.8%","0.1%","1.1%","97.1%","92.0%","1.1%","0.1%","2.2%","0.0%","0.1%","1.6%","0.1%","1.5%","617,702"
"    2012 - 2011 Statistical Significance","","c","*","*","*","","","","","","*","*","","","*","","","*","*","*","*","*","*","","","*","","","","c","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","c","","*","*","","","","","c","*","","","","","*","*","","","","","","","","","*"
"    2010 Estimate","","1,316,759","49.2%","50.8%","5.2%","6.0%","6.4%","7.1%","6.4%","10.9%","13.6%","17.1%","7.4%","6.3%","7.5%","4.4%","1.8%","41.3","78.3%","73.7%","17.3%","13.6%","1,030,995","48.7%","51.3%","179,649","44.3%","55.7%","","1,316,759","98.4%","1.6%","98.4%","94.1%","1.2%","0.2%","N","N","N","N","2.1%","0.5%","0.5%","0.2%","0.1%","0.2%","0.3%","0.5%","0.0%","N","N","N","N","0.8%","1.6%","0.4%","0.5%","0.4%","0.0%","","1,316,759","95.5%","1.7%","0.8%","2.6%","0.1%","1.0%","","1,316,759","2.8%","0.7%","0.8%","0.2%","1.1%","97.2%","92.2%","1.1%","0.2%","2.1%","0.0%","0.2%","1.4%","0.1%","1.3%","614,996"
"    2012 - 2010 Statistical Significance","","c","","","*","*","","","","*","*","*","","","*","","","*","*","*","*","*","*","","","*","","","","c","","","","","","","","","","","","","","","","","*","","","","","","","*","","","","","","","c","","*","","*","","*","","c","*","","","","","*","*","","","","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","8,864,590","48.7%","51.3%","5.9%","6.3%","6.6%","6.6%","6.3%","12.7%","13.5%","15.4%","6.7%","5.8%","7.6%","4.4%","2.1%","39.4","77.1%","73.2%","17.4%","14.1%","6,837,852","48.1%","51.9%","1,250,314","42.1%","57.9%","","8,864,590","97.5%","2.5%","97.5%","68.9%","13.6%","0.2%","N","N","N","N","8.7%","3.5%","1.5%","1.3%","0.2%","1.1%","0.3%","0.8%","0.0%","0.0%","0.0%","0.0%","0.0%","5.9%","2.5%","0.7%","0.2%","0.5%","0.1%","","8,864,590","70.9%","14.9%","0.7%","9.5%","0.1%","6.6%","","8,864,590","18.5%","2.5%","5.1%","1.0%","9.9%","81.5%","57.9%","12.7%","0.1%","8.7%","0.0%","0.5%","1.5%","0.1%","1.4%","3,574,763"
"    2011 Estimate","","8,821,155","48.7%","51.3%","6.1%","6.3%","6.6%","6.7%","6.2%","12.7%","13.8%","15.6%","6.6%","5.7%","7.1%","4.4%","2.1%","39.2","76.8%","72.8%","17.0%","13.7%","6,778,730","48.0%","52.0%","1,206,778","41.9%","58.1%","","8,821,155","97.5%","2.5%","97.5%","69.2%","13.4%","0.2%","N","N","N","N","8.5%","3.4%","1.6%","1.3%","0.1%","1.1%","0.3%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.2%","2.5%","0.7%","0.2%","0.4%","0.1%","","8,821,155","71.1%","14.6%","0.7%","9.2%","0.1%","6.9%","","8,821,155","18.1%","2.5%","5.2%","0.9%","9.5%","81.9%","58.6%","12.7%","0.1%","8.4%","0.0%","0.5%","1.5%","0.2%","1.3%","3,562,720"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","*","","*","*","","","*","","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","","*","","","","","","*","","","","","","","*","","","","","","","","","","","","","c","","*","","*","","","","c","c","","","*","*","c","*","","","*","","","","","","*"
"    2010 Estimate","","8,801,624","48.7%","51.3%","6.1%","6.4%","6.7%","6.8%","6.2%","12.6%","14.1%","15.7%","6.5%","5.4%","7.0%","4.5%","2.0%","39.0","76.6%","72.8%","16.7%","13.5%","6,738,812","47.9%","52.1%","1,191,030","41.6%","58.4%","","8,801,624","97.4%","2.6%","97.4%","69.3%","13.5%","0.2%","0.0%","0.0%","0.0%","0.0%","8.2%","3.4%","1.5%","1.1%","0.1%","1.1%","0.2%","0.7%","0.0%","N","N","N","N","6.1%","2.6%","0.8%","0.3%","0.5%","0.1%","","8,801,624","71.3%","14.7%","0.7%","9.0%","0.1%","6.9%","","8,801,624","17.8%","2.5%","4.9%","1.1%","9.3%","82.2%","59.2%","12.9%","0.1%","8.2%","0.0%","0.3%","1.5%","0.2%","1.3%","3,554,909"
"    2012 - 2010 Statistical Significance","","c","*","*","*","","","*","*","*","*","*","","*","*","","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","","","","","","*","","","*","","","","*","","","","","","","","","*","","","","c","*","*","","*","","","","c","c","","","","*","c","*","*","","*","","*","","*","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","2,085,538","49.6%","50.4%","6.9%","7.2%","6.7%","7.2%","6.9%","13.2%","11.9%","13.3%","6.6%","6.2%","8.1%","4.3%","1.7%","36.8","75.3%","70.7%","17.7%","14.1%","1,569,690","49.1%","50.9%","294,258","45.4%","54.6%","","2,085,538","96.8%","3.2%","96.8%","71.9%","2.1%","9.2%","0.1%","0.0%","5.5%","0.0%","1.3%","0.2%","0.4%","0.3%","0.1%","0.1%","0.2%","0.1%","0.1%","N","N","N","N","12.2%","3.2%","0.5%","0.8%","0.4%","0.1%","","2,085,538","74.5%","2.8%","10.4%","1.9%","0.2%","13.5%","","2,085,538","47.0%","29.5%","0.3%","0.2%","17.0%","53.0%","39.7%","1.8%","8.7%","1.3%","0.0%","0.2%","1.4%","0.1%","1.3%","906,838"
"    2011 Estimate","","2,082,224","49.8%","50.2%","6.9%","6.7%","7.2%","7.0%","7.1%","13.2%","11.8%","13.7%","6.8%","6.0%","7.8%","4.2%","1.6%","36.6","75.1%","70.6%","17.1%","13.6%","1,564,471","49.1%","50.9%","283,057","45.1%","54.9%","","2,082,224","96.9%","3.1%","96.9%","71.7%","2.1%","9.2%","0.0%","0.0%","5.4%","0.1%","1.2%","0.2%","0.3%","0.2%","0.1%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","12.6%","3.1%","0.5%","0.8%","0.4%","0.1%","","2,082,224","74.3%","2.9%","10.4%","1.8%","0.2%","13.8%","","2,082,224","46.7%","29.1%","0.4%","0.3%","17.0%","53.3%","40.1%","1.7%","8.5%","1.2%","0.0%","0.1%","1.6%","0.1%","1.5%","908,168"
"    2012 - 2011 Statistical Significance","","c","","","","*","*","*","*","","","*","","","*","","","","*","","*","*","*","","","*","","","","c","","","","","","","","","","","","","","","","*","*","","","","","","","","","","","","","","c","","","","","","","","c","c","","","","","c","*","","","","","","","","","*"
"    2010 Estimate","","2,065,932","49.4%","50.6%","7.0%","6.9%","7.0%","7.3%","6.9%","12.8%","12.2%","14.1%","6.4%","6.1%","7.6%","4.2%","1.5%","36.7","74.9%","70.3%","16.8%","13.3%","1,547,286","48.9%","51.1%","275,387","45.2%","54.8%","","2,065,932","97.1%","2.9%","97.1%","73.4%","2.0%","9.4%","0.1%","0.0%","5.5%","0.0%","1.2%","0.2%","0.2%","0.2%","0.1%","0.1%","0.2%","0.2%","0.1%","N","N","N","N","11.1%","2.9%","0.4%","0.6%","0.4%","0.1%","","2,065,932","75.9%","2.6%","10.4%","1.8%","0.1%","12.2%","","2,065,932","46.4%","28.2%","0.3%","0.2%","17.7%","53.6%","40.4%","1.8%","8.7%","1.1%","0.0%","0.1%","1.3%","0.1%","1.3%","902,242"
"    2012 - 2010 Statistical Significance","","c","*","*","*","","*","","","*","*","*","","","*","","*","","*","*","*","*","*","*","*","*","","","","c","","","","*","","","","","","","","","*","","","","","*","","","","","","*","","","","","","","c","*","","","*","","*","","c","c","*","","","","c","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","19,570,261","48.5%","51.5%","5.9%","5.8%","6.1%","6.7%","7.4%","14.1%","13.0%","14.5%","6.6%","5.8%","7.6%","4.4%","2.1%","38.1","78.2%","73.8%","17.5%","14.1%","15,309,251","47.7%","52.3%","2,759,461","41.9%","58.1%","","19,570,261","97.3%","2.7%","97.3%","65.2%","15.6%","0.4%","0.0%","0.0%","0.0%","0.0%","7.7%","1.7%","3.2%","0.5%","0.2%","0.7%","0.1%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","8.4%","2.7%","0.7%","0.3%","0.5%","0.1%","","19,570,261","67.3%","16.9%","1.0%","8.5%","0.1%","9.3%","","19,570,261","18.2%","2.4%","5.6%","0.4%","9.8%","81.8%","57.4%","14.4%","0.2%","7.6%","0.0%","0.5%","1.7%","0.2%","1.5%","8,123,585"
