"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","5,996,231","48.9%","51.1%","6.5%","6.4%","6.6%","7.0%","7.0%","12.9%","12.5%","14.9%","6.5%","5.6%","7.5%","4.5%","2.0%","(X)","76.4%","71.8%","17.4%","14.1%","4,578,660","48.2%","51.8%","842,885","43.0%","57.0%","","5,996,231","97.8%","2.2%","97.8%","83.1%","11.7%","0.4%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.2%","0.0%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","2.2%","0.6%","0.8%","0.4%","0.1%","","5,996,231","85.1%","12.6%","1.3%","2.0%","0.1%","1.1%","","5,996,231","3.6%","2.6%","0.2%","0.1%","0.7%","96.4%","81.0%","11.6%","0.3%","1.5%","0.1%","0.1%","1.9%","0.0%","1.8%","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","990,898","499,235","491,663","61,872","57,955","63,126","69,524","65,469","121,182","113,805","149,298","76,969","64,204","81,124","46,455","19,915","40.1","768,298","723,675","184,907","147,494","768,298","383,223","385,075","147,494","68,130","79,364","","990,898","967,015","23,883","967,015","890,335","4,835","61,645","1,194","3,361","851","4,657","5,494","571","1,398","1,320","710","717","77","701","592","N","N","N","N","4,114","23,883","2,249","14,955","2,624","100","","990,898","913,685","7,875","78,095","9,940","2,096","5,290","","990,898","28,176","18,823","960","1,345","7,048","962,722","870,158","4,783","60,096","5,494","572","320","21,299","110","21,189","483,006"
"    Percent","","990,898","50.4%","49.6%","6.2%","5.8%","6.4%","7.0%","6.6%","12.2%","11.5%","15.1%","7.8%","6.5%","8.2%","4.7%","2.0%","(X)","77.5%","73.0%","18.7%","14.9%","768,298","49.9%","50.1%","147,494","46.2%","53.8%","","990,898","97.6%","2.4%","97.6%","89.9%","0.5%","6.2%","0.1%","0.3%","0.1%","0.5%","0.6%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","0.4%","2.4%","0.2%","1.5%","0.3%","0.0%","","990,898","92.2%","0.8%","7.9%","1.0%","0.2%","0.5%","","990,898","2.8%","1.9%","0.1%","0.1%","0.7%","97.2%","87.8%","0.5%","6.1%","0.6%","0.1%","0.0%","2.1%","0.0%","2.1%","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,830,429","906,540","923,889","131,637","127,397","126,868","128,961","131,187","241,827","222,830","259,002","114,789","98,038","122,195","85,476","40,222","36.3","1,370,063","1,289,244","300,677","247,893","1,370,063","671,548","698,515","247,893","106,361","141,532","","1,830,429","1,790,320","40,109","1,790,320","1,627,046","80,630","17,005","585","515","162","4,014","29,248","6,093","5,045","2,391","1,533","3,579","6,976","3,631","2,257","N","N","N","N","34,134","40,109","9,209","9,009","5,671","4,292","","1,830,429","1,659,972","99,261","34,946","38,015","3,516","40,129","","1,830,429","168,298","130,121","4,991","1,282","31,904","1,662,131","1,504,726","78,652","13,266","28,828","2,057","1,459","33,143","1,761","31,382","797,677"
"    Percent","","1,830,429","49.5%","50.5%","7.2%","7.0%","6.9%","7.0%","7.2%","13.2%","12.2%","14.1%","6.3%","5.4%","6.7%","4.7%","2.2%","(X)","74.8%","70.4%","16.4%","13.5%","1,370,063","49.0%","51.0%","247,893","42.9%","57.1%","","1,830,429","97.8%","2.2%","97.8%","88.9%","4.4%","0.9%","0.0%","0.0%","0.0%","0.2%","1.6%","0.3%","0.3%","0.1%","0.1%","0.2%","0.4%","0.2%","0.1%","N","N","N","N","1.9%","2.2%","0.5%","0.5%","0.3%","0.2%","","1,830,429","90.7%","5.4%","1.9%","2.1%","0.2%","2.2%","","1,830,429","9.2%","7.1%","0.3%","0.1%","1.7%","90.8%","82.2%","4.3%","0.7%","1.6%","0.1%","0.1%","1.8%","0.1%","1.7%","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,704,642","1,365,498","1,339,144","186,705","183,486","183,814","183,746","177,361","386,326","384,597","374,073","156,804","160,597","199,995","97,606","29,532","36.3","2,039,869","1,930,484","420,985","327,133","2,039,869","1,025,037","1,014,832","327,133","154,630","172,503","","2,704,642","2,599,524","105,118","2,599,524","1,970,730","216,792","26,812","2,281","339","892","400","197,350","9,256","36,372","97,200","10,382","14,548","8,982","20,610","16,279","6,372","3,899","3,620","2,388","171,561","105,118","19,536","14,655","23,369","2,067","","2,704,642","2,055,140","247,972","50,383","243,233","35,600","191,426","","2,704,642","720,068","561,298","23,876","25,209","109,685","1,984,574","1,461,491","210,656","23,628","194,100","15,011","4,985","74,703","1,873","72,830","1,175,070"
"    Percent","","2,704,642","50.5%","49.5%","6.9%","6.8%","6.8%","6.8%","6.6%","14.3%","14.2%","13.8%","5.8%","5.9%","7.4%","3.6%","1.1%","(X)","75.4%","71.4%","15.6%","12.1%","2,039,869","50.3%","49.7%","327,133","47.3%","52.7%","","2,704,642","96.1%","3.9%","96.1%","72.9%","8.0%","1.0%","0.1%","0.0%","0.0%","0.0%","7.3%","0.3%","1.3%","3.6%","0.4%","0.5%","0.3%","0.8%","0.6%","0.2%","0.1%","0.1%","0.1%","6.3%","3.9%","0.7%","0.5%","0.9%","0.1%","","2,704,642","76.0%","9.2%","1.9%","9.0%","1.3%","7.1%","","2,704,642","26.6%","20.8%","0.9%","0.9%","4.1%","73.4%","54.0%","7.8%","0.9%","7.2%","0.6%","0.2%","2.8%","0.1%","2.7%","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,316,759","647,349","669,410","68,873","79,105","83,644","92,952","84,430","143,669","179,134","225,342","97,330","82,631","98,151","57,865","23,633","41.3","1,030,995","970,429","227,647","179,649","1,030,995","501,879","529,116","179,649","79,616","100,033","","1,316,759","1,295,612","21,147","1,295,612","1,238,424","15,448","2,888","N","N","N","N","28,125","5,967","6,158","2,025","743","2,518","4,174","6,540","297","N","N","N","N","10,430","21,147","5,234","7,096","4,808","287","","1,316,759","1,257,465","21,817","11,099","34,435","1,209","12,755","","1,316,759","36,941","8,564","10,769","2,493","15,115","1,279,818","1,213,600","14,248","2,417","28,057","297","2,962","18,237","1,043","17,194","614,996"
"    Percent","","1,316,759","49.2%","50.8%","5.2%","6.0%","6.4%","7.1%","6.4%","10.9%","13.6%","17.1%","7.4%","6.3%","7.5%","4.4%","1.8%","(X)","78.3%","73.7%","17.3%","13.6%","1,030,995","48.7%","51.3%","179,649","44.3%","55.7%","","1,316,759","98.4%","1.6%","98.4%","94.1%","1.2%","0.2%","N","N","N","N","2.1%","0.5%","0.5%","0.2%","0.1%","0.2%","0.3%","0.5%","0.0%","N","N","N","N","0.8%","1.6%","0.4%","0.5%","0.4%","0.0%","","1,316,759","95.5%","1.7%","0.8%","2.6%","0.1%","1.0%","","1,316,759","2.8%","0.7%","0.8%","0.2%","1.1%","97.2%","92.2%","1.1%","0.2%","2.1%","0.0%","0.2%","1.4%","0.1%","1.3%","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,801,624","4,284,049","4,517,575","538,571","561,705","591,625","597,009","541,810","1,109,449","1,236,842","1,379,799","575,846","477,938","617,461","394,159","179,410","39.0","6,738,812","6,404,107","1,466,961","1,191,030","6,738,812","3,229,289","3,509,523","1,191,030","495,412","695,618","","8,801,624","8,572,312","229,312","8,572,312","6,103,285","1,186,144","18,956","2,110","150","221","297","725,077","299,397","133,669","98,274","12,466","100,125","21,436","59,710","2,500","N","N","N","N","536,350","229,312","66,702","24,264","41,185","6,914","","8,801,624","6,278,395","1,293,921","64,395","794,442","11,292","602,956","","8,801,624","1,564,037","223,062","430,863","92,780","817,332","7,237,587","5,210,611","1,132,573","12,213","721,760","1,988","28,705","129,737","18,525","111,212","3,554,909"
"    Percent","","8,801,624","48.7%","51.3%","6.1%","6.4%","6.7%","6.8%","6.2%","12.6%","14.1%","15.7%","6.5%","5.4%","7.0%","4.5%","2.0%","(X)","76.6%","72.8%","16.7%","13.5%","6,738,812","47.9%","52.1%","1,191,030","41.6%","58.4%","","8,801,624","97.4%","2.6%","97.4%","69.3%","13.5%","0.2%","0.0%","0.0%","0.0%","0.0%","8.2%","3.4%","1.5%","1.1%","0.1%","1.1%","0.2%","0.7%","0.0%","N","N","N","N","6.1%","2.6%","0.8%","0.3%","0.5%","0.1%","","8,801,624","71.3%","14.7%","0.7%","9.0%","0.1%","6.9%","","8,801,624","17.8%","2.5%","4.9%","1.1%","9.3%","82.2%","59.2%","12.9%","0.1%","8.2%","0.0%","0.3%","1.5%","0.2%","1.3%","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,065,932","1,020,996","1,044,936","144,016","142,818","143,840","150,681","143,248","263,857","252,488","291,053","132,249","126,295","156,547","86,974","31,866","36.7","1,547,286","1,451,693","347,732","275,387","1,547,286","757,021","790,265","275,387","124,367","151,020","","2,065,932","2,006,710","59,222","2,006,710","1,515,500","40,588","195,112","2,211","395","113,122","523","25,323","3,533","4,508","3,822","2,550","2,016","5,002","3,892","1,195","N","N","N","N","228,992","59,222","7,984","12,792","8,720","2,250","","2,065,932","1,567,232","54,593","215,349","36,328","2,855","252,410","","2,065,932","959,411","583,132","6,776","3,507","365,996","1,106,521","835,467","36,409","180,318","23,392","910","2,831","27,194","1,242","25,952","902,242"
"    Percent","","2,065,932","49.4%","50.6%","7.0%","6.9%","7.0%","7.3%","6.9%","12.8%","12.2%","14.1%","6.4%","6.1%","7.6%","4.2%","1.5%","(X)","74.9%","70.3%","16.8%","13.3%","1,547,286","48.9%","51.1%","275,387","45.2%","54.8%","","2,065,932","97.1%","2.9%","97.1%","73.4%","2.0%","9.4%","0.1%","0.0%","5.5%","0.0%","1.2%","0.2%","0.2%","0.2%","0.1%","0.1%","0.2%","0.2%","0.1%","N","N","N","N","11.1%","2.9%","0.4%","0.6%","0.4%","0.1%","","2,065,932","75.9%","2.6%","10.4%","1.8%","0.1%","12.2%","","2,065,932","46.4%","28.2%","0.3%","0.2%","17.7%","53.6%","40.4%","1.8%","8.7%","1.1%","0.0%","0.1%","1.3%","0.1%","1.3%","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,392,283","9,387,534","10,004,749","1,150,819","1,158,483","1,212,706","1,366,191","1,414,236","2,659,287","2,608,602","2,875,613","1,246,434","1,075,864","1,365,544","867,857","390,647","38.0","15,079,820","14,194,664","3,248,722","2,624,048","15,079,820","7,180,714","7,899,106","2,624,048","1,088,880","1,535,168","","19,392,283","18,878,895","513,388","18,878,895","12,775,673","3,015,272","71,792","3,627","646","470","942","1,433,875","321,513","597,754","110,000","38,643","139,357","27,830","198,778","6,597","3,220","901","836","1,640","1,575,686","513,388","139,687","54,297","86,994","19,204","","19,392,283","13,159,790","3,272,124","178,497","1,579,797","23,391","1,734,163","","19,392,283","3,434,888","475,987","1,085,307","69,134","1,804,460","15,957,395","11,289,178","2,792,447","46,638","1,422,475","5,660","85,660","315,337","34,231","281,106","8,108,211"
"    Percent","","19,392,283","48.4%","51.6%","5.9%","6.0%","6.3%","7.0%","7.3%","13.7%","13.5%","14.8%","6.4%","5.5%","7.0%","4.5%","2.0%","(X)","77.8%","73.2%","16.8%","13.5%","15,079,820","47.6%","52.4%","2,624,048","41.5%","58.5%","","19,392,283","97.4%","2.6%","97.4%","65.9%","15.5%","0.4%","0.0%","0.0%","0.0%","0.0%","7.4%","1.7%","3.1%","0.6%","0.2%","0.7%","0.1%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","8.1%","2.6%","0.7%","0.3%","0.4%","0.1%","","19,392,283","67.9%","16.9%","0.9%","8.1%","0.1%","8.9%","","19,392,283","17.7%","2.5%","5.6%","0.4%","9.3%","82.3%","58.2%","14.4%","0.2%","7.3%","0.0%","0.4%","1.6%","0.2%","1.4%","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,561,558","4,657,156","4,904,402","632,020","631,596","643,244","667,184","661,893","1,243,403","1,339,385","1,359,684","600,702","542,728","704,289","386,821","148,609","37.3","7,277,315","6,839,181","1,560,321","1,239,719","7,277,315","3,484,463","3,792,852","1,239,719","525,146","714,573","","9,561,558","9,342,801","218,757","9,342,801","6,666,233","2,050,395","111,756","18,741","145","506","428","211,705","53,088","32,787","19,264","6,652","23,195","27,162","49,557","4,404","1,440","1,772","397","795","298,308","218,757","63,202","44,707","27,823","20,999","","9,561,558","6,844,118","2,163,190","196,819","252,755","10,942","334,771","","9,561,558","804,826","498,519","74,702","20,151","211,454","8,756,732","6,229,927","2,023,810","102,730","208,695","4,117","14,354","173,099","6,431","166,668","4,333,479"
"    Percent","","9,561,558","48.7%","51.3%","6.6%","6.6%","6.7%","7.0%","6.9%","13.0%","14.0%","14.2%","6.3%","5.7%","7.4%","4.0%","1.6%","(X)","76.1%","71.5%","16.3%","13.0%","7,277,315","47.9%","52.1%","1,239,719","42.4%","57.6%","","9,561,558","97.7%","2.3%","97.7%","69.7%","21.4%","1.2%","0.2%","0.0%","0.0%","0.0%","2.2%","0.6%","0.3%","0.2%","0.1%","0.2%","0.3%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.1%","2.3%","0.7%","0.5%","0.3%","0.2%","","9,561,558","71.6%","22.6%","2.1%","2.6%","0.1%","3.5%","","9,561,558","8.4%","5.2%","0.8%","0.2%","2.2%","91.6%","65.2%","21.2%","1.1%","2.2%","0.0%","0.2%","1.8%","0.1%","1.7%","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","674,499","343,445","331,054","44,441","42,247","38,073","47,276","59,516","88,894","76,567","96,759","46,324","36,327","46,887","34,400","16,788","37.4","524,042","490,207","119,234","98,075","524,042","264,209","259,833","98,075","42,757","55,318","","674,499","660,724","13,775","660,724","607,058","8,601","33,384","88","11,849","446","11,823","7,679","1,187","1,788","635","928","857","1,389","895","424","N","N","N","N","3,578","13,775","1,111","6,987","1,935","501","","674,499","619,740","10,639","42,100","10,260","1,544","4,987","","674,499","13,919","10,287","1,017","107","2,508","660,580","599,899","7,852","32,418","7,634","424","330","12,023","79","11,944","318,099"
"    Percent","","674,499","50.9%","49.1%","6.6%","6.3%","5.6%","7.0%","8.8%","13.2%","11.4%","14.3%","6.9%","5.4%","7.0%","5.1%","2.5%","(X)","77.7%","72.7%","17.7%","14.5%","524,042","50.4%","49.6%","98,075","43.6%","56.4%","","674,499","98.0%","2.0%","98.0%","90.0%","1.3%","4.9%","0.0%","1.8%","0.1%","1.8%","1.1%","0.2%","0.3%","0.1%","0.1%","0.1%","0.2%","0.1%","0.1%","N","N","N","N","0.5%","2.0%","0.2%","1.0%","0.3%","0.1%","","674,499","91.9%","1.6%","6.2%","1.5%","0.2%","0.7%","","674,499","2.1%","1.5%","0.2%","0.0%","0.4%","97.9%","88.9%","1.2%","4.8%","1.1%","0.1%","0.0%","1.8%","0.0%","1.8%","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,536,182","5,630,118","5,906,064","716,052","748,547","774,070","815,714","760,950","1,419,211","1,472,448","1,741,911","788,621","672,880","853,936","541,888","229,954","38.9","8,815,336","8,316,606","2,007,649","1,625,778","8,815,336","4,241,381","4,573,955","1,625,778","686,924","938,854","","11,536,182","11,295,613","240,569","11,295,613","9,569,990","1,412,002","21,331","4,951","1,133","216","305","197,489","67,548","46,904","18,269","10,319","16,269","12,632","25,548","1,492","N","N","N","N","93,309","240,569","110,716","42,581","29,225","8,040","","11,536,182","9,788,114","1,555,034","86,303","239,994","8,717","120,251","","11,536,182","355,016","183,782","88,725","7,311","75,198","11,181,166","9,349,702","1,394,897","17,514","196,484","1,433","14,496","206,640","6,031","200,609","5,128,113"
"    Percent","","11,536,182","48.8%","51.2%","6.2%","6.5%","6.7%","7.1%","6.6%","12.3%","12.8%","15.1%","6.8%","5.8%","7.4%","4.7%","2.0%","(X)","76.4%","72.1%","17.4%","14.1%","8,815,336","48.1%","51.9%","1,625,778","42.3%","57.7%","","11,536,182","97.9%","2.1%","97.9%","83.0%","12.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.7%","0.6%","0.4%","0.2%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.8%","2.1%","1.0%","0.4%","0.3%","0.1%","","11,536,182","84.8%","13.5%","0.7%","2.1%","0.1%","1.0%","","11,536,182","3.1%","1.6%","0.8%","0.1%","0.7%","96.9%","81.0%","12.1%","0.2%","1.7%","0.0%","0.1%","1.8%","0.1%","1.7%","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,761,702","1,856,245","1,905,457","263,904","259,146","259,246","262,735","267,458","506,655","465,265","525,975","236,086","205,443","282,174","165,705","61,910","36.3","2,830,778","2,660,504","626,683","509,789","2,830,778","1,382,995","1,447,783","509,789","222,231","287,558","","3,761,702","3,463,920","297,782","3,463,920","2,764,307","270,132","261,746","98,735","330","1,221","1,343","65,232","12,027","8,928","6,109","1,762","5,361","15,893","15,152","4,234","976","1,159","281","1,818","98,269","297,782","30,755","211,136","10,947","14,026","","3,761,702","3,037,556","325,386","500,686","81,999","9,384","115,051","","3,761,702","332,611","279,839","9,049","1,828","41,895","3,429,091","2,580,398","265,399","252,249","64,569","4,197","1,943","260,336","965","259,371","1,666,205"
"    Percent","","3,761,702","49.3%","50.7%","7.0%","6.9%","6.9%","7.0%","7.1%","13.5%","12.4%","14.0%","6.3%","5.5%","7.5%","4.4%","1.6%","(X)","75.3%","70.7%","16.7%","13.6%","2,830,778","48.9%","51.1%","509,789","43.6%","56.4%","","3,761,702","92.1%","7.9%","92.1%","73.5%","7.2%","7.0%","2.6%","0.0%","0.0%","0.0%","1.7%","0.3%","0.2%","0.2%","0.0%","0.1%","0.4%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","7.9%","0.8%","5.6%","0.3%","0.4%","","3,761,702","80.7%","8.6%","13.3%","2.2%","0.2%","3.1%","","3,761,702","8.8%","7.4%","0.2%","0.0%","1.1%","91.2%","68.6%","7.1%","6.7%","1.7%","0.1%","0.1%","6.9%","0.0%","6.9%","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,838,957","1,902,185","1,936,772","236,032","236,299","245,021","251,362","255,357","524,977","497,859","541,112","272,266","243,779","291,316","165,341","78,236","38.5","2,972,446","2,816,490","674,145","534,893","2,972,446","1,455,217","1,517,229","534,893","237,365","297,528","","3,838,957","3,700,993","137,964","3,700,993","3,262,714","70,368","49,975","5,440","2,156","263","1,905","141,586","13,378","33,864","18,405","12,049","13,358","29,552","20,980","12,769","3,959","1,257","373","7,180","163,581","137,964","18,638","48,301","31,275","1,465","","3,838,957","3,387,267","97,227","108,995","186,304","25,816","183,046","","3,838,957","451,940","384,133","10,500","5,528","51,779","3,387,017","3,006,730","66,777","42,615","139,199","12,532","7,120","112,044","4,610","107,434","1,676,476"
"    Percent","","3,838,957","49.5%","50.5%","6.1%","6.2%","6.4%","6.5%","6.7%","13.7%","13.0%","14.1%","7.1%","6.4%","7.6%","4.3%","2.0%","(X)","77.4%","73.4%","17.6%","13.9%","2,972,446","49.0%","51.0%","534,893","44.4%","55.6%","","3,838,957","96.4%","3.6%","96.4%","85.0%","1.8%","1.3%","0.1%","0.1%","0.0%","0.0%","3.7%","0.3%","0.9%","0.5%","0.3%","0.3%","0.8%","0.5%","0.3%","0.1%","0.0%","0.0%","0.2%","4.3%","3.6%","0.5%","1.3%","0.8%","0.0%","","3,838,957","88.2%","2.5%","2.8%","4.9%","0.7%","4.8%","","3,838,957","11.8%","10.0%","0.3%","0.1%","1.3%","88.2%","78.3%","1.7%","1.1%","3.6%","0.3%","0.2%","2.9%","0.1%","2.8%","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,709,630","6,192,105","6,517,525","726,391","760,840","784,144","907,135","876,291","1,511,925","1,613,956","1,927,885","879,238","756,320","985,149","666,838","313,518","40.2","9,924,456","9,328,892","2,402,619","1,965,505","9,924,456","4,766,161","5,158,295","1,965,505","824,507","1,140,998","","12,709,630","12,470,565","239,065","12,470,565","10,492,442","1,376,234","20,429","2,556","237","850","1,389","350,234","102,096","83,228","18,554","5,708","39,755","45,358","55,535","2,758","509","518","523","1,208","228,468","239,065","100,088","31,619","31,433","11,086","","12,709,630","10,692,745","1,514,969","76,809","399,176","12,085","269,952","","12,709,630","722,111","126,192","378,312","18,289","199,318","11,987,519","10,090,201","1,323,261","14,561","347,910","2,445","19,041","190,100","9,319","180,781","5,568,820"
"    Percent","","12,709,630","48.7%","51.3%","5.7%","6.0%","6.2%","7.1%","6.9%","11.9%","12.7%","15.2%","6.9%","6.0%","7.8%","5.2%","2.5%","(X)","78.1%","73.4%","18.9%","15.5%","9,924,456","48.0%","52.0%","1,965,505","41.9%","58.1%","","12,709,630","98.1%","1.9%","98.1%","82.6%","10.8%","0.2%","0.0%","0.0%","0.0%","0.0%","2.8%","0.8%","0.7%","0.1%","0.0%","0.3%","0.4%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.8%","1.9%","0.8%","0.2%","0.2%","0.1%","","12,709,630","84.1%","11.9%","0.6%","3.1%","0.1%","2.1%","","12,709,630","5.7%","1.0%","3.0%","0.1%","1.6%","94.3%","79.4%","10.4%","0.1%","2.7%","0.0%","0.1%","1.5%","0.1%","1.4%","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,052,886","508,198","544,688","57,112","61,295","63,426","79,707","81,367","126,617","138,010","161,363","72,108","59,698","74,851","51,370","25,962","39.6","828,863","770,574","184,502","152,183","828,863","393,233","435,630","152,183","62,652","89,531","","1,052,886","1,023,958","28,928","1,023,958","857,493","62,822","3,176","N","N","N","N","30,939","3,713","7,759","2,469","227","2,715","1,040","13,016","1,104","N","N","N","N","68,424","28,928","7,594","4,542","4,241","2,109","","1,052,886","879,768","77,420","12,724","36,668","2,073","76,048","","1,052,886","131,383","10,733","32,429","1,867","86,354","921,503","803,871","54,909","2,098","30,729","697","6,677","22,522","3,970","18,552","463,416"
