"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","9,922,576","49.2%","50.8%","5.8%","6.0%","6.4%","6.8%","7.2%","12.3%","11.8%","13.9%","7.4%","6.6%","9.2%","4.6%","2.1%","(X)","77.7%","73.5%","19.6%","15.8%","7,714,752","48.6%","51.4%","1,570,641","44.3%","55.7%","","9,922,576","97.3%","2.7%","97.3%","78.6%","13.9%","0.5%","0.0%","0.2%","0.0%","0.0%","3.0%","1.0%","0.6%","0.2%","0.1%","0.3%","0.2%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.2%","2.7%","1.0%","0.6%","0.4%","0.1%","","9,922,576","81.1%","15.3%","1.5%","3.5%","0.1%","1.5%","","9,922,576","4.9%","3.5%","0.5%","0.1%","0.7%","95.1%","75.4%","13.7%","0.5%","2.9%","0.0%","0.2%","2.3%","0.1%","2.3%","(X)","","7,436,478","48.5%","51.5%"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,489,594","2,730,030","2,759,564","350,927","356,553","361,354","356,969","362,856","745,711","675,937","744,590","390,211","339,528","451,628","238,759","114,571","37.9","4,206,696","3,992,272","1,002,394","804,958","4,206,696","2,071,636","2,135,060","804,958","361,152","443,806","","5,489,594","5,333,856","155,738","5,333,856","4,614,799","320,267","55,212","892","34,581","184","5,206","258,839","45,033","32,657","9,743","4,429","16,496","30,429","120,052","1,570","229","222","173","946","83,169","155,738","49,143","37,428","35,039","3,606","","5,489,594","4,755,804","385,570","106,485","306,221","8,141","96,084","","5,489,594","282,040","188,734","14,479","4,334","74,493","5,207,554","4,441,640","313,157","50,234","257,059","1,520","6,325","137,619","2,764","134,855","2,397,081","","4,007,159","1,968,704","2,038,455"
"    Percent","","5,489,594","49.7%","50.3%","6.4%","6.5%","6.6%","6.5%","6.6%","13.6%","12.3%","13.6%","7.1%","6.2%","8.2%","4.3%","2.1%","(X)","76.6%","72.7%","18.3%","14.7%","4,206,696","49.2%","50.8%","804,958","44.9%","55.1%","","5,489,594","97.2%","2.8%","97.2%","84.1%","5.8%","1.0%","0.0%","0.6%","0.0%","0.1%","4.7%","0.8%","0.6%","0.2%","0.1%","0.3%","0.6%","2.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.5%","2.8%","0.9%","0.7%","0.6%","0.1%","","5,489,594","86.6%","7.0%","1.9%","5.6%","0.1%","1.8%","","5,489,594","5.1%","3.4%","0.3%","0.1%","1.4%","94.9%","80.9%","5.7%","0.9%","4.7%","0.0%","0.1%","2.5%","0.1%","2.5%","(X)","","4,007,159","49.1%","50.9%"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,992,333","1,448,495","1,543,838","188,849","214,272","201,065","221,454","214,356","373,921","385,487","375,597","202,233","174,138","262,037","131,106","47,818","37.0","2,264,326","2,122,535","540,998","440,961","2,264,326","1,079,190","1,185,136","440,961","189,986","250,975","","2,992,333","2,956,473","35,860","2,956,473","1,758,586","1,128,475","11,723","N","N","N","N","30,540","7,691","5,334","3,676","736","1,837","7,831","3,435","834","N","N","N","N","26,315","35,860","16,161","5,644","3,246","1,693","","2,992,333","1,789,250","1,150,730","21,587","36,422","3,131","30,624","","2,992,333","85,758","52,486","10,089","853","22,330","2,906,575","1,705,044","1,126,326","11,359","30,540","737","1,686","30,883","993","29,890","1,300,932","","2,220,616","1,054,485","1,166,131"
"    Percent","","2,992,333","48.4%","51.6%","6.3%","7.2%","6.7%","7.4%","7.2%","12.5%","12.9%","12.6%","6.8%","5.8%","8.8%","4.4%","1.6%","(X)","75.7%","70.9%","18.1%","14.7%","2,264,326","47.7%","52.3%","440,961","43.1%","56.9%","","2,992,333","98.8%","1.2%","98.8%","58.8%","37.7%","0.4%","N","N","N","N","1.0%","0.3%","0.2%","0.1%","0.0%","0.1%","0.3%","0.1%","0.0%","N","N","N","N","0.9%","1.2%","0.5%","0.2%","0.1%","0.1%","","2,992,333","59.8%","38.5%","0.7%","1.2%","0.1%","1.0%","","2,992,333","2.9%","1.8%","0.3%","0.0%","0.7%","97.1%","57.0%","37.6%","0.4%","1.0%","0.0%","0.1%","1.0%","0.0%","1.0%","(X)","","2,220,616","47.5%","52.5%"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,083,672","2,983,645","3,100,027","374,370","394,003","383,841","410,146","424,100","796,209","733,744","807,305","428,490","380,516","540,203","286,170","124,575","38.4","4,691,106","4,434,548","1,171,282","950,948","4,691,106","2,271,360","2,419,746","950,948","416,051","534,897","","6,083,672","5,933,806","149,866","5,933,806","5,011,327","709,969","25,808","10,672","163","398","458","114,889","34,007","25,140","12,044","4,391","8,552","14,626","16,129","6,199","1,253","1,124","1,215","2,607","65,614","149,866","51,791","38,667","22,500","3,996","","6,083,672","5,147,349","781,643","77,577","145,800","14,866","79,101","","6,083,672","240,413","165,126","14,659","6,268","54,360","5,843,259","4,858,768","704,787","22,726","113,912","5,522","4,647","132,897","3,358","129,539","2,746,644","","4,567,771","2,207,287","2,360,484"
"    Percent","","6,083,672","49.0%","51.0%","6.2%","6.5%","6.3%","6.7%","7.0%","13.1%","12.1%","13.3%","7.0%","6.3%","8.9%","4.7%","2.0%","(X)","77.1%","72.9%","19.3%","15.6%","4,691,106","48.4%","51.6%","950,948","43.8%","56.2%","","6,083,672","97.5%","2.5%","97.5%","82.4%","11.7%","0.4%","0.2%","0.0%","0.0%","0.0%","1.9%","0.6%","0.4%","0.2%","0.1%","0.1%","0.2%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","1.1%","2.5%","0.9%","0.6%","0.4%","0.1%","","6,083,672","84.6%","12.8%","1.3%","2.4%","0.2%","1.3%","","6,083,672","4.0%","2.7%","0.2%","0.1%","0.9%","96.0%","79.9%","11.6%","0.4%","1.9%","0.1%","0.1%","2.2%","0.1%","2.1%","(X)","","4,567,771","48.3%","51.7%"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,032,949","519,026","513,923","60,420","64,845","63,246","66,756","71,353","128,657","118,633","128,947","74,223","76,938","105,390","52,630","20,911","39.9","806,722","763,551","223,823","178,931","806,722","403,584","403,138","178,931","85,187","93,744","","1,032,949","1,005,779","27,170","1,005,779","918,701","4,725","65,106","880","2,503","941","3,058","9,071","250","1,922","1,303","1,590","2,804","331","871","1,034","640","0","130","264","7,142","27,170","4,009","16,626","2,692","288","","1,032,949","944,642","9,857","83,633","12,973","2,423","8,214","","1,032,949","37,302","25,927","3,220","1,073","7,082","995,647","894,545","4,289","62,709","8,643","1,034","141","24,286","234","24,052","494,222","","797,198","398,833","398,365"
"    Percent","","1,032,949","50.2%","49.8%","5.8%","6.3%","6.1%","6.5%","6.9%","12.5%","11.5%","12.5%","7.2%","7.4%","10.2%","5.1%","2.0%","(X)","78.1%","73.9%","21.7%","17.3%","806,722","50.0%","50.0%","178,931","47.6%","52.4%","","1,032,949","97.4%","2.6%","97.4%","88.9%","0.5%","6.3%","0.1%","0.2%","0.1%","0.3%","0.9%","0.0%","0.2%","0.1%","0.2%","0.3%","0.0%","0.1%","0.1%","0.1%","0.0%","0.0%","0.0%","0.7%","2.6%","0.4%","1.6%","0.3%","0.0%","","1,032,949","91.5%","1.0%","8.1%","1.3%","0.2%","0.8%","","1,032,949","3.6%","2.5%","0.3%","0.1%","0.7%","96.4%","86.6%","0.4%","6.1%","0.8%","0.1%","0.0%","2.4%","0.0%","2.3%","(X)","","797,198","50.0%","50.0%"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,896,190","942,589","953,601","130,664","132,098","131,634","130,032","139,179","252,652","232,446","231,101","126,169","111,524","152,851","83,122","42,718","36.1","1,425,560","1,344,306","343,524","278,691","1,425,560","702,111","723,449","278,691","123,285","155,406","","1,896,190","1,852,476","43,714","1,852,476","1,671,988","90,535","17,360","505","131","133","4,625","39,906","8,804","6,955","3,462","1,094","2,484","6,615","10,492","1,221","578","164","299","180","31,466","43,714","16,339","10,069","8,876","823","","1,896,190","1,712,226","109,846","30,154","51,791","2,442","35,793","","1,896,190","196,968","158,707","5,355","3,742","29,164","1,699,222","1,518,020","88,318","14,620","39,535","826","2,254","35,649","1,103","34,546","820,925","","1,352,947","663,770","689,177"
"    Percent","","1,896,190","49.7%","50.3%","6.9%","7.0%","6.9%","6.9%","7.3%","13.3%","12.3%","12.2%","6.7%","5.9%","8.1%","4.4%","2.3%","(X)","75.2%","70.9%","18.1%","14.7%","1,425,560","49.3%","50.7%","278,691","44.2%","55.8%","","1,896,190","97.7%","2.3%","97.7%","88.2%","4.8%","0.9%","0.0%","0.0%","0.0%","0.2%","2.1%","0.5%","0.4%","0.2%","0.1%","0.1%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","1.7%","2.3%","0.9%","0.5%","0.5%","0.0%","","1,896,190","90.3%","5.8%","1.6%","2.7%","0.1%","1.9%","","1,896,190","10.4%","8.4%","0.3%","0.2%","1.5%","89.6%","80.1%","4.7%","0.8%","2.1%","0.0%","0.1%","1.9%","0.1%","1.8%","(X)","","1,352,947","49.1%","50.9%"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,890,845","1,447,456","1,443,389","176,933","191,233","189,784","175,671","189,057","411,910","388,122","390,850","181,199","173,974","264,352","120,527","37,233","37.8","2,222,290","2,120,794","524,928","422,112","2,222,290","1,107,329","1,114,961","422,112","199,464","222,648","","2,890,845","2,747,279","143,566","2,747,279","1,952,341","246,720","33,607","1,546","486","2,709","1,010","231,566","14,020","34,909","119,526","10,718","15,326","9,993","27,074","18,326","8,322","4,069","2,867","3,068","264,719","143,566","29,904","16,761","37,182","2,525","","2,890,845","2,070,722","296,181","59,996","293,713","36,030","294,069","","2,890,845","813,394","615,691","27,457","25,715","144,531","2,077,451","1,460,688","236,568","24,442","228,306","16,224","6,922","104,301","3,766","100,535","1,209,864","","1,942,764","971,986","970,778"
"    Percent","","2,890,845","50.1%","49.9%","6.1%","6.6%","6.6%","6.1%","6.5%","14.2%","13.4%","13.5%","6.3%","6.0%","9.1%","4.2%","1.3%","(X)","76.9%","73.4%","18.2%","14.6%","2,222,290","49.8%","50.2%","422,112","47.3%","52.7%","","2,890,845","95.0%","5.0%","95.0%","67.5%","8.5%","1.2%","0.1%","0.0%","0.1%","0.0%","8.0%","0.5%","1.2%","4.1%","0.4%","0.5%","0.3%","0.9%","0.6%","0.3%","0.1%","0.1%","0.1%","9.2%","5.0%","1.0%","0.6%","1.3%","0.1%","","2,890,845","71.6%","10.2%","2.1%","10.2%","1.2%","10.2%","","2,890,845","28.1%","21.3%","0.9%","0.9%","5.0%","71.9%","50.5%","8.2%","0.8%","7.9%","0.6%","0.2%","3.6%","0.1%","3.5%","(X)","","1,942,764","50.0%","50.0%"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,330,608","657,716","672,892","63,509","69,829","79,666","91,751","88,639","155,315","156,414","205,373","110,385","91,370","129,371","61,183","27,803","42.8","1,067,277","1,009,125","270,870","218,357","1,067,277","522,908","544,369","218,357","99,408","118,949","","1,330,608","1,308,046","22,562","1,308,046","1,245,262","21,292","1,561","N","N","N","N","34,014","11,202","5,954","2,728","799","2,799","2,033","8,499","254","N","N","N","N","5,663","22,562","4,758","8,660","6,472","200","","1,330,608","1,266,719","26,916","11,024","41,490","986","6,952","","1,330,608","44,355","5,558","14,961","1,634","22,202","1,286,253","1,210,017","18,495","1,169","33,774","254","1,204","21,340","700","20,640","622,604","","1,035,684","505,736","529,948"
"    Percent","","1,330,608","49.4%","50.6%","4.8%","5.2%","6.0%","6.9%","6.7%","11.7%","11.8%","15.4%","8.3%","6.9%","9.7%","4.6%","2.1%","(X)","80.2%","75.8%","20.4%","16.4%","1,067,277","49.0%","51.0%","218,357","45.5%","54.5%","","1,330,608","98.3%","1.7%","98.3%","93.6%","1.6%","0.1%","N","N","N","N","2.6%","0.8%","0.4%","0.2%","0.1%","0.2%","0.2%","0.6%","0.0%","N","N","N","N","0.4%","1.7%","0.4%","0.7%","0.5%","0.0%","","1,330,608","95.2%","2.0%","0.8%","3.1%","0.1%","0.5%","","1,330,608","3.3%","0.4%","1.1%","0.1%","1.7%","96.7%","90.9%","1.4%","0.1%","2.5%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)","","1,035,684","48.8%","51.2%"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,958,013","4,374,892","4,583,121","529,254","548,166","566,775","576,730","570,704","1,151,980","1,168,897","1,323,526","646,146","532,884","754,320","389,135","199,496","39.6","6,959,148","6,623,133","1,647,393","1,342,951","6,959,148","3,352,396","3,606,752","1,342,951","573,017","769,934","","8,958,013","8,714,401","243,612","8,714,401","6,060,267","1,198,613","16,870","745","184","414","183","849,240","367,104","150,634","118,803","10,310","101,434","24,152","76,803","3,556","816","1,432","101","1,207","585,855","243,612","77,621","18,656","45,685","9,684","","8,958,013","6,245,618","1,328,297","62,676","928,707","14,851","646,002","","8,958,013","1,762,179","240,409","487,972","92,185","941,613","7,195,834","5,020,807","1,134,226","7,968","842,221","2,707","32,153","155,752","15,497","140,255","3,593,722","","6,154,126","2,942,910","3,211,216"
"    Percent","","8,958,013","48.8%","51.2%","5.9%","6.1%","6.3%","6.4%","6.4%","12.9%","13.0%","14.8%","7.2%","5.9%","8.4%","4.3%","2.2%","(X)","77.7%","73.9%","18.4%","15.0%","6,959,148","48.2%","51.8%","1,342,951","42.7%","57.3%","","8,958,013","97.3%","2.7%","97.3%","67.7%","13.4%","0.2%","0.0%","0.0%","0.0%","0.0%","9.5%","4.1%","1.7%","1.3%","0.1%","1.1%","0.3%","0.9%","0.0%","0.0%","0.0%","0.0%","0.0%","6.5%","2.7%","0.9%","0.2%","0.5%","0.1%","","8,958,013","69.7%","14.8%","0.7%","10.4%","0.2%","7.2%","","8,958,013","19.7%","2.7%","5.4%","1.0%","10.5%","80.3%","56.0%","12.7%","0.1%","9.4%","0.0%","0.4%","1.7%","0.2%","1.6%","(X)","","6,154,126","47.8%","52.2%"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,085,109","1,035,143","1,049,966","134,230","141,553","140,337","140,752","150,689","272,426","246,672","256,724","142,006","129,126","196,638","94,983","38,973","37.4","1,585,693","1,498,895","406,529","330,594","1,585,693","779,416","806,277","330,594","149,741","180,853","","2,085,109","2,014,312","70,797","2,014,312","1,530,670","47,873","193,512","760","497","116,119","1,670","29,282","3,995","6,345","4,957","1,518","2,299","5,521","4,647","1,355","N","N","N","N","211,620","70,797","10,395","15,739","11,623","2,156","","2,085,109","1,585,194","64,448","219,072","50,685","2,974","237,715","","2,085,109","1,001,264","653,279","7,874","3,854","336,257","1,083,845","798,109","41,597","177,529","27,542","859","3,593","34,616","1,693","32,923","914,979","","1,470,045","720,365","749,680"
"    Percent","","2,085,109","49.6%","50.4%","6.4%","6.8%","6.7%","6.8%","7.2%","13.1%","11.8%","12.3%","6.8%","6.2%","9.4%","4.6%","1.9%","(X)","76.0%","71.9%","19.5%","15.9%","1,585,693","49.2%","50.8%","330,594","45.3%","54.7%","","2,085,109","96.6%","3.4%","96.6%","73.4%","2.3%","9.3%","0.0%","0.0%","5.6%","0.1%","1.4%","0.2%","0.3%","0.2%","0.1%","0.1%","0.3%","0.2%","0.1%","N","N","N","N","10.1%","3.4%","0.5%","0.8%","0.6%","0.1%","","2,085,109","76.0%","3.1%","10.5%","2.4%","0.1%","11.4%","","2,085,109","48.0%","31.3%","0.4%","0.2%","16.1%","52.0%","38.3%","2.0%","8.5%","1.3%","0.0%","0.2%","1.7%","0.1%","1.6%","(X)","","1,470,045","49.0%","51.0%"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,795,791","9,616,592","10,179,199","1,185,088","1,135,365","1,162,921","1,255,601","1,415,343","2,875,580","2,498,772","2,760,964","1,352,469","1,191,241","1,661,791","869,931","430,725","38.3","15,582,624","14,764,458","3,639,875","2,962,447","15,582,624","7,457,463","8,125,161","2,962,447","1,261,783","1,700,664","","19,795,791","19,214,381","581,410","19,214,381","12,621,132","3,081,333","69,933","2,591","127","506","318","1,672,186","381,308","700,615","126,904","36,016","138,506","30,342","258,495","6,446","2,883","1,106","892","1,565","1,763,351","581,410","163,274","62,331","106,687","23,675","","19,795,791","13,066,848","3,366,326","205,301","1,842,941","30,348","1,918,613","","19,795,791","3,725,193","483,010","1,084,872","76,400","2,080,911","16,070,598","11,050,851","2,845,960","40,131","1,659,534","5,162","111,653","357,307","36,589","320,718","8,207,161","","13,704,991","6,521,041","7,183,950"
"    Percent","","19,795,791","48.6%","51.4%","6.0%","5.7%","5.9%","6.3%","7.1%","14.5%","12.6%","13.9%","6.8%","6.0%","8.4%","4.4%","2.2%","(X)","78.7%","74.6%","18.4%","15.0%","15,582,624","47.9%","52.1%","2,962,447","42.6%","57.4%","","19,795,791","97.1%","2.9%","97.1%","63.8%","15.6%","0.4%","0.0%","0.0%","0.0%","0.0%","8.4%","1.9%","3.5%","0.6%","0.2%","0.7%","0.2%","1.3%","0.0%","0.0%","0.0%","0.0%","0.0%","8.9%","2.9%","0.8%","0.3%","0.5%","0.1%","","19,795,791","66.0%","17.0%","1.0%","9.3%","0.2%","9.7%","","19,795,791","18.8%","2.4%","5.5%","0.4%","10.5%","81.2%","55.8%","14.4%","0.2%","8.4%","0.0%","0.6%","1.8%","0.2%","1.6%","(X)","","13,704,991","47.6%","52.4%"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","10,042,802","4,896,006","5,146,796","598,858","642,590","654,511","678,256","705,943","1,298,130","1,312,886","1,364,407","670,409","601,267","906,975","441,678","166,892","38.4","7,754,752","7,329,566","1,862,998","1,515,545","7,754,752","3,724,425","4,030,327","1,515,545","658,879","856,666","","10,042,802","9,801,345","241,457","9,801,345","6,934,715","2,172,492","120,513","16,740","865","838","1,006","268,322","88,240","44,012","19,185","5,688","21,661","33,859","55,677","4,990","1,777","1,577","893","743","300,313","241,457","89,854","36,598","36,496","17,421","","10,042,802","7,139,874","2,312,587","191,314","323,862","12,926","330,651","","10,042,802","911,674","514,976","101,864","26,785","268,049","9,131,128","6,387,868","2,141,818","109,502","266,004","2,967","22,054","200,915","5,280","195,635","4,491,090","","7,296,335","3,477,137","3,819,198"
"    Percent","","10,042,802","48.8%","51.2%","6.0%","6.4%","6.5%","6.8%","7.0%","12.9%","13.1%","13.6%","6.7%","6.0%","9.0%","4.4%","1.7%","(X)","77.2%","73.0%","18.6%","15.1%","7,754,752","48.0%","52.0%","1,515,545","43.5%","56.5%","","10,042,802","97.6%","2.4%","97.6%","69.1%","21.6%","1.2%","0.2%","0.0%","0.0%","0.0%","2.7%","0.9%","0.4%","0.2%","0.1%","0.2%","0.3%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","3.0%","2.4%","0.9%","0.4%","0.4%","0.2%","","10,042,802","71.1%","23.0%","1.9%","3.2%","0.1%","3.3%","","10,042,802","9.1%","5.1%","1.0%","0.3%","2.7%","90.9%","63.6%","21.3%","1.1%","2.6%","0.0%","0.2%","2.0%","0.1%","1.9%","(X)","","7,296,335","47.7%","52.3%"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","756,928","388,152","368,776","52,172","49,861","43,235","49,673","69,970","114,100","86,540","88,569","49,724","45,727","56,590","32,169","18,598","34.9","585,614","548,992","134,288","107,357","585,614","301,058","284,556","107,357","48,192","59,165","","756,928","737,994","18,934","737,994","667,900","15,681","37,745","129","16,315","199","10,360","10,104","1,083","1,593","3,443","274","334","695","2,682","445","N","N","N","N","6,119","18,934","3,753","9,874","2,811","239","","756,928","686,249","20,249","48,325","13,598","1,540","6,663","","756,928","26,059","19,396","1,417","544","4,702","730,869","650,304","15,387","36,789","9,696","445","434","17,814","106","17,708","362,889","","571,119","292,517","278,602"
"    Percent","","756,928","51.3%","48.7%","6.9%","6.6%","5.7%","6.6%","9.2%","15.1%","11.4%","11.7%","6.6%","6.0%","7.5%","4.2%","2.5%","(X)","77.4%","72.5%","17.7%","14.2%","585,614","51.4%","48.6%","107,357","44.9%","55.1%","","756,928","97.5%","2.5%","97.5%","88.2%","2.1%","5.0%","0.0%","2.2%","0.0%","1.4%","1.3%","0.1%","0.2%","0.5%","0.0%","0.0%","0.1%","0.4%","0.1%","N","N","N","N","0.8%","2.5%","0.5%","1.3%","0.4%","0.0%","","756,928","90.7%","2.7%","6.4%","1.8%","0.2%","0.9%","","756,928","3.4%","2.6%","0.2%","0.1%","0.6%","96.6%","85.9%","2.0%","4.9%","1.3%","0.1%","0.1%","2.4%","0.0%","2.3%","(X)","","571,119","51.2%","48.8%"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
